text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE
"לכאורה מדובר בעבירת נשק ברף הנמוך של עבירות הנשק – ירי באקדח באוויר בשטח פתוח, אך למעשה הייתה במעשי הנאשם מידה משמעותית של חומרה כללית וכן סכנה למתלוננת.",,,,,,,,,,,,,['ירי'],,,,,,,,
"הנאשם הגיע ליער כשהוא נושא עמו אקדח ותחמושת והזמין למקום את המתלוננת, עמה קיים קשר שאופיין באובססיביות, רכושנות וקנאה.",,,,,,['אקדח'],,,,,,,['ניסיון לירי'],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,,,,
הנאשם בחר לצרוך אלכוהול ביום האירוע והוא אחראי לכל מעשיו.,,,,,,,,,,,,,,,[],,,,,,
"נתונים שמקהים במידת מה מחומרת האירוע הם העובדה שהנאשם לא פגע פגיעה פיזית במתלוננת, העובדה שהירי היה בשטח פתוח וכוון לאוויר, וכן כי הנאשם נשמע לבסוף להוראות השוטרים שהגיעו למקום.",,,,,,,,,,[],,,"['ירי', 'ניסיון לירי']",['נשק עם מחסנית בהכנס'],,,,,,,
"עיון בפסיקה הנוגעת למקרים בהם הורשעו נאשמים בנשיאת והחזקת אקדח ""בלבד"" – מעלה כי המתחמים נעים סביב סדרי גודל של בין 10 ל 30 חודשי מאסר.",,,,,,,,,,,,,,,,,,[],[],[],
"בשים לב לכל האמור לעיל, נמצא לקבוע שמתחם העונש ההולם הוא בין 20 חודשים ל-4 שנות מאסר בפועל.",,,,,,,,,,,,,,,,,,[],[],[],
הנאשם הינו אדם צעיר יחסית שעד למעצרו עבד לפרנסתו.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
לחובתו עבר פלילי אך הוא אינו מכביד באופן יחסי.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
כמו כן מדובר במאסר ראשון מאחורי סורג ובריח.,,,,,,,,,,,,,,,,,,,,,
הנאשם זקוק להתערבות טיפולית בנוגע לניהול מערכות יחסים עם בנות זוג.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
עוד נמצא לזקוף לזכות הנאשם את הודייתו טרם שמיעת הראיות ואת קבלת האחריות על מעשיו.,,,,['כן'],,,,,,,,,,,,,,,,,
"העובדה שהמתלוננת לא נפצעה ולא נגרם נזק לרכושה, אינה מובילה בהכרח למסקנה כי אינה זכאית לפיצוי מהנאשם.",,,,,,,,,,,,,,,,,,,,,
המתלוננת נאלצה לעבור אירוע טראומטי והייתה חשופה לאלימות מילולית ואחרת (ירי באוויר).,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"אם כן, על הנאשם יושתו 24 חודשי מאסר בפועל, מאסר על תנאי ופיצוי למתלוננת בסכום של 4,000 ₪.",,,,,,,,,,,,,,,,,,[],['24 חודשי מאסר על תנאי'],[],
"הנאשם הורשע, על פי הודייתו, בעבירות נשק בנוגע לאירוע שהתרחש ביער הסמוך לכפר קרע ביום 1.4.18.",,,,['כן'],,,,,,,,,,,,,,,,,
הודיית הנאשם היתה במסגרת הסדר טיעון שכלל את תיקונו של כתב האישום ולא כלל הסכמות עונשיות.,,,,['לא'],,,,,,,,,,,,,,,,,
(להלן: גם המתלוננת) חברתו של הנאשם.,,,,,,,,,,,,,,,,,,,,,
"ביום האירוע בסביבות השעה 17:00, הגיע הנאשם ברכבו ליער הסמוך לכפר קרע (להלן: היער) כשהוא נושא עמו אקדח מסוג FN בקוטר 9 מ""מ, שתי מחסניות ולא פחות מ 40 כדורים.",,,,,,['אקדח'],,,,"['ברכב', 'על גופו']",,,"['ירי', 'ניסיון לירי']","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,,,,
"בנוסף, במהלך השיחה לעיל שלף הנאשם את האקדח ממכנסיו, הראה אותו לר.ק.",,,,,,['אקדח'],,,,,,,['ניסיון לירי'],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"וירה, לסירוגין, 11 יריות באוויר.",,,,,,,,,,,,,['ירי'],,,,,,,,
"באותה העת, הגיעו ליער 3 שוטרים בניידת וכשהתקרבו למקום בו ישבו ר.ק והנאשם, קם האחרון, רץ לעבר רכבה של ר.ק.",,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],,,,,,,
"כשהאקדח ברשותו, התיישב בכיסא הנהג וביקש ממנה שתאמר לו מה הקוד להתנעת הרכב על מנת להימלט מהשוטרים.",,,,,,,,,,,,,,,,,,,,,
כמו כן השליך הנאשם את האקדח מתחת למושב הרכב.,,,,,,['אקדח'],,,,"['ברכב', 'מוסלק - מוסתר']",,,[],,[],,,,,,
השוטרים הורו לנאשם לצאת מהרכב והנאשם עשה כן.,,,,,,,,,,,,,,,,,,,,,
"בנוסף לעובדות כתב האישום המתוקן, הצדדים הסכימו (ר' הודעת הצדדים על פרטי הסדר הטיעון, עמ' 10 שורות 18-20 לפרוטוקול), כי במהלך האירוע היה הנאשם תחת השפעת משקאות אלכוהוליים.",,,,,,,,,,,,,,,,,,,,,
"כמו כן הורשה הנאשם לטעון (בעוד המאשימה ציינה כי לא ניתן לסתור זאת), כי הנאשם אינו זוכר את כל פרטי האירוע.",,,,,,,,,,,,,,,,,,,,,
"בגין מעשיו אלה, הורשע הנאשם בנשיאת והובלת נשק, לפי ס' 144(א) רישא+סיפא וכן 144(ב) רישא+סיפא לחוק העונשין, תשל""ז – 1977 (להלן: החוק); וכן במעשי פזיזות ורשלנות, לפי ס' 338(א)(5) לחוק.",,,,,,,,,,,,,,,,,,,,,
"הנאשם בן 27 שנים, סיים 12 שנות לימוד, רווק, עד למעצרו גר עם הוריו ומשפחתו בכפר קרע וכן עבד באופן סדיר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
לחובתו 2 הרשעות שיפורטו להלן במסגרתן הוטלו עליו שתי תקופות מאסר לריצוי בעבודות שירות.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם לקח אחריות על מעשיו והביע חרטה עליהם.,,,,['כן'],,,,,,,,,,,,,,,,,
מסר כי את האקדח רכש כשנה לפני האירוע כאקט של גבריות וכדי לזכות להערכת חבריו ושלל שימוש כלשהו בנשק עובר לאירוע.,,,,,,,,,,,,,[],,['מאחר'],,,,,,
"בנוגע לאירוע עצמו, מסר הנאשם תיאור ממנו עולה כי יחסיו עם ר.ק.",,,,,,,,,,,,,,,,,,,,,
"התאפיינו בתלות, קנאה ואובססיביות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
