name_case,text,model_extraction,tagger_extraction,feature
ME-10-11-18588-3,"Series([], Name: text, dtype: object)","['\'הכמותשלהסמיםהיא1.5ק""גברוטו\'-קוקאין']","['3.44-ק""ג-קוקאין']",CIR_TYPE_AMOUNT
ME-10-11-18588-3,"Series([], Name: text, dtype: object)",[],['לא בעל הסמים'],תפקיד 
ME-10-11-18588-3,"Series([], Name: text, dtype: object)",[],"['24 חודשי מאסר בפועל', '56 חודשי מאסר בפועל']",ACTUAL_PUNISHMENT
ME-10-11-18588-3,"1040    לפיכך הנאשם ירצה 56 חודשי מאסר בפועל; 24 חודשי...
1041    24 חודשים מאסר על תנאי שלא יעבור תוך 3 שנים מי...
Name: text, dtype: object",['הנאשם קיבל 24 חודשי מאסר על תנאי'],[],PUNISHMENT_SUSPENDED
ME-10-11-18588-3,"1042    לפיכך הנאשם ירצה 56 חודשי מאסר בפועל; 24 חודשי...
1043    קנס בסך 4,000 ₪ שישולם ב- 4 תשלומים חודשיים וש...
Name: text, dtype: object","['הנאשם קיבל קנס בגובה 4,000 ₪', '4,000 ₪']","['4000 ש""ח קנס']",PUNISHMENT_FINE
ME-20-12-1338-335,"Series([], Name: text, dtype: object)","['\'1,300מ""ל-יחידות:מ""ל(מיליליטר)\'-סם', '\'1,300-מ""ל(מיליליטר)\'-די.אם.טי', '1300-מ""ל-DMT']","['1', '300-מ""ל-האיוואסקה']",CIR_TYPE_AMOUNT
ME-20-12-1338-335,"Series([], Name: text, dtype: object)",[],['בעל הסמים'],תפקיד 
ME-20-12-1338-335,"Series([], Name: text, dtype: object)",[],"['6 חודשי שירות', '3 חודשי מאסר בפועל', '10 חודשי מאסר בפועל', '12 חודשי מאסר בפועל']",ACTUAL_PUNISHMENT
ME-20-12-1338-335,"1295    12 חודשי מאסר אשר הנאשם לא ירצה, אלא אם יעבור ...
1296    3 חודשי מאסר אשר הנאשם לא ירצה, אלא אם יעבור ב...
Name: text, dtype: object","['3 חודשי מאסר על תנאי', '12 חודשי מאסר על תנאי']",[],PUNISHMENT_SUSPENDED
ME-20-12-1338-335,"1297    קנס כספי בסך 10,000 ₪ או חודש מאסר תחתיו.
Name: text, dtype: object","['10,000 ₪']",[],PUNISHMENT_FINE
ME-22-01-47042-277,"Series([], Name: text, dtype: object)","[""'50-גרם'-קוקאין"", '\'50.67גרם-גרם\'-""סם""', '\'1.5ק""ג(יחידות:קילוגרמים)\'-קוקאין.', '99.95-גרם-קוקאין', ""'149.69גרם-גרם'-קוקאין"", ""'50.67-גרם'-קוקאין""]","['50.67-גרם-קוקאין', '149.69-גרם-קוקאין', '99.95-גרם-קוקאין']",CIR_TYPE_AMOUNT
ME-22-01-47042-277,"Series([], Name: text, dtype: object)",[],['לא בעל הסמים'],תפקיד 
ME-22-01-47042-277,"1091    פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: ס...
1092    במסגרת האישום הראשון הורשע הנאשם בעבירה של סחר...
1093    במסגרת האישום השני הורשע הנאשם בעבירה של תיווך...
1094    במסגרת האישום השלישי הורשע הנאשם בעבירה של החז...
Name: text, dtype: object","['סעיף 19א', 'סעיף 13', 'סעיף 7ג', 'סעיף 14', 'סעיף 7א']","['סעיף 19א', 'סעיף 7ג', 'סעיף 13', 'סעיף 7א']",OFFENCE_NUMBER
ME-22-01-47042-277,"Series([], Name: text, dtype: object)",[],"['24 חודשי מאסר בפועל', '3 חודשי מאסר בפועל', '6 חודשי מאסר בפועל']",ACTUAL_PUNISHMENT
ME-22-01-47042-277,"1049    * הנאשם, שהורשע בעבירות של סחר בסם מסוכן, תיוו...
1050    לאור מכלול הנסיבות והשיקולים השונים יש לגזור ע...
1051    6 חודשי מאסר אשר לא ירוצו אלא אם הנאשם יעבור ע...
1052    3 חודשי מאסר אשר לא ירוצו אלא אם הנאשם יעבור ע...
Name: text, dtype: object","['3 חודשי מאסר על תנאי', '24 חודשי מאסר בפועל', '6 חודשי מאסר על תנאי']",[],PUNISHMENT_SUSPENDED
ME-22-01-47042-277,"1053    * הנאשם, שהורשע בעבירות של סחר בסם מסוכן, תיוו...
1054    לאור מכלול הנסיבות והשיקולים השונים יש לגזור ע...
1055              קנס בסך של 8,000 ₪ או 30 ימי מאסר תחתם.
Name: text, dtype: object","['הנאשם קיבל קנס של 8,000 ₪ או 30 ימי מאסר תחתיו', '8,000 ₪', 'הקנס שקיבל הנאשם הוא 8,000 ₪']","['8000 ש""ח קנס']",PUNISHMENT_FINE
ME-22-07-32175-327,"Series([], Name: text, dtype: object)","[""'3.7גרם-גרם'-מתילמטאקתינון"", '994-גרם-קטמין', ""'הכמותשלהסמיםהיא994.4גרם'-MMC"", ""'994.44-גרם'-מתילמטאקתינון"", ""'300גרם-מתילמתאקתינוןו-4גרם-קוקאין'-מתילמתאקתינון"", ""'47.88גרם(יחידה:גרם)'-מתילמטאקתינון""]","['994-גרם-מתילמטאקתינון', '938-גרם-קטמין', '996-גרם-קטמין', '3.7-גרם-מתילמטאקתינון', '991-גרם-קטמין']",CIR_TYPE_AMOUNT
ME-22-07-32175-327,"1490    פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: ס...
1491    על יסוד הודאת הנאשם בעובדות כתב האישום המתוקן,...
1492    בשונה מעבירות החזקת סם והחזקת כלים המשמשים להכ...
Name: text, dtype: object","['סעיף 13', 'סעיף 7ג']",['סעיף 13'],OFFENCE_NUMBER
ME-22-07-32175-327,"Series([], Name: text, dtype: object)",[],"['40 חודשי מאסר בפועל', '12 חודשי מאסר בפועל']",ACTUAL_PUNISHMENT
