text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם, נתין זר מוויאטנם, הודה במסגרת הסדר דיוני, שבתאריך 21.05.19 החזיק בתוך תיק שנשא, סם מסוכן מסוג מתאמפטמין במשקל של 140 גרם, מחולק וארוז בתוך שקיות וכפפת גומי, ומשקל אלקטרוני.",,,,['הסוג הוא [מתאמפטמין]'],['[140 - גרם]'],"['בעל הסמים, לא בעל המעבדה']",,,,,,,,
"והודה, שהוא שוהה בישראל שלא כדין מאז 3.9.16 .",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"על יסוד הודאת הנאשם כאמור, הוא הורשע בעבירות של החזקת סם מסוכן שלא לצריכה עצמית, לפי סעיף 7 (א) ו- (ג) רישא בפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973 (להלן: ""פקודת הסמים""); החזקת כלים, לפי סעיף 10 בפקודת הסמים; ושהייה בישראל שלא כחוק, לפי סעיף 12(1) לחוק הכניסה לישראל, התשי""ב-1952.",,,,,,,,,,['כן'],,,,
"אשר לעונש הראוי לנאשם בתוך המתחם, ציינה, כי הנאשם נעדר עבר פלילי, אך הוא שוהה בישראל שלא בחוק תקופה של 3 שנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"ציין שהנאשם הודה ולקח אחריות על מעשיו בהזדמנות הראשונה, ואף סיפר בחקירתו כיצד השיג את הסמים.",,,,,,,,['לא'],['כן'],['כן'],,,,
"עוד טען, שהנאשם תושב זר, הנמצא בארץ ללא משפחה וללא תמיכה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הוא אינו דובר עברית, ולא יכול לנצל הטבות בסיסיות הניתנות לאסיר כמו שיחות טלפון, ביקורי משפחה, והפקדות כספים בקנטינה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם הביע צער על מעשיו וביקש לאפשר לו לחזור לוויאטנם.,,,,,,,,,,,,,,
הנאשם הורשע בשתי עבירות סמים ובעבירה של שהייה בלתי חוקית בישראל.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"משקל הסמים שהנאשם החזיק - 140 גרם, הינו משמעותי, וניתן לייצר ממנו מנות סם רבות.",,,,"['הסוג הוא [קוקאין], כפי שמצוין בטקסט: ""משקל הסמים שהנאשם החזיק - 140 גרם, הינו משמעותי, וניתן לייצר ממנו מנות סם רבות.""']",,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"לטובת הנאשם אני מביא בחשבון את נסיבותיו האישיות; את העובדה שכאזרח זר, שאיננו דובר עברית ושאין לו קרובי משפחה בישראל, מאסרו כרוך בקשיים מיוחדים הנוספים על  הקשיים הרגילים הכרוכים במאסר; את העובדה שזו הסתבכותו הראשונה עם החוק בישראל ושזהו מאסרו הראשון; ואת העובדה שבתום מאסרו הוא ככל הנראה יגורש מישראל.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"על יסוד עובדות כתב האישום המתוקן שהנאשם הודה בהן, אני קובע שהנאשם הוא סוחר סמים.",,,,,,,,,,,,,,
"א.	24 חודשי מאסר בפועל, מיום מעצרו.",,,,,,,,,,,,"['המאסר בפועל הוא 24 חודשים, כפי שמצוין ב""א. 24 חודשי מאסר בפועל, מיום מעצרו.""']",[],[]
"12 חודשי מאסר על תנאי, למשך שלוש שנים מיום שחרורו מהמאסר, שלא יעבור עבירת סמים שהיא פשע.",,,,,,,,,,,,[],['12 חודשי מאסר על תנאי'],[]
"חילוט הכספים השונים שנתפסו ברשות הנאשם, בש""ח ובמטבע זר, המפורטים בבקשת החילוט שבכתב האישום, לטובת אוצר המדינה.",,,,,,,,,,,,,,
