text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
41 טבליות MDMA ;,,,,"['סוג הסמים הוא MDMA, או אקסטזי']",['41 טבליות MDMA = 41 טבליות (יחידות)'],,,,,
3 אריזות פלסטיק המכילות MDMA במשקל כולל נטו של 2.5668 גרם;,,,,['סוג הסמים המוזכר בטקסט הוא MDMA'],['הכמות של הסמים היא [2.5668 - גרם]'],,,,,
5 יחידות קוקאין במשקל כולל נטו 2.6544 גרם;,,,,['הסוג של הסמים המוזכרים בטקסט הוא קוקאין'],"['הכמות של הסמים היא [2.6544 - 5] יחידות, שזה בערך 0.6544 יחידות']",,,,,
2 יחידות של METHYLMETHCATHINONE  שהוא נגזרת מבנית של מתקאתינון הכלול בפקודת הסמים במשקל של 1.7509 גרם;,,,,"['הסוג של הסמים המוזכרים בטקסט הוא Methylmethcathinone (MMC), הידוע גם בשם Mephedrone']",['הכמות של הסמים היא [1.7509 גרם - 2 יחידות]'],,,,,
2 יחידות  Cocaine  - METHYLMETHCATHINONE במשקל כולל נטו של 1.6586 גרם;,,,,"['סוג הסמים הוא קוקאין. המידע הרלוונטי הוא ""2 יחידות Cocaine - METHYLMETHCATHINONE במשקל כולל נטו של 1.6586 גרם.""']",['הכמות של הסמים היא [1.6586 גרם - 2 יחידות]'],,,,,
4 יחידות METHYLMETHCATHINONE שהוא נגזרת מבנית של מתקאתינון הכלול בפקודת הסמים במשקל כולל נטו של 3.3971 גרם;,,,,"['סוג הסמים הוא Methylmethcathinone (Methcathinone או Mephedrone), כיוון שהוא מוזכר בטקסט כ""4 יחידות Methylmethcathinone.""']",['הכמות של הסמים היא [3.3971 גרם - יחידות (כמו גרם)]'],,,,,
יחידה של קטמין במשקל נטו של 0.9801 גרם.,,,,['הסוג של הסמים המוזכרים בטקסט הוא קטמין'],['0.9801 גרם - יחידה אחת של קטמין'],,,,,
2 יחידות של קטמין ו – MDMA במשקל כולל נטו 1.8598 גרם;,,,,['הסוג של הסמים המוזכרים בטקסט הוא קטמין ו-MDMA'],['הכמות של הסמים היא [1.8598 גרם - 2 יחידות]'],,,,,
3 יחידות LSD ;,,,,"['סוג הסמים הוא LSD (Lysergic acid diethylamide), או חומצה ליסרגית דיאתילאמידית']",['הכמות של הסמים היא [3 - יחידות LSD]'],,,,,
2 יחידות קנבוס במשקל כולל נטו של 15.70 גרם;,,,,['הסוג של הסמים המוזכרים בטקסט הוא קנאביס'],['הכמות של הסמים היא [15.70 - 2 יחידות] = 13.70 גרם'],,,,,
"כמו כן באותו מעמד החזיק הנאשם ברכב במוצגים הנחזים לתרופות מרשם, מסוגים שונים כגון : 8 חפיסות DOCTINEX  , 5 חפיסות NOLVADWX , 4 חפיסות CLOMID, 4 חפיסות ARIMIDEX, 3 חפיסות CARDARINE, 5 חפיסות IBYTAMOREN , 5 בקבוקי זכוכית GOLDEN SARMS,    2 בקבוקי זכוכית LAB PERFORMANCE , בקבוק זכוכית WINSTROL,   SUSTANUN , TREN – N,   BOLODENONE  , TRENBUL, TESTABOL , CLENBUTEROL, STROMBA STANOZOLO.",,,,['סוג הסמים הוא תרופות מרשם'],['הכמות של הסמים היא [12 - חפיסות]'],,,,,
"זאת ועוד, החזיק הנאשם ברכב מזרק עם 2 מחטים נוספים, 9 ראשי מחטים, כסף מזומן בסך של 1,980, 4 שטרות דולר, משקל אלקטרוני, 86 אריזות קרטון לבקבוקונים, 1,200 בקבוקונים, בקבוקונים ריקים וחפצים אישיים.",,,,"['הסוג של הסמים הוא ""בקבוקונים"" (בקבוקונים)']",['הכמות של הסמים היא [1200 - בקבוקונים]'],,,,,
