text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"* בית המשפט גזר על הנאשם שהורשע בביצוע עבירות שעניינן גידל והפקת סם מסוכן מסוג קנבוס ללא היתר כדין, שתילים במשקל 70 ק""ג, והחזקתם שלא כדין ולא לצריכה עצמית, עונש של מאסר בפועל לתקופה של 28 חודשים.",,,,['קנביס'],,,,,,,,,,
"בית המשפט נדרש לגזור את דינו של הנאשם שהורשע על פי הודאתו בכתב אישום מתוקן, בעבירות של ייצור, הכנה והפקה, עבירה לפי סעיף 6 לפקודת הסמים המסוכנים (נוסח חדש), החזקת סם מסוכן שלא לצריכה עצמית עבירה לפי סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש), ונטילת חשמל, מים או גז עבירה לפי סעיף 400 לחוק העונשין.",,,,,,,,,,['כן'],,,,
"הצדדים הגיעו להסדר טיעון במסגרתו הודה הנאשם בכתב האישום המתוקן והורשע, ואין הסדר לעניין העונש.",,,,,,,,,,['כן'],,,,
"ראוי היה כי לצד המאסר בפועל יוטל קנס משמעותי, לאור המניע הכלכלי לגידול הסמים המסוכנים.",,,,,,,,,,,,,,
"ואולם, לאור המצב הכלכלי, ונסיבותיו של הנאשם, הקנס שיוטל יהיה מתון.",,,,,,,,,,,,,,
"הנאשם הורשע על פי הודאתו בכתב אישום מתוקן, בעבירות של ייצור, הכנה והפקה, עבירה לפי סעיף 6 לפקודת הסמים המסוכנים (נוסח חדש), החזקת סם מסוכן שלא לצריכה עצמית עבירה לפי סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש), ונטילת חשמל, מים או גז עבירה לפי סעיף 400 לחוק העונשין.",,,,,,,,,,['כן'],,,,
"על פי עובדות כתב האישום המתוקן ביום 16.6.20 חתם הנאשם על חוזה בו שכר בית בעל שני מפלסים ושישה חדרים (""הבית""), החל מיום 10.7.20 (""מועד הכניסה"") ועד ליום 9.7.21.",,,,,,,,,,,,,,
"החל ממועד הכניסה, במועד שאינו ידוע במדויק למאשימה, בנה הנאשם בבית מעבדת סמים (""מעבדת הסמים"").",,,,,,,['לא'],,,,,,,
"לשם הקמת מעבדת הסמים ותחזוקתה, הצטייד הנאשם במכשירים למדידת לחות, בחומרי דישון, מאווררים, מערכת השקיה, מערכת חשמל וגופי תאורה.",,,,,,,['כן'],,,,,,,
"לשם הדלקת התאורה ומוצרי החשמל במעבדת הסמים, חיבר הנאשם חשמל באופן פיראטי.",,,,,,,['כן'],,,,,,,
