text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"צוין כי בעת ביצוע העבירות, הנאשם עשה שימוש במכשיר טלפון סלולרי ונהג בשתי מוניות מסוג מרצדס, וכן החזיק בסכום של 2,520 ₪ ובמונית הראשונה.",,,,,,,,,,
"אישום 2 אוחד עם אישום 3 ולפיהם, ביום 6.11.22 התקשר הסוכן לנאשם ותיאם עמו שלמחרת ימכור לו סם מסוג קוקאין.",,,,['הסוג של הסמים הוא קוקאין'],,,,,,
"השניים נפגשו למחרת, בתחנת אוטובוס בירושלים, הסוכן התיישב במונית של הנאשם, ואז הנאשם מכר לו את הסם במשקל של 10.0218 גרם נטו בתמורה לסך של 4,400 ₪.",,,,"['סוג הסמים הוא קוקאין. הטקסט מזכיר ""10.0218 גרם נטו של קוקאין"" שנמכר תמורת 4,400 ש""ח']",['הכמות של הסמים היא [10.0218 - גרם]'],,,,,
"למחרת נהג הנאשם במונית הראשונה, פגש את הסוכן בתחנת אוטובוס ומכר לו 9.546 גרם סם מסוג קוקאין תמורת 4,400 ₪.",,,,['סוג הסמים הוא קוקאין'],['9.546 גרם - גרם'],,,,,
"אישום 4 מתייחס ליום 17.10.22, בשעות הערב אז התקשר הסוכן לנאשם ותיאם איתו שימכור לו סם מסוג קוקאין למחרת היום.",,,,['הסוג של הסמים הוא קוקאין'],,,,,,
"למחרת הגיע הנאשם רגלית לכיוון תחנת האוטובוס בירושלים, שם פגש את הסוכן ומכר לו סם מסוג קוקאין במשקל 10.28 גרם תמורת סך של 4,300 ₪.",,,,['סוג הסמים הוא קוקאין'],['הכמות של הסמים היא [10.28 - גרם]'],,,,,
"אישום 5 מתאר כי ביום 29.9.22, התקשר הסוכן לנאשם ותיאם איתו שימכור לו סם מסוג קוקאין וסם מסוג MDMA כאשר יפגשו ביום 2.10.22.",,,,['הסוג של הסמים הוא קוקאין ו-MDMA'],,,,,,
"כאשר נפגשו, מכר הנאשם לסוכן 9.95 סם מסוג קוקאין תמורת סך של 4,000 ₪ ו-50 טבליות של MDMA בתמורה לסך של 2,000 ₪.",,,,['סוג הסמים הוא קוקאין ו-MDMA'],['הכמות של הסמים היא [9.95 גרם - קוקאין] ו[50 טבליות - MDMA]'],,,,,
אישום 6 מתאר כי ביום 13.9.22 בוצעו התקשרויות טלפוניות בין הנאשם לסוכן בהן תיאם הסוכן עם הנאשם שימכור לו סם מסוג קוקאין וסם מסוג MDMA.,,,,['סוג הסמים הוא קוקאין ו-MDMA'],,,,,,
"הנאשם מכר לסוכן 49 טבליות של MDMA  וסם מסוג קוקאין במשקל של 7.7862 גרם נטו, תמורת 5,000 ₪.",,,,['הסוג של הסמים הוא MDMA וקוקאין'],['הכמות של הסמים היא [7.7862 - גרם]'],,,,,
"ב""כ המאשימה טען כי כמויות הסם הנכבדות שבהן סחר הנאשם והסכומים הגבוהים שקיבל תמורתם, מלמדים על נגישותו לסמים מסוכנים וקשים.",,,,,,,,,,
"לשיטתו המאשימה, אמנם הנאשם ללא עבר פלילי, אך מדובר בסחר והחזקת סמים קשים מסוגים שונים ולכן, יש לבכר את האינטרס הציבורי על נסיבותיו האישיות ולהרתיעו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הסנגור הדגיש שהנאשם הינו ללא עבר פלילי, נשוי ואב ל-4 ילדים.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בין החודשים ינואר ועד מרץ 2023 תפקד כתומך לאסירי השגחה, שוחרר למעצר בית והגיע לבית המעצר גבעון ביוני 2023.",,,,,,,,,,
מאז יולי 2023 משמש כתומך אסירים ומאז מבצע את תפקידו בצורה טובה ואחראית תוך דאגה ואכפתיות לאסירים השוהים עמו.,,,,,,,,,,
"באגף העצורים, התנהגותו תקינה, ללא הפרות משמעת ושתי בדיקות שמסר נמצאו ללא שרידי סם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם סיפר שמצבו הכלכלי אינו טוב, הוא משלם דמי שכירות הן עבור מגוריו והן עבור המונית שבה עבד.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
הנאשם חזר על עבירות הסמים 5 פעמים.,,,,,,,,,,
"בכל אחת מהפעמים, הנאשם מכר לסוכן כמויות של 7-10 גרם סם מסוג קוקאין, אחד הסמים הקשים, וכן סם נוסף בדמות כדורי MDMA.",,,,['הסוג של הסמים הוא קוקאין ו-MDMA'],['הכמות של הסמים היא [7-10 גרם - יחידות (גרם)]'],,,,,
"תמורת הסמים, קיבל הנאשם סך כולל של 24,100 ₪.",,,,,,,,,,
"הנאשם, יליד שנת 1986, בן כ-38 שנים, נשוי ואב ל-4 ילדים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
