text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"על פי עובדות 	האישום השני, ביום 3.4.19 עת הגיעו שוטרים על מנת לעצור את הנאשם בשל האמור באישום 	הראשון, נמצא הנאשם מחזיק סם מסוכן מסוג קנבוס כשהוא מחולק ל-2 שקיות במשקל 	כולל של 6.82 גרם, וכן שקית ובה סם מסוכן מסוג קנבוס מעורב עם טבק במשקל כולל של	 0.52 גרם.",,,,"['קנביס, קנביס']","['[0.52 - גרם], [6.82 - גרם]']",,,,,,,,,
"הנאשם בן 30 שנה, נשוי ואב לשני ילדים קטינים אחד בן שלוש שנים והשני בן שנה.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
לחובתו	שתי הרשעות קודמות בעבירות הסמים והפרת הוראה חוקית ומתן אמצעים 		לביצוע פשע.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לגבי העבירות נשוא כתב האישום, הנאשם ביטא חרטה והכרה בחומרת           		מעשיו.",,,,,,,,['כן'],,,,,,
הנאשם שיתף שהחל לצרוך סמים מסוג קנביס בהיותו נער וכיום צורך קנאביס           		רפואי ובדיקות השתן שביצע בשירות המבחן הדגימו שימוש בסמים מסוג קנאביס 		בלבד.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בתאריך 7.11.22 השתלב הנאשם בקבוצה טיפולית המיועדת למבוגרים עוברי חוק.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"תחילה, התקשה הנאשם להגיע באופן סדיר למפגשים הקבוצתיים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עם זאת, בהמשך 		הגיע למפגשים בצורה סדירה, נטל בהם חלק פעיל וגילה מוטיבציה להיתרם                		מהמפגשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הוגשה הצהרת נפגע העבירה מטעם המתלונן (ת/16) ולהלן עיקריה:	מאז אותו מקרה השתנו 	חייו לרעה; הוא יוצא לעבודה מפוחד; נשארו לו צלקות פיזיות שמזכירות לו תמיד את 	המקרה 	וגורמות לו לדיכאון; הוא לא ישן טוב והזיכרונות של המקרה גורמים לו לסיוטים; 	לעולם לא ישכח את המקרה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"בנוסף, הנאשם נמלט מאימת הדין למשך שנה וחצי כנתון 		משמעותי לחומרה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"מאז המקרה חלפו ארבע שנים והנאשם עבר 		כברת דרך בחיים, הקים משפחה ונולדו לו 2 ילדים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הנאשם שיתף פעולה עם שירות המבחן, החל לעבוד בעבודה סדורה ומנהל כיום אורח 		חיים נורמטיבי שנסוב סביב עבודתו ובני ביתו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בעת קביעת העונש המתאים בתוך מתחם העונש ההולם לקחתי בחשבון לקולא את 	הנתונים הבאים: הודאתו של הנאשם וחסכון בזמן שיפוטי (וזאת על אף שההודאה נמסרה 	רק לאחר שהמתלונן העיד); היותו של הנאשם אב לשני ילדים קטינים, אחד בן שלוש שנים 	והשני בן שנה אחת.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,['כן'],,,,
"לחומרא, לקחתי בחשבון את עברו הפלילי של הנאשם שכולל שתי הרשעות קודמות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
א.	15 חודשי מאסר בפועל בניכוי ימי מעצרו מ- 3.4.19 ועד 18.4.19.,,,,,,,,,,,,['הנאשם קיבל 15 חודשי מאסר בפועל'],[],[]
8 חודשי מאסר על תנאי והתנאי הוא שבמשך 3 שנים ממועד שחרורו הנאשם לא         		יבצע עבירת אלימות.,,,,,,,,,,,,[],['הנאשם קיבל 8 חודשי מאסר על תנאי'],[]
"ג.	4 חודשי מאסר על תנאי והתנאי הוא שבמשך 3 שנים ממועד שחרורו הנאשם לא         		יבצע עבירה מסוג עוון או פשע לפי פקודת הסמים המסוכנים [נוסח חדש] התשל""ג - 		1973.",,,,,,,,,,,,[],['4 חודשי מאסר על תנאי'],[]
"הנאשם ישלם למתלונן עד תביעה 1 פיצוי בסך של 15,000 ₪.",,,,,,,,,,,,[],[],[]
"הנאשם ישלם קנס בסך של 6,000 ₪ או 20 ימים מאסר תמורתו.",,,,,,,,,,,,[],[],"['6,000 ₪']"
הקנס ישולם ב-	6 תשלומים חודשיים שווים ורצופים כאשר הראשון שבהם עד ליום 1.5.24 	והיתרה 	ב-1 לכל חודש שלאחריו.,,,,,,,,,,,,,,
