text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ביום 18.10.2017, בשעה 22:00 לערך, עת עבד הנאשם בחנות ירקות ברחוב לה גארדיה בתל אביב, החזיק הנאשם בתוך מחסן של העסק, בשקיות ניילון קרועות, שני משקלים דיגיטליים.",,,,,,,,,,,,,,
כמו כן החזיק הנאשם שתי שקיות עם סמים מסוכנים קנבוס: בשקית אחת במשקל 44.59 ובשקית שנייה במשקל 84.61 גרם נטו.,,,,['קנביס (קנבוס)'],"['[44.59 - גרם, 84.61 - גרם]']",,,,,,,,,
"בנוסף, החזיק הנאשם על גופו סמים כאמור במשקל של 2.48 גרם נטו.",,,,,['[2.48 - גרם]'],"['בעל הסמים, לא בעל המעבדה']",,,,,,,,
"במעשיו אלה החזיק הנאשם סמים מסוכנים מסוג קנבוס במשקל כולל של 131.68 גרם נטו, שלא לצריכתו העצמית.",,,,['קנביס (קנבוס)'],['[131.68 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"כשנה עובר ליום 12.11.2018, במועדים שאינם ידועים במדויק למאשימה, סיפק הנאשם לפלוני, בשתי הזדמנויות, סמים מסוכנים מסוג קנבוס, במשקל של 2 גרם עד 3 גרם, בתמורה ל-70 ₪ עד 80 ₪, בכל פעם.",,,,['קנביס (קנבוס)'],['[2 - גרם]'],,,,,,,,,
"כשנתיים עובר ליום 15.11.2018, במועדים שאינם ידועים במדויק למאשימה, סיפק הנאשם לאלמוני, בשתי הזדמנויות שונות, סמים מסוכנים מסוג קנבוס, במשקל של 1 גרם, בתמורה ל-100 ₪ בכל פעם.",,,,"['[קנביס], [קנבוס]']",['[1 - גרם]'],,,,,,,,,
"הנאשם הודה אפוא בעובדות כתב האישום המתוקן והורשע, על יסוד הודאתו זו, בעבירות שבהן הואשם כאמור בפסק 2 דלעיל.",,,,,,,,,,['כן'],,,,
"זאת, בגין כך שביום 06.01.2019, בשעה 21:30 או בסמוך לכך, עת רכב על קטנוע בירושלים, החזיק במכנסיו סמים מסוכנים מסוג קנבוס במשקל 77.19 גרם נטו, שלא לצריכתו העצמית.",,,,['קנביס (קנבוס)'],['[77.19 - גרם]'],,,,,,,,,
"הנאשם הודה בעובדות כתב האישום בתיק המצורף והורשע על יסוד הודאתו בעבירה בה הואשם כאמור (בפרוטוקול, עמ' 5).",,,,,,,,,,['כן'],,,,
"תסקיר שירות המבחן (מיום 06.10.2021) מפרט את נסיבותיו האישיות של הנאשם, יליד שנת 1996 (כבן 26 שנים כיום).",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
