text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
הנאשם הודה והורשע במסגרת הסדר טיעון בכתב אישום מתוקן בשני אישומים.,,,,,,,,,,
"הוגשו חוות דעת שב""ס (נ/1), חוות דעת בית חם (נ/2), מסמכים רפואיים של אמו של הנאשם (נ/3), מסמכים רפואיים של בנו של הנאשם (נ/4), תעודת נישואין (נ/5).",,,,,,,,,,
"באשר לנסיבות ביצוע העבירות, הפנתה לעובדה כי חלקו של הנאשם באישום הראשון הוא בלעדי, ובאישום השני חלקו היה מרכזי עת מסר לסוכן את הסמים ונטל ממנו כסף בתמורה כאשר העבירות בוצעו מתוך תאוות בצע.",,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,
"מדובר בנאשם בגיר, ללא כל לקות שכלית או קרבה לסייג לאחריות פלילית, הוא הבין את חומרת מעשיו ואת השלכותיהם, ויכל להימנע מביצועם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ציינה כי העבירות בוצעו לאחר תכנון לא מבוטל, הנאשם ידע כיצד להשיג את הסמים, בכמויות לא מבוטלות ופעל כדי לסחור בהם.",,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,
"הדגישה לחומרה את העובדה העולה מהאישום השני, שכן הנאשם הוא היה מלווה בקטינה שנכחה באירוע עצמו במסגרתו הועברו לידי הסוכן כ-70 גרם של סם מסוג קוקאין.",,,,['סוג הסמים הוא קוקאין'],['70 - גרם'],,,,,
"בכל הקשור לנסיבות שאינן קשורות בביצוע העבירות, הפנתה להודאת הנאשם בכתב האישום המתוקן, לעברו הפלילי הכולל 10 הרשעות קודמות בעבירות שונות בעיקר בעבירות סמים בגינן אף ריצה עונשי מאסר בפועל, ולעובדה כי תלוי ועומד נגדו מאסר על תנאי בר הפעלה למשך 6 חודשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,
"ב""כ הנאשם הפנה להודאתו המידית של הנאשם, לחיסכון בשמיעת העדים ובזמן שיפוטי יקר.",,,,,,,,,,
"עוד הפנה לנסיבותיו האישות של הנאשם, בין היתר, היותו נשוי ואב לארבעה ילדים, למצבו הבריאותי של בנו השוהה בבית חולים בעקבות תאונה קשה, ולעובדה שגדל בבית עם אב  עבריין מכור לסמים והימורים.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בכל הקשור לרכיב הקנס, ביקש להתחשב במצבו הכלכלי הקשה והעובדה כי בסופו של יום הקנס יוטל על כתפי אשתו של הנאשם המגדלת את ארבעת ילדיהם.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הגב' רותם ממן, אשתו של הנאשם, הפנתה למצבו הקשה של בנם אשר עבר תאונת אופנוע קשה.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
ציינה כי היא אישה עובדת אשר מנהלת אורח חיים נורמטיבי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם עצמו הצטער על מעשיו , קיבל אחריות עליהם, וציין כי הוא חש בושה  על ביצוע העבירות.",,,,,,,,,,
בפעם הראשונה מדובר במשקל של כ-20 גרם סם מסוג קוקאין ובפעם השנייה במשקל של  כ-70 גרם סם מסוג קוקאין.,,,,['הסוג של הסמים הוא קוקאין'],['הכמות של הסמים היא [20 - גרם]'],,,,,
"מדובר בנאשם בגיר אשר הבין את הפסול במעשיו ואת השלכותיהם, יכול היה לחדול ממעשיו אך הוא לא עשה כן, וחלקו בביצוע העבירות נשוא האישום הראשון הינו בלעדי.",,,,,,,,,,
הנאשם היה שותף מלא בתכנון ובהוצאה לפועל של העסקה ומעורבותו הייתה מרכזית.,,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,
"הנאשם הוא זה שסייע לסוכן לרכוש סם מסוכן מהאחר,  קיבל את הסם לידיו, הגיע למקום המפגש, העביר לסוכן את הסם וקיבל לידיו את סכום התמורה עבור הסם.",,,,,,,,,,
"מדובר בסם מסוכן מסוג קוקאין שפגיעתו קשה, והעבירות בוצעו ממניע כלכלי.",,,,['הסוג של הסמים הוא קוקאין'],,,,,,
"לקולה אני מביא בחשבון את: קבלת האחריות; הבעת החרטה; ההודאה בכתב האישום המתוקן, החיסכון בזמן שיפוטי רב; נסיבותיו האישיות והמשפחתיות כמפורט בטיעוני ההגנה ובדברי הנאשם ואשתו ובפרט מצבו הרפואי של בנו; תקופת המעצר הארוכה בה הוא היה נתון עד היום  (כידוע תנאי המעצר קשים מתנאי מאסר) והשלכות המעצר/מאסר על הנאשם ומשפחתו, את האמור בחוות דעת של שב""ס (נ/1) ממנה עולה כי הנאשם מתפקד באופן תקין ללא עבירת משמעת או שלילת טובת הנאה ומביע מוטיבציה מילולית לטיפול , את המכתב מאת בית חם (נ/2) ממנו עולה כי הנאשם פנה למרכז בבקשה להתקבל למסגרת אישפוזית לטיפול גמילה מהתמכרותו בתחילת חודש נובמבר 2023.",,"['1 : כן', '2 : כן', '3 : כן', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"לחומרה אני מביא בחשבון את עברו הפלילי של הנאשם הכולל 10 הרשעות קודמות, ביניהם עבירות שונות בעיקר בתחם הסמים ועוד, והעובדה כי העבירות בוצעו כאשר תלוי ועומד נגדו מאסר על תנאי למשך 6 חודשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,
אני גוזר על הנאשם מאסר בפועל לתקופה של  30 חודשים .,,,,,,,,['30 חודשים'],[],[]
סך הכל ירצה הנאשם  36 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 10.01.23 ועד היום.,,,,,,,,['הנאשם קיבל 36 חודשי מאסר בפועל'],[],[]
אני גוזר על הנאשם מאסר על תנאי לתקופה של 10 חודשים והתנאי הוא  שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת סמים מסוג פשע ויורשע בגינה.,,,,,,,,[],['הנאשם קיבל 10 חודשי מאסר על תנאי'],[]
אני גוזר על הנאשם 18 חודשי פסילה בפועל מלנהוג או מלקבל או מלהחזיק ברישיון נהיגה החל מיום שחרורו ממאסר ובמצטבר לכל פסילה אחרת.,,,,,,,,[],[],[]
"אני מטיל על הנאשם קנס כספי בסך 15,000 ₪ או  60 ימי מאסר תמורתו.",,,,,,,,[],[],"['15,000 ₪']"
