text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
די בכך שהעונש שיוטל על הנאשם יהיה מאסר 6 חודשים בדרך של עבודות שירות.,,[],[],[],,,,,,,,,,,,,,,,,
"בשקלול של כל הנתונים, הרי שבמקרה שבנדון, לאור העובדה כי הנאשם כבר היה במעצר כשלושה חודשים וחצי, די בכך שהעונש שיוטל עליו יהיה מאסר 6 חודשים בדרך של עבודות שירות.",,['הנאשם קיבל 6 חודשי מאסר בדרך של עבודות שירות'],[],[],,,,,,,,,,,,,,,,,
עברו הפלילי של הנאשם אינו כולל כל אלימות או שימוש בנשק.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,
"מהתסקיר עולה שהנאשם הוא בחור צעיר שחווה משברים בחייו, והוא נמצא בבלבול סביב דרכו.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"הנאשם עבד עד למעצרו בתפקיד אחראי, בניהול מסעדה המספקת גם ארוחות לבתי ספר.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"המעביד שלו העיד וסיפר עד כמה הוא סומך עליו, ולכן ניתן להסיק כי הנאשם, מיסודו, הוא אדם חיובי ונורמטיבי.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"בשלב מאוחר יותר, הוגש כתב אישום מתוקן, ובו הודה הנאשם, ולאור הודאתו הרשעתי אותו בעבירה (ראה הכרעת דין מיום ב אב תשס""ח (3.8.08)).",,,,,,,['כן'],,,,,,,,,,,,,,
"על פי כתב האישום המתוקן, נשא הנאשם ביום 12.7.08 בשעה 00:55 לערך, בעת שנהג ברכב, סמוך לצומת הערבה, אקדח בקוטר , כשבתוכו מחסנית ובה 15 כדורים, וכן מחסנית ובה כ-10 כדורים.",,,,,,,,,['אקדח'],,,,"['ברכב', 'על גופו']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,
"בנוסף לכך, החזיק הנאשם באותו אירוע חשיש במשקל  נטו, לשימוש עצמי.",,,,,,,,,,,,,,,,,,,,,
"הנאשם הורשע על פי הודאתו בשתי עבירות של נשיאת נשק, עבירה לפי סעיף 144(ב) לחוק העונשין, התשל""ז-1977, והחזקת סם לצריכה עצמית בלבד, עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים, התשל""ג-1973 (ראה הכרעת דין מיום ב אב תשס""ח (3.8.08)).",,,,,,,['כן'],,,,,,,,,,,,,,
"גם בכך הודה הנאשם, ובאותו יום הורשע על פי הודאתו בעבירה של החזקת סם לצריכה עצמית.",,,,,,,['כן'],,,,,,,,,,,,,,
"התסקיר שהוגש ביום ד אלול התשס""ח (4.9.08), מתאר את ההיסטוריה של הנאשם, שהוא בן 22, גרוש.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,
"נישואיו נערכו עקב טענת חברתו, כי הוא היה הגורם לכך שהיא הרה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
