text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"* הנאשם, שהורשע בעבירות של החזקת נשק ותחמושת שלא כדין, נדון ל-15 חודשי מאסר בפועל, לצד מאסר מותנה וקנס.",,[],['15 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"בשורה של פסקי דין נקבע, כי חומרת הסיכון הנשקף מעבירות אלה, מחייבת השתת עונשי מאסר בפועל בגין עבירות אלה וזאת גם כאשר המדובר, לכאורה, במי שמנהל אורח חיים נורמטיבי ואין לחובתו הרשעות קודמות.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"יש לקבוע מתחם ענישה, בכל הנוגע לאחזקת נשק חם קצר, מסוג אקדח – חצי אוטומטי, שהוא מוחזק בלווית תחמושת מתאימה, במחסנית, מוכן לשימוש, בתוך כלי רכב – כך שינוע בין 15 עד 30 חודשי מאסר בפועל.",,[],[],[],,,,,['אקדח'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"לנוכח השיקולים לקולה, ובעיקר – שירותו הצבאי של הנאשם והיעדר הרשעות קודמות – יושת עונש על הרף הנמוך ביותר של מתחם הענישה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"יש להטיל על הנאשם 15 חודשי מאסר בפועל, שני מאסרים מותנים וקנס בסך 10,000 ₪.",,[],['15 חודשי מאסר בפועל'],"['10,000 ₪']",,,,,,,,,,,,,,,,,
"בהתאם לעובדות כתב האישום המתוקן (תיקון פרוצדורלי) נתפס הנאשם, בתאריך 26.10.16, סמוך לשעה 05:00 בבוקר, מחזיק בנשק חם מסוג אקדח ברטה, חצי אוטומטי, מודל F84, קליבר 9 מ""מ קצר, מספר סידורי D79906Y, בצירוף מחסנית ובה כדורים.",,,,,,,,,"['אקדח סוג הנשק הוא אקדח, בהתאם לעובדות כתב האישום המתוקן']",,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"הנשק הוחזק מתחת לכיסא הנהג ברכב אותו החזיק הנאשם, מסוג מרצדס, מ.ר. 53-321-59.",,,,,,,,,,,,,,,,,,['מאחר'],,,
"במענה לכתב האישום, הודה הנאשם בתפיסת הנשק, במקום ובזמן המתואר בכתב האישום אך טען, כי מעולם לא החזיק בנשק ולא ידע על קיומו.",,,,,,,['לא'],,,,,,,,,,,[],,,
"שמיעת הראיות בתיק זה הסתיימה, לאחר מספר דיונים שבוטלו מטעמים שונים הקשורים בהגנה (לרבות אי התייצבות הנאשם; אי התייצבות עד מטעם ההגנה; טענת הסניגור כי אינו חש בטוב), לאחר שההגנה לא הגישה סיכומיה, גם לאחר מספר רב של ארכות שניתנו, וגם לאחר חיוב הסניגור בהוצאות אישיות – ניתנה, בדלית ברירה, הכרעת דין בהעדר סיכומי ההגנה והנאשם הורשע בעובדות ובעבירות שבכתב האישום, לאחר שנקבע, כי עלה בידי התביעה הכללית להוכיחן ברמת הראיות הנדרשת במשפט פלילי.",,,,,,,,,,,,,,,,,,,,,
"גם לאחר מכן – נדחו מספר דיונים, שוב, מסיבות הקשורות להגנה, בין היתר לאור הטענה , כי הנאשם מבקש להחליף את ייצוגו (בסופו של דבר לא הוחלף הייצוג) וכן לאור טענת ההגנה, כי מבקשת להביא עדים לעניין העונש (בסופו של דבר – לא הובאו).",,,,,,,,,,,,,,,,,,,,,
דיונים נוספים נדחו בשל אילוצים אישיים או משפחתיים של הסניגור.,,,,,,,,,,,,,,,,,,,,,
"על פי המפורט בה – השתחרר מצה""ל, לאחר שירות, מלא.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
מפקדי הנאשם העריכו את התנהגותו כראויה לשבח;,,,,,,,,,,,,,,,,,,,,,
"פסק דין המעניק לנאשם ולרעייתו אפוטרפסות על אחד מילדיו, שאינו מסוגל לנהל עניינו בעצמו – נ/5;",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"מכתבים מראש מועצת חורה – מר חאבס אלעטאונה, וכן קרוב משפחתו של הנאשם – ראש המשפחה המורחבת – מר סאלם ג'אעבר אבו אלקיעאן – נ/6.",,,,,,,,,,,,,,,,,,,,,
"על פי המפורט במכתבים – מפרט הנאשם בעצמו כראש פלג, המונה 300 נפשות, בתוך המשפחה; פעיל חברתי, לרבות בוועד ההורים ביישוב; משמש כמגשר ליישוב סכסוכים ונחשב אדם חיוני למועצה וליישוב;",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
חוות דעת פרטית פסיכו-סוציאלית-קרימינולוגית – נ/7.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"על פי המפורט בחוות הדעת, מנהל הנאשם חיים נורמטיביים; נשוי לבת דודה מדרגה ראשונה ומטופל ב-7 ילדים, חלקם בעלי צרכים מיוחדים; שירת בצה""ל לרבות כלוחם; מנהל עסקים משפחתיים בתחום סחר בכלי רכב.",,,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
הנאשם הודה בעבירה המיוחסת לו בשיחה עם הקרימינולוגית הפרטית.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['כן'],,,,,,,,,,,,,,
"טען בפניה, כי שגה באופן ניהול ההליך המשפטי, בכך שבחר שלא להודות בעבירה, זאת, מתוך חוסר נסיונו בהליכים משפטיים.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,,
גילה עמדות נורמטיביות.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"הקרימינולוגית הפרטית התרשמה, כי מדובר באדם שאין לו דפוסים עברייניים.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"לנוכח נטילת אחריות על מעשיו – המליצה לשלבו בטיפול פסיכו-סוציאלי, בו ירכוש כלים להתנהגות נכונה בעת לחץ, שיאפשרו ביטוי רגשותיו ועיבוד קשיו הרגשיים.",,,,,,,['לא'],,,,,,,,,,,,,,
"התביעה הדגישה, כי הנשק הוחזק בצירוף תחמושת – מחסנית טעונה.",,,,,,,,,,,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"עוד נטען, כי הנשק הוחזק במקום בו קיימת נגישות לבני המשפחה, לרבות ילדים.",,,,,,,,,,,,,,,,,,,,,
"התביעה טוענת למתחם ענישה, שינוע בין 18 – 36 חודשי מאסר בפועל בגין החזקת הנשק והתחמושת יחדיו.",,[],[],[],,,,,,,,,,,,,,,,,
"בדברו האחרון, הביע הנאשם צער על מעשיו.",,,,,,,['לא'],,,,,,,,,,,,,,
