text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"בית המשפט הטיל על הנאשם 20 חודשי מאסר בפועל, לצד ענישה נלווית.",,['הנאשם קיבל 20 חודשי מאסר בפועל'],[],[],,,,,,,,,,,,,,,,,
"בכל הנוגע לאחזקת נשק אוטומטי, מסוג רובה סער, המתחם הנוהג כיום הוא בין 18 – 36 חודשי מאסר בפועל.",,['הנאשם קיבל 36 חודשי מאסר בפועל'],[],[],,,,,,,,,,,,,,,,,
בנוגע לאחזקת תחמושת בכמות כפי שהוחזקה כאן (2 מחסניות עם כדורים) – עד 6 חודשי מאסר בפועל.,,['הנאשם קיבל 6 חודשי מאסר בפועל'],[],[],,,,,['אקדח'],,,,,,,,,,,,
"אשר למתחם הענישה הכולל בתיק זה, בגין האירוע כולו, כלומר הן החזקת רובה הסער והן החזקת התחמושת – יועמד המתחם בין 20 ועד 40 חודשים מאסר בפועל.",,[],[],[],,,,,,,,,,,,,,,,,
"מכלול הנתונים שהוצגו, לרבות העובדה, כי הנאשם נתפס, זמן לא רב לפני הסתבכותו בעבירה דנן, מחזיק נשק קר, נשפט, בין היתר, לעונש מאסר מותנה והדבר לא הרתיעו – מצביעים לכיוון ענישה, שאינה על הרף הנמוך של המתחם.",,,,,,,,,,,,,,,,,,,,,
"ברם, לנוכח נסיבותיו האישיות של הנאשם – ובעיקר גילו המבוגר; הפרטים שנמסרו בנוגע למצבו הבריאותי וכן לנוכח הודאתו באשמה (אם גם לאחר שנמסרה, בתחילה, כפירה והתיק נקבע לשמיעת ראיות) – כמו גם, לאור התקופה בה שהה הנאשם בתנאים מגבילים (אם גם לא הייתה הגבלה מלאה על תנועותיו במרבית הזמן) – לא ימצה בית המשפט עמו את הדין ועונשו יועמד על הצד הנמוך של המתחם.",,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,['כן'],,,,,,,,,,,,,,
"בנוסף, יושתו על הנאשם ענשי מאסר מותנה, הן בגין אחזקת נשק חם והן בגין אחזקת תחמושת או נשק שאינו נשק חם; וכן עיצום כספי מרתיע בדמות קנס, בין היתר לנוכח כך, שהנשק המדובר הוא נשק תקני, אוטומטי בעל שווי כספי לא מבוטל.",,,,,,,,,,,,,,,,,,,,,
"בהתאם לעובדות כתב האישום המתוקן ת/1, בהן הורשע הנאשם במסגרת הסדר טיעון, בתאריך 02/04/17, בחיפוש שנערך במסגרת פעילות משטרתית יזומה, נתפס הנאשם מחזיק, בביתו, רובה סער מסוג קלאצ'ניקוב ושתי מחסניות המכילות קליעים, מוסלקים בתוך ארון בחדר השינה.",,,,,,,,,"[""רובה סער מסוג קלאצ'ניקוב""]",,,,"['בבית', 'מוסלק - מוסתר']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,
"עוד נאמר בכתב האישום המתוקן, כי את הנשק האמור – קיבל הנאשם מידי דודו, לפני מותו, בשנת 2000.",,,,,,,,,,,,,,,,,,,,,
"תחילה, כפר הנאשם באשמה והתיק נקבע לשמיעת ראיות, אך במועד ההוכחות - נערך בין הצדדים הסדר טיעון, במסגרתו הודה הנאשם ובעובדות ובעבירות שבכתב האישום המתוקן.",,,,,,,['כן'],,,,,,,,,,,,,,
"בשנת 2015, הורשע הנאשם בגין עבירה של אחזקת נשק קר – סכין - שלא כדין.",,,,,,,,,,,,,,,,,,,,,
"בענינו של הנאשם הוגש תסקיר, המפרט את נסיבותיו האישיות, כבן  63 בעת עריכת התסקיר (כיום – 64), נישא לשתי נשים במדינת ישראל וכן לאשה נוספת – בירדן, ממנה, לטענתו, התגרש.",,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,
לנאשם צאצאים מכל אחת מהנשים.,,,,,,,,,,,,,,,,,,,,,
הנאשם מחלק זמנו בין הארץ לבין ביקור משפחתו בירדן.,,,,,,,,,,,,,,,,,,,,,
"בעבר - עבד כנהג מונית - מיניבוס, אך כיום אינו עובד ומתפרנס מקצבת נכות, מטעם המל""ל.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"הנאשם תושב ירדן, אשר, בשנת 1992 זכה לאזרחות ישראלית, מכֹּחַ איחוד משפחות, לאחר שנישא בפעם השניה לאשה אזרחית ישראלית.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"כאן, נישא לאשה נוספת, שלישית במספר, שהיא, כיום - כבת 35.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,
"לדברי הנאשם, הוא מוכר כ""שֵיך"" ומשמש כמסייע לפתרון סכסוכים במגזר הבדואי, והעבירה הקודמת בה הורשע, היתה בשל כך שלבש גלימה ובה חגורה עם סכין (בדברו האחרון הסביר, כי המדובר בסכין מסוג ""שבריה""), שהוא פריט לבוש המקובל על ידי שֵיכים.",,,,,,,,,"['סוג הנשק הוא ""סכין""']",,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"בהתייחס לעבירה – נטל הנאשם אחריות על מעשיו וציין, כי פעל ברשלנות ובפזיזות, כאשר לא השיב הנשק לידי רשויות החוק.",,,,,,,['לא'],,,,,,,,,,,,,,
שירות המבחן התרשם מניהול אורח חיים יציב ותקין ומהיעדרם של דפוסים אלימים או עבריניים.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"שירות המבחן התרשם, כי הנאשם פעל מתוך ""חוסר הבנה"" של חומרת העבירה וכי ההליך המשפטי שננקט נגד הנאשם, מהווה בעבורו גורם מרתיע ומציב גבולות.",,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
שירות המבחן לא מצא נזקקות טיפולית.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
בסיומו של התסקיר –בא שירות המבחן בהמלצה להסתפק בענישה בדרך של מאסר לריצוי בעבודות שירות.,,,,,,,,,,,,,,,,,,,,,
"התביעה הדגישה, כי במקרה דנן – הוחזק נשק מסוג רובה סער וכן תחמושת.",,,,,,,,,['רובה סער (Assault Rifle)'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"התביעה טענה, כי הנאשם הוחזק במקום מגורים, מקום בו גם לקטינים היתה נגישות אליו.",,,,,,,,,,,,,,,,,,,,,
"התביעה טענה, כי כוחות המשטרה הגיעו לבית הנאשם לא באקראי, כי אם לאור מידע מודיעיני קונקרטי, שהצביע על אחזקת אמל""ח (הדבר גם בא ידי ביטויו בסעיף 2 לכתב האישום המתוקן, שם נאמר, כי החיפוש בוצע במסגרת פעילות יזומה).",,,,,,,,,,,,,,,,,,,,,
"התביעה עתרה לקביעת מתחם ענישה כולל, הן בגין אחזקת כלי הנשק והן התחמושת, שינוע בין 30 עד 48 חדשי מאסר בפועל וכן להשית על הנאשם עונש מאסר מותנה וקנס כספי מרתיע.",,[],['הנאשם קיבל 12 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"ההגנה טענה בנוגע לנסיבותיו האישיות של הנאשם, אשר כיום הוא בן 64 בקירוב וסובל ממחלות שונות (לא הוצגו מסמכים מאמתים).",,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,
"ההגנה טענה בנוגע לנסיבות, בהן הגיע הנשק לידי הנאשם, אשר לא רכש אותו אלא קיבל אותו מידי דודו, וכן לכך, כי הנשק הוחזק אצלו כ-17 שנה, לטענתה - ללא שימוש.",,,,,,,,,,,,,,,,,,['מאחר'],,,
"ההגנה טענה, כי הענישה היא אינדיוידואלית, ועתרה לאמץ המלצת שירות המבחן.",,,,,,,,,,,,,,,,,,,,,
"בדברו האחרון, מסר הנאשם, כי קיבל הנשק מדודו ולא התכוון להשתמש בו.",,,,,,,,,,,,,,,,[],[],['מאחר'],,,
"הנאשם סיפר על התקופה, בה שהה בתנאים מגבילים ולדבריו – נמנע ממנו לעבוד לפרנסתו (הגם שבשירות המבחן מסר, כי הוא נכה ומתפרנס מקצבה).",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"אחזקת נשק ותחמושת על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום מי שמחזיק נשק ברשיון נדרש לאפסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות שהוחזק לצורך פעילות שלילית, כמפורט לעיל.",,,,,,,,,,,,,,,,,,,,,
"זאת, כדי לבלום את שרשרת העבירות בשלב ראשוני.",,,,,,,,,,,,,,,,,,,,,
"ערעור המדינה התקבל בהסכמת הצדדים, תוך שהוחמרו עונשי המאסר שהושתו על המשיבים ל-26 ו-31 חדשי מאסר בפועל (בהתאמה).",,,,,,,,,,,,,,,,,,,,,
"בפסק הדין ע.פ. 4945/13 מדינת ישראל נ' סלימאן (פורסם במאגרים), [פורסם בנבו], אושר מתחם ענישה שינוע בין שנה ועד שלוש שנות מאסר, בגין החזקת כלי נשק  בודד מסוג תת-מקלע קרל גוסטב וכן מחסנית וכדורים.",,[],[],[],,,,,['תת-מקלע קרל גוסטב (Carl Gustav)'],,,,,,,,,,,,
"בית המשפט העליון ציין, כי ראוי לקבוע עונשים מרתיעים בגין עבירות אלה והעמיד המתחם שם בין 12 ועד 36 חדשי  מאסר בפועל.",,[],[],[],,,,,,,,,,,,,,,,,
"שם, נדון נאשם בגין עבירה של נסיון להחזקת אקדח מסוג ברטה (העבירה תוקנה לנסיון, במסגרת הסדר טעון, בשל כך שהנשק לא היה תקין), וכן תת מקלע מאולתר, כשכלי הנשק הוחזקו בביתו של הנאשם שם, לעונש מאסר בן 20 חדשים בפועל.",,,,,,,,,['תת מקלע מאולתר'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"זאת, במסגרת מתחם כולל שנע בין 18 עד 42 חדשי מאסר.",,[],[],[],,,,,,,,,,,,,,,,,
"מבחינת מדרג החומרה, הוצבה החזקה של רובה סער או תת מקלע – ברמה אחת לפני הרמה החמורה ביותר ואילו אחזקת נשק קצר - אקדח - ברמה נמוכה יותר.",,,,,,,,,"['אקדח סוג הנשק המדובר הוא אקדח, כיוון שהוא מוזכר כרמה הנמוכה ביותר במדרג החומרה, מתחת לרובה סער או תת-מקל']",,,,,,,,,,,,
"לנוכח הפסיקה, שפורטה באותה הנחיה, הונחתה התביעה הכללית לטעון למתחם, שינוע בין שנתיים עד ארבע שנות מאסר בפועל בגין כל עבירה בודדת של החזקת רובה או תת מקלע; בין שנה לשלוש שנים בגין אחזקת נשק קצר מסוג אקדח; 6 חדשי מאסר בפועל, לריצוי בדרך של עבודות שירות, עד 6 חדשי מאסר בפועל ממש בגין אחזקת תחמושת.",,[],[],[],,,,,,,,,,,,,,,,,
"סיכומו של דבר, בכל הנוגע לאחזקת נשק אוטומטי, מסוג רובה סער, המתחם הנוהג כיום הוא בין 18 – 36 חדשי מאסר בפועל.",,[],[],[],,,,,,,,,,,,,,,,,
בנוגע לאחזקת תחמושת בכמות כפי שהוחזקה כאן (2 מחסניות עם כדורים) – עד 6 חדשי מאסר בפועל.,,['הנאשם קיבל 6 חודשי מאסר בפועל'],[],[],,,,,['אקדח'],,,,,,,,,,,,
"אשר למתחם הענישה הכולל בתיק זה, בגין האירוע כולו, כלומר הן החזקת רובה הסער והן החזקת התחמושת – יועמד המתחם בין 20 ועד 40 חדשים מאסר בפועל.",,[],[],[],,,,,,,,,,,,,,,,,
