text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בעובדות כתב האישום נטען כי ביום 23.03.2021 בשעה 21:12 או בסמוך לכך, ברחוב בתל אביב וכשהוא יושב ברכב, מכר הנאשם לפלונית סמים מסוכנים מסוג קנבוס, במשקל של 5.3 גרם נטו ובתמורה לסך של 400 ₪.",,,,['סוג הסמים הוא קנבוס'],['5.3 - גרם'],,,,,
"בנוסף, באותן הנסיבות החזיק הנאשם בסמים מסוכנים מסוג קנבוס, ברכב, כלהלן: בדלת שמאל של הרכב, הקרובה למושב הנהג, בשקית ובה סמים במשקל של 5.1 גרם נטו; על הרצפה שמאחורי מושב הנהג, בשקית גדולה המכילה 3 אריזות סמים במשקל של 30.1 גרם נטו ועוד 8 אריזות סמים מסוכנים במשקל של 93.60 גרם נטו.",,,,['סוג הסמים הוא קנבוס'],['הכמות של הסמים היא [5.1 - גרם]'],,,,,
"תסקיר שירות המבחן (מיום 02.04.2023), מפרט את נסיבותיו האישיות של הנאשם, יליד שנת 1996 (בן 27 שנים כיום).",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"הנאשם, רווק המתגורר עם משפחתו בבאר שבע, עלה ארצה מהקווקז בגיל שנתיים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם סיים 12 שנות לימוד ושירת שירות צבאי מלא, כלוחם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
לאחר שחרורו עבד הנאשם במספר עבודות וכיום הוא עובד בפיצרייה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"לאחרונה החל הנאשם, במקביל לעבודתו, לימודי הנדסאות תוכנה במכללה הטכנולוגית בעיר מגוריו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"אשר לצריכת חומרים פסיכו-אקטיביים מסר הנאשם כי החל לצרוך אלכוהול, בסופי שבוע, עוד בהיותו בן 16 שנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"לדברי הנאשם, הוא התנסה לראשונה בצריכת סמים מסוכנים מסוג קנבוס בהיותו בן 17, בנסיבות חברתיות, אך הדבר גרם לו לתחושות לא נעימות ועל כן נמנע מכך.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,"['סוג הסמים הוא קנבוס, או מריחואנה']",,,,,,
ממנחות הקבוצה הטיפולית עלה כי הנאשם הגיע לכל המפגשים בזמן ושיתף שברצונו לרכוש כלים יישומיים על מנת לנקוט בבחירות מיטביות בהמשך חייו.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בשיחה שערך השירות עם הנאשם שיתף הלה כי הוא רואה את שילובו בקבוצה כהזדמנות לשקם את עצמו, ללמוד ולהחכים בכל הנוגע לבחירות חייו העתידיות; כשתוך כך הוא מתמיד בעבודתו בפיצרייה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בנסיבות אלה, נוכח ההתרשמות החיובית של שירות המבחן משיתוף הפעולה של הנאשם, כמו גם החשיבות שבמעקב אחר השתלבות הנאשם בהליכי טיפול, המליץ השירות להטיל על הנאשם צו מבחן לתקופה של שנה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עם זאת, ב""כ המאשימה עמדה גם על נסיבות הקולה, ובהן העדר העבר הפלילי ונטילת האחריות, ובנסיבות אלה עתרה לגזירת העונש ברף התחתון של המתחם לו טענה, בצירוף ענישה נלווית כפי שפורטה במסגרת הצגת הסדר הטיעון.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,
"ב""כ הנאשם, מצידו, הדגיש את נסיבותיו האישיות של מרשו, שהוא כאמור נעדר עבר פלילי כלשהו.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
