text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם 1 הורשע על פי הודאתו בביצוע סחר בסמים מסוג קוקאין במשקל 15 גרם ו-25 גרם בשתי הזדמנויות תמורת 15,750 ₪, עבירות לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973, מכירות שבוצעו לסוכן משטרתי, במסגרת מבצע בו הופעל הסוכן מאוקטובר 2020 ועד אוקטובר 2021, פרשה בה הועמדו לדין 37 נאשמים נוספים.",,,,,,,,,,['כן'],,,,
"משפטו של נאשם 2, קרוב משפחתו של נאשם 1, שהורשע לפי הודאתו בשלוש עבירות סחר בסמים קשים לסוכן המשטרתי, לרבות בצוותא עם נאשם 1 בהזדמנות אחת, הועבר לבית המשפט הקהילתי חרף התנגדות המאשימה (בהתאם להחלטת כב' השופט מ' מזרחי (כתוארו אז), בהחלטה מיום 11.5.2022), והוא מצוי עתה בשלבים מתקדמים של ההליך (בשלב 5).",,,,,,,,,,,,,,
"באישום הראשון הודה נאשם 1 כי ביום 7.12.2020 בשעה 20:00 עת שהה הסוכן בקיוסק בבעלותו של נאשם 2, פנה אליו נאשם 1, הציע למכור לו 10 גרם קוקאין והסוכן אמר שהוא מעוניין ב-15 גרם.",,,,['הסוג של הסמים הוא קוקאין'],['[15 - גרם]'],,,,,,,,,
"אז התקשר נאשם 1 בשיחת וידאו לזוגתו הגב' ליטל ממן, והיא הציגה לסוכן שקית שלדבריהם הכילה קוקאין.",,,,"['הסוג של הסמים הוא קוקאין, כפי שמצוין בטקסט: ""היא הציגה לסוכן שקית שלדבריהם הכילה קוקאין.""']",,,,,,,,,,
"ביום 24.12.2020 לאחר שסיכמו השניים את פרטי העסקה, הגיע הסוכן לבית נאשם 1 בעיר לוד, ובאותו מעמד מכר לו נאשם 1 קוקאין במשקל 15.437 גרם נטו בתמורה ל-6,000 ₪.",,,,['סוג הסמים הוא קוקאין'],['[15.437 - גרם]'],['לא בעל הסמים'],,,,,,,,
"אז הציע נאשם 1 לסוכן לרכוש קוקאין תמורת 400 ₪ לכל גרם, והסוכן אמר שיבדוק זאת.",,,,['הסוג של הסמים הוא קוקאין'],,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"ביום 21.1.2021 לאחר תיאום בין השניים, הגיע הסוכן לביתו של נאשם 1, שם הניח נאשם 2 קוקאין במשקל 24.96 גרם נטו בארון החשמל.",,,,['סוג הסמים הוא קוקאין'],['[24.96 - גרם]'],['לא בעל המעבדה'],,,,,,,,
"הסוכן נטל את הסמים והשאיר תמורתם 9,750 ₪ בארון החשמל.",,,,,,,,,,,,,,
"בתסקיר מיום 11.12.2022 פרס שירות המבחן את נסיבותיו של הנאשם, שהיה אז בן 31, גרוש ואב לילד כבן 6, בעל תעודת בגרות חלקית, שירת שירות צבאי מלא, ועבד בתחום המכירות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם התגורר עם זוגתו ושני ילדיה הקטינים מנישואיה הקודמים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
