text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"כמפורט בעובדות כתב האישום המתוקן, קשר הנאשם קשר עם אחרים לשכור מחסן ולגדל בו סמים מסוג קנבוס.",,,,['קנביס'],,"['[בעל הסמים, לא בעל המעבדה]']",,,,,,,,
"במסגרת הקשר, שכר הנאשם ביום 1.11.20 מחסן מקורה בגודל 180 מ""ר תמורת סכום של 5,000 ₪ בחודש.",,,,,,,,,,,,,,
"החל ממועד זה, הקימו במחסן אחרים שזהותם אינה ידועה, בידיעת הנאשם ובהסכמתו, מעבדה לגידול סם מסוכן מסוג קנבוס.",,,,['קנביס'],,,['לא'],,,,,,,
"האחרים הכניסו למעבדה ציוד בהיקף רב ששימש לגידול הסם, לרבות מנועים, מזגנים, מנורות, אדניות ובקבוקי דשן.",,,,['הסוג של הסמים המוזכרים בטקסט הוא [קנביס]'],,"['לא בעל המעבדה, בעל הסמים']",['כן'],,,,,,,
"ביום 23.11.21 נתפסו במחסן, בחמישה חדרים שונים, 1,800 שתילי קנבוס במשקל כולל של 200 ק""ג נטו.",,,,['קנביס (קנאביס)'],"['[200 - ק""ג]']",,['לא'],,,,,,,
"בנוסף, עוד נטלו האחרים, באמצעות חיבור לא חוקי, ובהסכמת הנאשם,  חשמל בשווי של 131,000 ₪.",,,,,,,,,,,,,,
"על פי התסקיר הראשון (31.1.23), הנאשם, בן 30, נשוי ואב לשלושה ילדים קטנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"התחנך 10 שנות לימוד במסגרות חינוך חרדיות, עד לנשירתו בגיל 16 בשל קשיי הסתגלות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
קיבל פטור משירות צבאי על רקע קיום אורח חיים דתי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
לאורך השנים עבד בעבודות מזדמנות בתחום המסעדנות ושיפוצים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
