text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בהתאם לעובדות כתב האישום, בהן הורשע הנאשם במסגרת הסדר טיעון, נתפס הנאשם, בתאריך 06/04/16, מחזיק, בתא המטען של רכבו מסוג רנו מ.ר.",,,,,,,,,,['ברכב'],,,,,[],,,,,,
"88-687-10, שני כלי נשק מסוג תת מקלע מאולתר, האחד – בתחתית תא המטען, אליו צמודה מחסנית ריקה והשני – בתוך תיק שחור, ביחד עם שתי מחסניות.",,,,,,['תת מקלע מאולתר (מקלע מאולתר)'],,,,"['ברכב', 'מוסלק - מוסתר']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"תחילה, נקשר בין הצדדים הסדר, במסגרתו הודה הנאשם בעובדות והורשע בעבירות בהתאם לכתב אישום מתוקן, ואולם בהמשך, עתרו הצדדים לבטל את הכרעת הדין ולחזור בהם מהסכמותיהם, תוך שהנאשם הודה, זו הפעם, בכתב האישום המקורי.",,,,['כן'],,,,,,,,,,,,,,,,,
"התסקירים מפרטים נסיבותיו האישיות, רווק, כבן 21, אינו עובד.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
האב בעל עסק עצמאי בתחום ההובלה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם ניהל אורח חיים תקין והתסקיר אינו מפרט קשיים מיוחדים או מחסור, אליהם נחשף הנאשם.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בהתיחס לעבירה, סיפר הנאשם לקצין המבחן מספר גרסאות.",,,,,,,,,,,,,,,,,,,,,
"תחילה מסר, כי גורמים עבריניים החליטו להחביא את כלי הנשק ברכבו.",,,,,,,,,,,,,,,,,,,,,
"בהמשך, שינה התיחסותו ומסר, כי אדם שפרטיו אינם ידועים ושלא הכיר אותו הציע לו לרכוש את כלי הנשק והוא עשה זאת לצורך שימוש באירועי שמחה ובחתונות, ללא כוונות פליליות.",,,,,,,[],,,,,,,,,,,,,,
"שירות המבחן התרשם מהנאשם, כמי שמתקשה בהתבוננות מעמיקה באשר לגורמים שהביאוהו להסבתך בעבירות ואינו מאפשר לבחון את העומד בבסיס בחירותיו והתנהלותו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם מפער בין התדמית, שביקש הנאשם להציג לבין קשייו בעריכת תהליך חשבון נפש ובהתבוננות עצמית ביקורתית.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
שירות המבחן התרשם מהתיחסות מצמצמת ביחס לעבירות שעבר הנאשם ומעמימות באופן בו שיתף הנאשם בכל הנוגע למערכת קשריו החברתיים ולבחירותיו.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן המליץ לדחות את הדיון, על מנת לנסות  ולהתחקות אחר מניעיו של הנאשם העומדים בבסיס העבירות ואולם, גם לאחר תקופת דחיה מצא, כי הנאשם מתקשה לבחון את פוטנציאל הפגיעה כתוצאה ממעשיו, מתאר הדברים בצורה שטחית ואת הסתבכותו בעבירות כמקרית.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"במסגרת הערכת שירות המבחן, השתלב הנאשם במספר קבוצות טיפוליות, אך גם אז, התקשה לבחון מעשיו באופן ביקורתי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בסופו של דבר, בא שירות המבחן בהמלצה להשית על הנאשם רכיבי ענישה ""מוחשיים"" בדמות  של עונש מאסר בפועל בדרך של עבודות שירות; מאסר מותנה; קנס, ביחד עם צו מבחן.",,,,,,,,,,,,,,,,,,,,,
"המאשימה הדגישה, כי כלי הנשק נמצאו בכלי רכב, מוכנים לשימוש.",,,,,,,,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,,
"לנוכח טיב כלי הנשק במקרה דנן ואופן החזקתם – עתרה המאשימה למתחם ענישה שינוע בין 3 ועד 5 שנות מאסר בפועל, לצד ענישה נלווית.",,,,,,,,,,,,,,,,,,,[],[],[]
"לנוכח הודאת הנאשם באשמה, גילו הצעיר והיעדר הרשעות קודמות, עתרה המאשימה להשית על הנאשם עונש על הצד הנמוך של המתחם.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",['כן'],,,,,,,,,,,,,,,,,
"ההגנה מבקשת ליתן משקל משמעותי לנסיבותיו האישיות של הנאשם, צעיר שזוהי הסתבכותו הראשונה.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לטענת ההגנה, נטל הנאשם אחריות והוא מבין את חומרת מעשיו.",,,,['לא'],,,,,,,,,,,,,,,,,
"בדברו האחרון, הביע הנאשם צער על העבירות שעבר.",,,,['לא'],,,,,,,,,,,,,,,,,
"טען שוב, כי הוא מודה בעבירות.",,,,['לא'],,,,,,,,,,,,,,,,,
