text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בגין מעשים אלה הורשע הנאשם בהחזקת נכס חשוד כגנוב לפי סעיף 413 בחוק העונשין, תשל""ז– 1977 (חוק העונשין); החזקת סכין שלא כדין, לפי סעיף 186(א) בחוק העונשין ובנהיגה ללא רישיון, לפי סעיף 10א בפקודת התעבורה (נוסח חדש) תשכ""א – 1961.",,,,,,,,,,
"הנאשם בן 38 ואב לשלושה ילדים בני 6, 8 ו- 11.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
נעדר עבר פלילי וגדל במשפחה נורמטיבית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
השלים 12 שנות לימוד וכן שירות צבאי מלא.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
אביו נפטר בעקבות מחלה והוא מטפל באמו שסובלת ממצב רפואי מורכב.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם מתמודד עם קושי כלכלי שנגרם על רקע בעיות רפואיות שונות, שבעטיין התקשה לתפקד ולא עבד – בשל תאונה וגניבת סחורה שרכש לעסקו, על רקע חובות להוצאה לפועל, לספקים ועוד.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"מעצרו היווה עבורו אירוע טראומתי, הוא שיתף בכעס ובאכזבה עצמיים בשל מעורבותו בפלילים.",,,,,,,,,,
הוא הביע נכונות לשיתוף פעולה עם שירות המבחן ובהתאם לכך שולב באפריל 23' בקבוצה טיפולית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם מגיע לקבוצה באופן סדיר, אמנם החמיץ מספר מפגשים אך על רקע סיבות מוצדקות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הוא עורך חשיבה מעמיקה בנוגע לבחירותיו והשלכותיהן על עצמו ועל אחרים, מבטא מוטיבציה רבה לערוך שינוי משמעותי בחייו ונראה שמצליח להיתרם מהשתתפותו בקבוצה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ב""כ המאשימה, עו""ד ליאורה זמיר, הגישה את גיליון הרשעות התעבורה של הנאשם, הכולל 39 הרשעות, לרבות בעבירות של נהיגה תחת השפעה אלכוהול או סמים, נהיגה בקלות ראש ונהיגה ללא רישיון.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,
בטיעוניה עמדה על נסיבות שבגינן יש להחמיר עם הנאשם – החזקת הסכין להגנה עצמית; החזקת סוגים שונים של סמים בנוסף לסחר הסם וטיב הסמים שהם בין המזיקים ביותר בפקודת הסמים.,,,,,,"['[בעל הסמים, לא בעל המעבדה]']",,,,
"התסקירים שהוגשו בעניינו של הנאשם מצביעים על כך שמדובר באדם המחזיק בסט ערכים נורמטיבי, שהסתבך בביצוע עבירות נוכח קושי כלכלי משמעותי.",,,,,,,,,,
