text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"לפי המתואר בכתב האישום, ביום 5.09.16, החזיק הנאשם באקדח חצי אוטומטי מסוג STYER קליבר 9 מ""מ גנוב (להלן: ""האקדח"" או ""הנשק"") ובתוכו מחסנית ובה 11 כדורים בקליבר 9 מ""מ, אותו החביא מתחת לבגדים בתוך ארון בחדר השינה שלו, בביתו שבמחנה הפליטים בשועפאט (להלן: ""חדר השינה"" ו""המחנה"" בהתאמה).",,,,,,['אקדח'],,,,"['בבית', 'מוסלק - מוסתר']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"בתוך כספת שהייתה בחדר השינה, החזיק הנאשם מחסנית ריקה המתאימה לאקדח חצי אוטומטי STYER M-9 וכן תחמושת תואמת, 190 כדורי 9 מ""מ.",,,,,,['אקדח'],,,,['בבית'],,,[],['נשק עם מחסנית בהכנס'],,,,,,,
הנאשם לא היה בעל רישיון לשאת את הנשק ומעולם לא החזיק ברישיון לנשק.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
בתשובה לאישום הנאשם כפר במיוחס לו.,,,,,,,,,,,,,,,,,,,,,
"הוא הודה כי ביתו נמצא במחנה, בכך שיש לו כספת בחדר השינה ובכך שמעולם לא החזיק ברישיון לנשק.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",['לא הנאשם לא הודה באשמה הוא רק הודה בכך שיש לו כספת בחדר השינה ובכך שמעולם לא החזיק ברישיון לנשק'],,,,,,,,,,,,,,,,,
"השוטר, רס""ר מתן אלקובי (להלן: ""השוטר מתן""), סיפר בחקירתו הראשית בבית המשפט על אופן ביצוע פעולות שיטור במחנה.",,,,,,,,,,,,,,,,,,,,,
"לאחר פעולתו הראשונה של כוח היס""מ הוא נקרא לעלות לבית.",,,,,,,,,,,,,,,,,,,,,
"הוא עלה עם הצוות שלו, אימת את הפרטים שהופיעו על גבי צו החיפוש (ת/7), מסר לנאשם העתק ממנו, והחליט שלא לאפשר זימון עדים לחיפוש.",,,,,,,,,,,,,,,,,,,,,
"זאת, משום שלא ידע אלו עדים הנאשם יזמן, בשל הזמן הקצר שעמד לרשותו ובשל כך שמחוץ לבית התרחש באותו זמן פיגוע דריסה.",,,,,,,,,,,,,,,,,,,,,
הוא סיפר כי במהלך החיפוש נשמעו יריות ותחילה הם סברו כי היריות מכוונות לעברם ורק כשיצאו מבית הנאשם הבינו כי מדובר היה באירוע דריסה והיריות כוונו אל המפגע.,,,,,,,,,,,,,[],['נשק עם מחסנית בהכנס'],[],,,,,,
"לצד זאת, הוא אפשר לאשתו של הנאשם להיות נוכחת ולהסתכל על החיפוש, ואולם הנאשם העדיף שאשתו תישאר עם ילדיהם הקטנים, כך שהנאשם היה העד היחיד בחיפוש.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"השוטר מתן הסביר כי במקום היה נוכח כוח של כלבנים, ובהתאם לנוהל כאשר נמצא כוח שכזה, איש מהנוכחים אינו נוגע בדברים שבבית, אלא כלב עושה חיפוש ראשוני.",,,,,,,,,,,,,,,,,,,,,
בחקירתו הנגדית הבהיר כי הכלב סימן מקומות מסוימים לכלבן שהצביע לו על המקומות אליהם הפנה הכלב.,,,,,,,,,,,,,,,,,,,,,
"בין המקומות הללו היה ארון הבגדים, ובחיפוש שעשה במקום, הוא תפס אקדח ובו מחסנית שהיה מונח מתחת לחולצות.",,,,,,['אקדח'],,,,"['בבית', 'מוסלק - מוסתר', 'סמוך לבית']",,,['ניסיון לירי'],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
הוא הכניס את האקדח למעטפה מסומנת והמעטפה הונחה בתיק של אחד הבלשים.,,,,,,"['אקדח האפשרות המתאימה ביותר היא ""אקדח"" בהתבסס על המידע שניתן: ""הוא הכניס את האקדח למעטפה מסומנת והמעטפה']",,,,[],,,,[],,,,,,,
"לאחר מכן הוא ניגש אל הנאשם שאל אותו לפשר האקדח והנאשם השיב לו שמדובר באקדח שלו, הוא מצא אותו ברחוב והוא שומר עליו.",,,,,,['אקדח'],,,,[],,,[],['נשק עם מחסנית בהכנס'],['מצא'],,,,,,
בהמשך החיפוש נתפסו לצד האקדח כדורים ומחסניות.,,,,,,['אקדח'],,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,,
"בסיום החיפוש, הכוחות יצאו מהבית והובילו את הנאשם ליציאה מהמחנה לחקירה.",,,,,,,,,,,,,,,,,,,,,
"בחקירתו הנגדית ציין מתן כי מילא את שעת החיפוש בדו""ח כשהיה בבית הנאשם, וכפי שמופיע בדו""ח, החיפוש נעשה בין השעה 01:30 לשעה 02:05.",,,,,,,,,,,,,,,,,,,,,
"לדבריו, אירוע הדריסה היה כ-10 דקות לאחר תחילת החיפוש ולאחר שהאקדח כבר נתפס.",,,,,,['אקדח'],,,,,,,[],[],[],,,,,,
"הוא הבהיר כי אם היה ממתין עד להגעת עדים, בפרט בשים לב לשעת הלילה המאוחרת, ועד ל""זיכויים"" של העדים בטרם הכניסה לבית, הדבר היה משבש את החיפוש.",,,,,,,,,,,,,,,,,,,,,
"לשאלת ב""כ הנאשם כיצד ידע להגיע לבית השיב כי הוא הוביל את הכוח.",,,,,,,,,,,,,,,,,,,,,
"השוטר מתן אישר כי ישנה אפשרות שהוא היה מנותק מהאקדח שנתפס בין השעות 02:05 ו-04:00 וכי אינו זוכר את זהות החוקר, לו מסר את האקדח.",,,,,,['אקדח'],,,,,,,[],[],[],,,,,,
"הוא סיפר כי יום למחרת האירוע התקשר אליו החוקר ואמר לו כי ישנה טעות בספירת הכדורים, ועל כן הוא הגיע לתחנה ספר את הכדורים, לקח אחריות על הטעות ומילא דו""ח נוסף (נ/1).",,,,['לא'],,,,,,,,,,,,,,,,,
"עוד בחקירתו הנגדית, נתבקש השוטר מתן להתייחס לכך שאחד השוטרים (המכונה 244) אמר שבעת החיפוש הנאשם הודה שיש לו נישק וכיוון את הכוח לעבר החדר בו הוא נמצא.",,,,['לא'],,,,,,,,,,,,,,,,,
מתן הסביר כי הוא אינו מאפשר לחשוד לגשת ולהראות לו היכן נמצא נשק בשל הסיכון שבדבר.,,,,,,,,,,,,,,,,,,,,,
לו עצמו הנאשם לא אמר דבר בעניין הנשק ואם הוא פנה לאחד הלוחמים הרי שבכל מקרה הוראתו הייתה שיש להמתין עד לסיום הבדיקה על ידי הכלב.,,,,,,,,,,,,,,,,,,,,,
"כן קבע בית המשפט כי החיפוש ייערך בפני שני עדים שאינם שוטרים, כפוף להוראות סעיף 26 לפקודת סדר הדין הפלילי (מעצר וחיפוש) (להלן: ""פקודת מעצר וחיפוש"").",,,,,,,,,,,,,,,,,,,,,
"צוין בו כי נתפס אקדח שחור עם הכיתוב STYER M9 – 024015 עם מחסנית ריקה, שקית ובה 120 כדורי 9 מ""מ, קופסא ובה 80 כדורי 9 מ""מ וקופסא ובה 40 כדורי 9 מ""מ.",,,,,,['אקדח'],,,,['על גופו'],,,,['נשק עם מחסנית בהכנס'],,,,,,,
"השוטר אופק בוזנה (להלן: ""השוטר אופק"") המשרת ביחידת הכלבנים סיפר בעדותו כי ביום האירוע הוא נכנס לבית הנאשם לאחר שבוצעה בו סריקה.",,,,,,,,,,,,,,,,,,,,,
