text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"הוטלו על הנאשם 15 חודשי מאסר לריצוי בפועל, לצד ענישה נלווית.",,['15 חודשי מאסר בפועל'],[],[],,,,,,,,,,,,,,,,,
"הנאשם הורשע, על פי הסדר טיעון, במספר עבירות של החזקת נשק ותחמושת שלא כדין, בניגוד לסעיף 144(א) לחוק העונשין.",,,,,,,,,,,,,,,,,,,,,
"מתחם הענישה, בכל הנוגע לאחזקת נשק חם קצר, מסוג אקדח – חצי אוטומטי, כשהוא מוחזק בלווית תחמושת מתאימה, במחסנית, מוכן לשימוש, וכן רובה הסער והתחמושת בכמות בה נתפסה, כשחלקה – תואם לרובה הסער, כשהוסכם בין הצדדים, כי בעשר השנים האחרונות – לא נערך שימוש ברובה הסער, הינו בין 24 עד 48 חודשי מאסר בפועל.",,['24 עד 48 חודשי מאסר בפועל'],[],[],,,,,['רובה סער (Assault Rifle)'],,,,['על גופו'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"ההיפך הוא הנכון: עולה מהנתונים כי הנאשם ניהל חיים רגילים ושגרתיים, של עבודה ופרנסת משפחה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"ברם, לנוכח קיומן של נסיבות מיוחדות, שעניינן – העובדה, כי משפחת הנאשם קשרה גורלה עם מדינת ישראל, כשבהתאם לנתונים שהוצגו במסגרת פרשת העונש, לא מעטים מבניה שירתו, או משרתים, בכוחות הבטחון; והיא אף שכלה אחד מבניה – אחי הנאשם – ביום פקודה, מוצא בית המשפט, ליתן משקל לנסיבה זו, ביחד עם נכונות הנאשם להשתלב בהליך טיפולי, בדרך של הקלה נוספת, מעבר לרף התחתון של המתחם.",,,,,,,,,,,,,,,,,,,,,
"בהתאם לעובדות כתב האישום המתוקן כא/1, בהן הודה הנאשם במסגרת הסדר טיעון, בתאריך 25.02.19, נתפס הנאשם מחזיק, בחדר ממ""ד שבמרתף המשותף לביתו ולבית אביו, רובה סער מסוג קלצ'ניקוב, מ.ס. 27069551, אשר הונח במקום כ-10 שנים קודם לכן ומאז – לא נעשה בו שימוש.",,,,,,,['כן'],,['רובה סער'],,,,"['בבית', 'מוסלק - מוסתר', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"בנוסף, החזיק הנאשם תחמושת מסוגים שונים, כדלקמן: 500 כדורים בתפזורת, מרביתם בקוטר 5.56 וחלק קטן מהן בקוטר 7.62, קוטר המתאים לרובה סער מסוג קלצ'ניקוב.",,,,,,,,,['רובה סער (Assault Rifle)'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"בנוסף, בבית הנאשם, במזוודה מעל הארון בחדר השינה בו התגורר, נתפס אקדח חצי אוטומטי מסוג מוסד, מ. ס. 05083AB, טעון במחסנית מלאה כדורים וכן נתפסו ארבע מחסניות ריקות המתאימות לרובה סער מסוג M-16.",,,,,,,,,['רובה סער (Assault Rifle)'],,,,"['בבית', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"בין הצדדים נקשר הסדר, במסגרתו תוקן כתב האישום, כך שנמחק ממנו נאשם נוסף - אבי הנאשם, אשר, בתחילה, הועמד לדין ביחד עמו, וכן נמחקו עבירות שעניינן החזקת שני כלי נשק נוספים, מסוג רובה סער M-16 וכן אקדח חצי אוטומטי CZ, כמו גם תחמושת רבה נוספת ומחסניות נוספות, שבתחילה – יוחסה גם החזקתן.",,,,,,,,,['רובה סער M-16'],,,,,,,,,,,,
"אישור משרד הביטחון על כך, שהוריו של הנאשם הוכרו כהורים שכולים, בעקבות מות אחי הנאשם במהלך שירותו הצבאי, וזכאים לתגמולים מאת משרד הביטחון (נ/1);",,,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
