text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"(להלן: ""פלוני"") באמצעות אחד מן היישומונים ושואל אותו האם הוא יכול לבצע שליחות של הסמים עבור תשלום שנע בין 150-50 ₪, לפי המרחק.",,,,,,,,,,
הנאשם היה שולח לאותו פלוני את פרטי הלקוחות ואת מיקומם באמצעות יישומון הטלגרם.,,,,,,,,,,
"לפי האישום הראשון, ביום 1.5.2019 פנה הנאשם לפלוני באמצעות הווצאפּ ושאל אותו אם הוא יכול לבצע משלוח.",,,,,,,,,,
"לפי האישום השני, ביום 3.5.2019, פנה הנאשם לפלוני באמצעות הווצאפּ ותיאם עמו כי ייקח ממנו בכתובת של הוריו באשקלון, 40 גרם של סם מסוכן מסוג קנבוס.",,,,"['סוג הסמים הוא קנבוס, או קנאביס']",['40 - גרם'],,,,,
"פלוני העביר את הכמות האמורה ללקוח ששמו אינו ידוע למאשימה, במושב ליד שדרות.",,,,,,,,,,
"לפי האישום השלישי, ביום 13.5.2019 הביא הנאשם לפלוני סם מסוכן מסוג קנבוס במשקל כולל של 175 גרם כשהם מחולקים לשקיות של 100 גרם, 70 גרם ו-5 גרם, וזאת למטרה שהנאשם ייסע לירושלים ויעביר את הסמים ללקוחות.",,,,['סוג הסמים הוא קנבוס'],['175 גרם - יחידות: גרם'],,,,,
"במעשיו אלה, סחר הנאשם בסם מסוכן מסוג קנבוס וקשר קשר לעשות פשע.",,,,['סוג הסמים הוא קנבוס (או קנאביס)'],,"['לא בעל המעבדה, בעל הסמים']",,,,
"לפיו (בתמצית ותוך שמירה על צנעת הפרט), הנאשם באמצע שנות השלושים לחייו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
הוא גרוש אחרי שתי מערכות יחסים ואב לקטינים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הוא יצא לעבודה בגיל צעיר ונחשף לשולי החברה, למרות שגדל במשפחה נורמטיבית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
