text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"באישום הראשון – בחודש יולי 2010 קיבל הנאשם מאחר אקדח עט ושלושה כדורים בקוטר  התואמים לאקדח החביאו במחסן ביתו ובין התאריכים 23.7.10 עד 24.7.10 הוא הובילו ממקום מחבואו ונסע לעתלית עם בני משפחתו, חזר לביתו ושב והחביאו במחסן.",,,,,,['אקדח'],,,,"['בבית', 'מוסלק - מוסתר', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,,,,
"באישום השני – בחודש יולי 2010 קיבל הנאשם מאותו אחר  סם מסוכן נסוג קנבוס, תמורתו שילם 150 ₪.",,,,,,,,,,,,,,,[],,,,,,
הנאשם הודה בעובדות כתב האישום (בשני האישומים) ובעבירות שיוחסו לו שם.,,,,['כן'],,,,,,,,,,,,,,,,,
הנאשם יליד 1967 וזו לו הסתבכותו הראשונה בפלילים.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"מטעם הנאשם העידו הן גרושתו והן רעייתו הנוכחית, כי הנאשם הוא אב למופת, הקשור מאד לילדיו וכי הוא מתחרט על מעשיו ואינו יודע כיצד הגיע לכדי ביצוע העבירות.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",['לא'],,,,,,,,,,,,,,,,,
רעייתו העידה כי הנאשם אף פנה לקבלת עזרה במוסד גמילה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הסניגור ביקש להתחשב במצבו של הנאשם, שאלה העבירות הראשונות שמיוחסות לו.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לטענתו, הנאשם אדם נורמטיבי שהודה בהזדמנות הראשונה הן במשטרה והן בבית המשפט ומסר לחוקריו את כל המידע שנדרש על ידם.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : כן', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",['כן'],,,,,,,,,,,,,,,,,
"כן טען כי החזיק באקדח כאמצעי הגנה עצמית, כאשר יצא עם משפחתו לשהיית לילה בקמפינג בשפת הים וכי הנאשם מתחרט על מעשיו.",,,,,,['אקדח'],['הגנה עצמית'],,,,,,[],,[],,,,,,
"הסניגור טען כי הנאשם עלה לארץ בגיל 17 כנוצרי וכי שירת בצה""ל ובהמשך בשירות בטחון כללי, כי בחייו התמודד עם קשיים רבים וזוהי מעידתו הראשונה והחד פעמית.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם עצמו הביע אף הוא חרטה על מעשיו וטען כי מדובר במעידה חד פעמית, שהוא אינו יודע כיצד הגיע אליה וכי הוא חי בבושה וחרפה כלפי בני משפחה והחברה.",,,,['לא'],,,,,,,,,,,,,,,,,
"לטענתו, היום הוא מבין את הדברים אחרת והוא התעורר ממשהו שלא חלם בחלומותיו הגרועים ביותר שיגיע אליו.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
צויין בחוות דעת הממונה כי הנאשם הודה בשימוש בסמים בעברו אך טען כי השימוש האחרון היה לפני 4 חודשים.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",['לא'],,,,,,,,,,,,,,,,,
בדיקת שתן שנערכה לנאשם הצביעה על היותו נקי.,,,,,,,,,,,,,,,,,,,,,
עוד צויין כי הנאשם הביע הסכמה לריצוי העונש בעבודות שירות.,,,,,,,,,,,,,,,,,,,,,
"הסניגור הוסיף וטען כי הנאשם גם פנה ליחידה לטיפול בהתמכרויות בנהריה בתחילת חודש דצמבר 2010, והחל בתהליך גמילה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הסניגור הגיש לקראת הדיון אישור של היחידה מיום 26.12.10 לפיו הנאשם אכן החל בתהליך, הוא משתף פעולה, מגיע לפגישות במועדן ובדיקות השתן שלו נקיות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : כן', '7 : כן', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
