text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CONFESSION_LVL2
"הנאשם שלפני הורשע, על פי הודאתו במסגרת הסדר טיעון, בעבירות של החזקת נשק, על פי סעיף 144(א) רישא לחוק העונשין תשל""ז – 1977, והחזקת אביזר נשק לתחמושת, לפי סעיף 144(א) סיפא לחוק האמור.",,,,,['כן'],,,,,,,,,,,,,,,,
"הסדר הטיעון כלל הסכמה לפיה תעתור המאשימה לעונש מאסר למשך 16 חודשים בתוספת רכיבים נלווים, ואילו ההגנה חופשית בטיעוניה.",,,,,,,,,,,,,,,,,,[],[],[],
"על פי עובדות כתב האישום, עובר ליום 28/08/2017 החזיק הנאשם באקדח ובתוכו מחסנית ובה 10 קליעים בקוטר 8 מ""מ.",,,,,,['אקדח'],,,,[],,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,,,,
האקדח היה בבעלותו של אחר והוחזק על ידי הנאשם בתוך שקית בחצר הסמוכה לביתו.,,,,,,['אקדח'],,,,['סמוך לבית'],,,,,[],,,,,,
עוד במועד האמור החזיק הנאשם באקדח ובתוכו מחסנית לא טעונה.,,,,,,['אקדח'],,,,['על גופו'],,,[],[],,,,,,,
"הנאשם החזיק את האקדח בתוך כפפה מתחת למזרון בתוך ערימת זבל, במרחק של כ-100 מטרים מביתו.",,,,,,['אקדח'],,,,['מוסלק - מוסתר'],,,,[],[],,,,,,
המאשימה טענה כי מתחם העונש ההולם למעשי העבירה שביצע הנאשם נע בין שנת מאסר לבין 3.5 שנות מאסר וכי העונש המתאים לנאשם הינו 16 חודשי מאסר בפועל.,,,,,,,,,,,,,,,,,,[],[],[],
לעניין זה ציינה המאשימה כי מתחם העונש ההולם שנקבע בפסיקה להחזקה של אקדח אחד נע בין 9 חודשי מאסר בפועל לבין 24 עד 36 חודשי מאסר בפועל.,,,,,,,,,,,,,,,,,,[],[],[],
"בטיעוניה, עמדה המאשימה על נסיבות ביצוע העבירה, על הערכים המוגנים בעבירות נשק, כפי שנקבעו בפסיקה, על הצורך בהחמרת הענישה בעניין, וטענה כי אין נפקות לעובדה שאחד האקדחים היה בבעלותו של אחר.",,,,,,,,,,,,,,,,,,,,,
"עוד הפנתה המאשימה לעברו הפלילי של הנאשם, הכולל שתי הרשעות בעבירות סמים, החזקת סכין ועוד.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
"הסניגור מצידו טען כי מתחם העונש ההולם למעשי העבירה שביצע הנאשם נע בין 6 חודשי מאסר בפועל לבין 24 חודשי מאסר בפועל, וכי העונש המתאים לנאשם עומד על 8 חודשי מאסר בפועל.",,,,,,,,,,,,,,,,,,[],[],[],
"הסניגור ציין כי יש לזקוף לטובתו של הנאשם את הודאתו, על אף שהראיה היחידה הקושרת את הנאשם לכלי הנשק הינה דגימת DNA.",,,,,['לא'],,,,,,,,,,,,,,,,
"עוד ציין הסניגור כי המועד בו אחז הנאשם באקדחים בפועל אינו ידוע, כי האקדחים לא הוחזקו בביתו של הנאשם, בחצריו או ברכבו, וכי אין ראיה למטרה בגינה החזיק הנאשם באקדחים.",,,,,,['אקדח'],,,,[],,,,,[],,,,,,
"הסניגור ציין עוד כי הנאשם הינו אדם צעיר, אשר עברו הפלילי רחוק, ונקבע בהיותו נער.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,,,,
"מאז, כך נטען, הנאשם השתקם, התחתן והקים משפחה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,['לא'],,,,,,,,,,,,,,,,
"הנאשם הביע צער וחרטה על מעשיו, ועל הנזקים שנגרמו בשלהם למשפחתו.",,,,,['לא'],,,,,,,,,,,,,,,,
"הלכה למעשה לא נגרם נזק כתוצאה מהעבירה, אולם הדבר היה בשל כך שכלי הנשק והתחמושת נתפסו על ידי גורמי האכיפה, ולא בשל חרטתו של הנאשם.",,,,,['לא'],,,,,,,,,,,,,,,,
"לחובתו של הנאשם עומד עברו הפלילי הכולל שתי הרשעות קודמות, בלא פחות מ-11 עבירות, רבות ומגוונות, ובהן עבירות סמים, החזקת סכין, הפרעה לשוטר ועבירות רכב.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
"העובדה כי מאז הנאשם לא הורשע בעבירות דומות נוספות, תומכת בטענת ההגנה כי הנאשם שינה את דרכו, נגמל משימוש בסמים והשתקם.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"מאסר בפועל למשך 10 חודשים, החל מיום מעצרו (25/9/2017).",,,,,,,,,,,,,,,,,,['הנאשם קיבל 10 חודשי מאסר בפועל'],[],[],
"מאסר למשך 12  חודשים וזאת על תנאי למשך שלוש שנים, אם יעבור על כל עבירת נשק.",,,,,,,,,,,,,,,,,,[],['12 חודשים על תנאי למשך 3 שנים'],[],
"קנס בסך 6,000 ₪, או שני חודשי מאסר תמורתו.",,,,,,,,,,,,,,,,,,[],[],"['6,000 ₪']",
