text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP
"בתאריך 27.4.99, בראשון לציון, ארע פיצוץ ברכב מסוג הונדה לאחר שהוצמד לו מטען חבלה.",,,,,,,,,,,,,,,,,,
"באותה עת היו ברכב אשר אילוז ובנו בן השלוש – אביב אילוז ז""ל.",,,,,,,,,,,,,,,,,,
אין מחלוקת על כך שכתוצאה מהפיצוץ נהרג אביב אילוז ואשר אילוז (להלן – אילוז) נפצע קשה.,,,,,,,,,,,,,,,,,,
בתאריך 5.6.02 אושפז הנאשם בבית-חולים לאחר שנורה במתחם משפחתו ביפו (להלן – המתחם).,,,,,,,,,,,,,,,,,,
"לטענתו, אחיו כמאל טורק (להלן – כמאל) וסמי טורק (להלן – סמי) הם שירו בו וניסו לרצוח אותו (ראו תמליל קלטת המתעדת עימות בין הנאשם לכמאל מיום 9.7.02 -   ז/5).",,,,,,,,,,,,,,,,,,
"לאחר הפללתם על-ידי הנאשם בביצוע העבירות נשוא רשימת ההסכם הראשון, מסרו השלושה (שלימים העידו במשפט זה כעדי תביעה) למשטרה מידע לפיו הנאשם קשור ברצח, מידע בעקבותיו נחקר הנאשם בתאריך 21.7.02 באזהרה כחשוד במעורבות כזו (ראו תמלילי חקירות הנאשם ז/11א' והודעתו ז/11ב').",,,,,,,,,,,,,,,,,,
"בתאריך 20.8.02 (או 18.8.02, כעולה מהנטען בסעיף 31 לנ/7) הוגש כנגד הנאשם כתב –האישום בתיק דנן (להלן – כתב-האישום), המייחס לו עבירות של רצח, ניסיון לרצח והיזק בחומר נפיץ, בניגוד לסעיפים 300(א)(2), 305(1),   ו-454 לחוק העונשין תשל""ז – 1977.",,,,,,,,,,,,,,,,,,
"סמוך לפני 27.04.99 במסגרת הקשר ולשם מימושו בידיעת ובהסכמת כל הקושרים, במוסך שבביתו של הנאשם ברח' רובינשטיין 12 בתל אביב – יפו, הכין הנאשם יחד עם ביאליק ובנוכחות גילקארוב מטען חבלה שהכיל לבנות חבלה, כדור 40 מ""מ מקל""ר, כאשר לאלה קשור נפץ חשמלי, כפתור וכן סוללה של V9 כל אלה יחד מחוברים לחוט דייג וכרס (כך במקור – ע.צ.) (להלן: ""המטען"").",,,,,,,['מטען חבלה'],,,,,,,,,,,
למטען חיבר הנאשם מגנטים כדי להצמידו לתחתית הרכב.,,,,,,,,,,,,,,[],,,,
המטען היה אמור להתפוצץ עם תחילת הנסיעה ברכב.,,,,,,,,,,,,,,[],,,,
