text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"* גזר דין בעניינו של נאשם שהורשע בביצוע עבירות של ייצור, הכנה והפקה של סם מסוכן; החזקת סם מסוכן שלא לצריכה עצמית; והחזקת כלים המשמשים להכנת סם מסוכן.",,,,,,,,,,,,,,
"הנאשם הורשע על פי הודאתו בביצוע עבירות של ייצור, הכנה והפקה של סם מסוכן; החזקת סם מסוכן שלא לצריכה עצמית; והחזקת כלים המשמשים להכנת סם מסוכן.",,,,,,,,,,['כן'],,,,
"יש להטיל על הנאשם עונש מאסר אשר מחד יהיה משמעותי ומאידך ישקלל את אותם נתונים העומדים לזכותו, וביניהם, הודאתו, העדר הרשעות קודמות, נסיבותיו האישיות וסיכויי שיקומו הגבוהים.",,,,,,,,,,,,,,
הנאשם הודה במסגרת הסדר דיוני בעובדות כתב אישום מתוקן והורשע כפי הודייתו בביצוע עבירות של:,,,,,,,,,,['כן'],,,,
"על-פי עובדות כתב האישום המתוקן בו הודה הנאשם, החל משנת 2008 שכר הנאשם יחד עם בת זוגו דירה ברח' פיק""א 10 בראשון לציון (להלן: ""הבית"").",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"עובר ליום 10.9.13, במועד שאינו ידוע במדויק למאשימה, גידל הנאשם בבית שתילים של סם מסוכן מסוג קנבוס, שלא לשימושו העצמי וללא היתר מאת המנהל (להלן: ""הסם"").",,,,"['סוג הסמים הוא קנבוס, או בשמו הנפוץ יותר - קנאביס']",['[1 - גרם]'],,,,,,,,,
"לצורך גידול הסם, הכנתו והחזקתו, השתמש הנאשם בציוד רב אותו רכש, לרבות אדניות, מד טמפרטורה, מאווררים, צינורות השקיה, מערכות חשמל, מנורות חימום, חומרי דישון, תאורה והשקיה ייעודית.",,,,"['הסוג של הסמים הוא מריחואנה. הטקסט מזכיר שהנאשם השתמש בציוד רב לגידול, הכנת, והחזקת מריחואנה']",,"['הנאשם אכן השתמש בציוד רב כדי לגדל, להכין ולהחזיק את הסם, אבל זה לא אומר שהוא היה בעל המעבדה או השתמש בה. הנאשם הוא בעל הסמים, כלומר הוא החזיק בסמים, אבל לא בה']",['כן'],,,,,,,
"בחלקו האחד של המחסן החזיק הנאשם 48 שתילים בגירים של סם, ובחלקו השני החזיק 159 שתילים צעירים של סם – והכל במשקל כולל של  נטו.",,,,"['הסוג של הסמים הוא קנאביס, בהתאם למידע שניתן בטקסט: ""159 שתילים צעירים של סם - והכל במשקל כולל של  נטו.""']",['[159 - שתילים]'],['[בעל הסמים]'],['לא'],,,,,,,
"בנוסף, החזיק הנאשם במחסן 7 שקיות של סם מסוכן מסוג קנבוס במשקל כולל של  נטו.",,,,['הסוג של הסמים הוא קנבוס'],['[1 - קילוגרם]'],"['בעל הסמים, לא בעל המעבדה']",,,,,,,,
עוד החזיק הנאשם במחסן שקית ובה סם מסוכן מסוג קנבוס במשקל כולל של  נטו.,,,,['הסוג של הסמים הוא קנבוס'],['[0 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"סה""כ, החזיק הנאשם בסם מסוכן מסוג קנבוס במשקל כולל של  נטו וגידל סם מסוכן מסוג קנבוס במשקל כולל של  נטו.",,,,['סוג הסמים הוא קנבוס (או מריחואנה)'],['[1 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"במסגרת ההסדר הדיוני אליו הגיעו הצדדים, כתב האישום בעניינו של הנאשם תוקן, הנאשם הודה במיוחס לו, הורשע ונשלח לקבלת תסקיר שירות המבחן.",,,,,,,,,,['כן'],,,,
"בין הצדדים לא גובשה הסכמה עונשית, למעט הסכמה לעניין החילוט, לפיה מתוך הכספים שנתפסו בחזקת הנאשם, יחולט סכום של 100,000 ₪ לטובת הקרן לחילוט שבמשרד האפוטרופוס הכללי.",,,,,,,,,,,,[],[],[]
"מתסקיר שירות המבחן שהוגש לתיק בית המשפט, עולה כי הנאשם בן 35, נעדר עבר פלילי, נשוי ואב לילד בן 3, אשתו נמצאת כיום בחודשי הריון מתקדמים וצפויה ללדת בקרוב.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם מתגורר בראשון לציון ועובד מזה 3 חודשים כעוזר חשמלאי בתחום הבניין.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שירות המבחן סוקר את הרקע התפקודי של הנאשם, שאובחן בגיל צעיר כסובל מלקות למידה מסוג דיסלקציה, נשר מבית הספר בסוף כיתה ט', לאחר מכן השתלב בפרויקט ""הילה"" במסגרת קידום נוער והחל לעבוד כגנן בעיריית ראשון לציון.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם גויס לצבא בגיל המתאים ושירות שירות צבאי מלא כטבח.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לאחר שחרורו מצה""ל, עזב הנאשם את הארץ למשך 7 שנים, במהלכן התגורר במדינות שונות בעולם ולא עבד באופן קבוע ורציף.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"עם חזרתו ארצה, החל לעבוד כנהג וכשליח בחברה לגביית כספים ברשויות מקומיות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בהתייחס לרקע המשפחתי מציין שירות המבחן כי הנאשם הינו הבן הצעיר מתוך שלושה במשפחה נורמטיבית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם תיאר את הקשר עם בני משפחתו כקרוב ומשמעותי וציין כי ההליכים המשפטיים המתנהלים נגדו היוו גורם מטלטל עבור משפחתו, שלא הייתה ערה להיקף ולעומק התמכרותו לסמים.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם תיאר יחסים תומכים מצד משפחתו, לצד כעס לאור ההסתרה ומשבר האמון שנוצר.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בשירות המבחן מסר הנאשם כי החל לצרוך חשיש בגיל 15 בתדירות נמוכה ובאופן מזדמן, אם כי במהלך שירותו הצבאי נמנע משימוש בסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"כאשר התגורר בחו""ל ובעת טיולו במזרח הרחוק, התנסה, לדבריו, בנסיבות חברתיות, במספר סוגי סמים, לרבות סמי הזיה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עם שובו ארצה, המשיך לצרוך חשיש באופן אינטנסיבי ויום יומי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
עם פתיחת ההליכים המשפטיים נגדו הפסיק הנאשם להשתמש בסמים.,,,,,,,,,,,,,,
"מדיווח שהתקבל מגורמי הטיפול ביחידה להתמכרויות בראשון לציון (להלן: ""היחידה להתמכרויות""), עולה כי הנאשם פנה עצמאית לטיפול ביום 24.11.13, מאז הוא מוסר בדיקות שתן נקיות, מגיע לשיחה פרטנית עם עובדת סוציאלית ואף השתלב בטיפול קבוצתי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הגורמים הטיפוליים מתרשמים כי הנאשם מגויס לתהליך, מקפיד להגיע ברציפות, משתף ומשוחח באופן פתוח וגלוי אודות קשייו ומביע נכונות לבחון את הנסיבות שהובילו אותו לשימוש בסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"גורמי הטיפול סבורים כי קיימת אצל הנאשם מוטיבציה לעריכת שינוי כולל באורחות חייו, לצד הרושם כי ההליכים המשפטיים והקשר עם שירות המבחן מהווים גורם מגייס לטיפול.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
אשר לעבירות נשוא כתב האישום - בשירות המבחן נטל הנאשם אחריות על התנהלותו.,,,,,,,,,['כן'],,,,,
הנאשם הסביר כי החל לגדל חשיש ללא מודעות והבנה ביחס לחומרת מעשיו ולהשלכותיהם וטען כי עשה כן לשימושו העצמי בלבד.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"יחד עם זאת, הנאשם התקשה להתייחס בביקורתיות לכך שהשקיע מאמצים להסתיר מבני משפחתו את מעשיו ולתכנון שקדם לביצוע העבירות.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בדיעבד, הנאשם מצר על האופן בו פעל וחש בושה וחרטה בגין עוגמת הנפש שגרם, לתפיסתו, לאשתו ולבנו.",,,,,,,,['לא'],,,,,,
"שירות המבחן מתרשם כי הנאשם ניהל לאורך השנים אורח חיים התמכרותי, ללא מודעות לעומק התמכרותו, כאשר התנהלותו נבעה מקשיים רגשיים ומהקושי להתמיד במסגרות ולעמוד במחויבויות שונות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עם זאת, נראה כי הנאשם אינו בעל דפוסים עבריינים מושרשים וכי כיום מתחיל  לגלות מודעות למחירים האישיים והמשפחתיים נוכח השימוש בסמים והעבירות שביצע.",,"['1 : כן', '2 : כן', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"שירות המבחן סוקר את גורמי הסיכון להישנות ביצוע העבירות מצד הנאשם, וביניהם קשייו להתמיד במסגרות השונות לאורך חייו, סגנון החיים חסר היציבות שסיגל לעצמו וקשייו להכיר בחלקי אישיותו ובדפוסים שעמדו ברקע למעשיו ולפעילותו בעת ביצוע העבירות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כמו כן, הנאשם התקשה לשוחח בפתיחות על הפרת האמון מצדו כלפי בני משפחתו, תוך שהיה מרוכז בעצמו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"באשר לגורמי הסיכוי, עומד שירות המבחן על עברו הפלילי הנקי של הנאשם וכן על הערכתו כי ההליכים הפליליים המתנהלים נגדו מהווים גורם מרתיע ומציב גבול ברור עבורו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"שירות המבחן מציין את התגייסותו של הנאשם להליך הטיפולי ואת המוטיבציה שהוא מביע ביחס לעריכת שינוי באורחות חייו, בייחוד לאור בדיקות השתן הנקיות שהוא מוסר, המעידות על הימנעות משימוש בסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם אף הביע רצונו בפני שירות המבחן להמשיך את התהליך הטיפולי בו החל במסגרת היחידה להתמכרויות.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כמו כן, ממליצה כי במידה שיוטל על הנאשם עונש מאסר בפועל, יהיה זה לתקופה אשר ניתן יהיה לרצותה בעבודות שירות, על מנת לאפשר לנאשם להמשיך לסייע בפרנסת המשפחה.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ב""כ המאשימה פתח טיעוניו לעונש בתיאור נסיבות ביצוע העבירות בהן הורשע הנאשם, שגידל במעבדה בתוך ביתו 197 שתילים צעירים ובוגרים של סם מסוכן מסוג קנבוס במשקל כולל של .",,,,"['סוג הסמים הוא קנבוס, או קנאביס']",,"['הנאשם הוא בעל הסמים, כפי שמתואר בטקסט, מכיוון שהוא גידל 197 שתילים של קנבוס במשקל כולל. עם זאת, הטקסט לא מציין במפורש אם הנאשם השתמש במע']",,,,,,,,
"עוד הוסיף, כי אם לא די בכך, החזיק הנאשם סם מסוכן מסוג קאנבוס במשקל כולל של 884 גרם נטו, כך שמדובר ב- של סמים מסוכנים אותם גידל והחזיק הנאשם בסך הכל.",,,,['הסוג של הסמים הוא קנאביס'],['[884 - גרם]'],"['הנאשם הוא בעל הסמים, אבל לא בעל המעבדה. הטקסט מציין שהנאשם החזיק בסמים מסוכנים, כולל קנאביס במשקל כולל של 884 גרם נטו, מה שמרמז']",,,,,,,,
"ב""כ המאשימה הגיש לבית המשפט אסופת תמונות, במטרה להמחיש את טיב מעבדת הסמים שהוקמה על-ידי הנאשם אותה כינה בשם ""מפעל"", וכדי שניתן יהיה לעמוד על הציוד הרב שהנאשם אסף ותפעל באותה מעבדה לצורך גידול הסם.",,,,,,,,,,,,,,
"לשיטתו, בכמות השתילים, בטיבם ובאופי המעבדה יש כדי ללמד על נאשם שהיה חדור מטרה, שכל תשומת ליבו, התנהלותו ומשאביו הופנו לגידול הסמים ואחזקת המעבדה.",,,,,,,,,,,,,,
"לדבריו, לצורכים אותו נגרמים נזקים ישירים ועקיפים בגופם ובנפשותיהם, כמו גם נגרמים נזקים עקיפים לסובבים אותם ולחברה כולה, בהיות הסם אחד ממחוללי הפשיעה העיקריים.",,,,,,,,,,,,,,
"ביחס לנסיבותיו האישיות של הנאשם, טען ב""כ המאשימה שאכן מדובר בנאשם שעברו הפלילי נקי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"עם זאת, יש ליתן את הדעת לתסקיר שירות המבחן, ממנו עולה כי הנאשם החל לצרוך סמים בגיל 15, התנסה בשימוש במספר סוגי סמים ובשנים האחרונות העמיק השימוש עד כדי צריכה יום-יומית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ב""כ המאשימה הטעים כי מדיניות הענישה הרווחת מעלה כי בשל חומרת העבירות של גידול סם והחזקה בכמויות שאינן לצריכה עצמית, נדחות נסיבותיו האישיות של הנאשם העומד לדין, וזכות הבכורה ניתנת לשיקולי הרתעה, גמול ומניעה.",,,,,,,,,,,,,,
"ב""כ המאשימה הביע תמיהה נוכח דברי הנאשם בשירות המבחן, לפיהם גידל חשיש מבלי שהיה מודע לחומרת מעשיו.",,,,,,,,,,,,,,
