text,Unnamed: 0,PUNISHMENT,GENERAL_CIRCUM,reject,CONFESSION,REGRET,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_PLANNING,CIR_HELD_WAY,CIR_VALUE,RESPO,CIR_PURPOSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ביום 6.1.2020 הורשע הנאשם, בהכרעת דין מנומקת, בביצוע עבירה של החזקה/שימוש בסמים שלא לצריכה עצמית – עבירה לפי סעיף 7(א)+7(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש), תשל""ג – 1973 (להלן: פקודת הסמים) (להלן: ""כתב האישום הראשון"").",2,,,,,,,,,,,,,,,,
"לאחר שנתיים, ביום 6.1.2022 הורשע הנאשם, על יסוד הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן  - המייחס לו עבירה של החזקה/שימוש בסמים לצריכה עצמית – עבירה לפי סעיף 7(א)+7(ג) סיפא לפקודת הסמים (להלן: ""כתב האישום השני"").",3,,,,,,,,,,,,,,,,
"במעמד המתואר לעיל, עת בוצע חיפוש כדין ברכב, החזיק הנאשם בתא המטען בסם מסוכן מסוג קנבוס במשקל של 284.20 גרם נטו, שלא לצריכה עצמית, ללא היתר, לפי הפקודה או בתקנות לפיה, או רישיון מאת המנהל.",5,,,,,,"['28420 גרם נטו זהו סוג הסמים המוזכר בטקסט, שהוא סם מסוכן מסוג קנבוס במשקל של 28420 גרם נטו']",['28420 גרם'],,,,,,,,,
"באותו מעמד החזיק הנאשם, במקרר של הדירה, סם מסוכן מסוג קנבוס במשקל 98.6 גרם נטו לצריכתו העצמית.",10,,,,,,['1 קנבוס (קנאביס)'],['986 גרם'],,,,,,,,,
"לפי תסקיר שירות המבחן מיום 19.1.2021 הנאשם סיים 12 שנות לימוד, עם זכאות לתעודת בגרות ותעודה כמפעיל מערכות סי.אן.",12,,,,,,,,,,,,,,,,
אשר לשימוש בחומרים משני תודעה מסר הנאשם כי החל לצרוך סמים מסוג קנאביס בגיל 21.,16,,,,,,,,,,,,,,,,
העישון הרגיעו ועזר לו למזער ויכוחים.,17,,,,,,,,,,,,,,,,
בתחילה חשש להתחיל לעשן בגלל הורהו שהיה נרקומן בעבר אולם הרגיש שהוא יכול לשלוט בשימוש.,18,,,,,,,,,,,,,,,,
"שירות המבחן התרשם שבמשפחת הנאשם חל היפוך תפקידים בכך שהנאשם טיפל בהורהו, דאג לכל צרכיו, ליווה אותו למסגרות גמילה מסמים ואף ניסה לגמול אותו בכוחות עצמו.",19,,,,,,,,,,,,,,,,
שירות המבחן העריך כי תפקיד זה היה גדול ממידותיו והוא התקשה למלאו וסבר שהנאשם לא היה פנוי לגיבוש הזהות האישית והתעסוקתית  שלו באופן מיטיב.,20,,,,,,,,,,,,,,,,
"ביתר התסקירים תיאר שירות המבחן את ההליך הטיפולי והאישי של הנאשם, שנקלט לקבוצה טיפולית ביום 22.1.2023.",21,,,,,,,,,,,,,,,,
בתסקיר מיום 19.6.2023 נמסר כי הנאשם משתתף במפגשים באופן פעיל ומציג את עצמו ואת רגשותיו באופן כנה ואותנטי.,23,,,,,,,,,,,,,,,,
