text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"במהלך התקופה, במועד שאינו ידוע, הקים הנאשם בדירה מעבדה לגידול סם, ולצורך כך רכש זרעי קנבוס, חומרי דישון, אדניות ואמצעים רבים לגידול הסם.",,,,['הסוג של הסמים הוא קנאביס (קנבוס)'],,"['הנאשם הקים מעבדה לגידול סם, אבל לא נאמר שהוא היה הבעלים של המעבדה. לעומת זאת, הוא כן רכש זרעי קנבוס, חומרי דישון, אדניות ואמצעים לגידול הסם, מה']",,,,
"ביום 23.3.22 נתפסו במעבדה 485 שתילים של סם קנבוס וכן קנבוס מפוזר במספר מקומות שונים בדירה במשקל כולל של 110 ק""ג נטו.",,,,['סוג הסמים הוא קנבוס (קנאביס)'],"['הכמות של הסמים היא [110 - ק""ג] (110 ק""ג)']",,['לא'],,,
"על פי התסקיר הראשון (7.6.23) הנאשם, בן 30, נשוי ואב לפעוטה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"סיים 12 שנות לימוד, התגייס בגיל המתאים לשירות צבאי, אך שוחרר כעבור כשנתיים על רקע עריקות ומעורבות בהימורים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם תיאר כי מתקופת הצבא ועד לשנת 2017 ניהל אורח חיים התמכרותי להימורים וצבר חובות כבדים, בשנה זו פנה מיוזמתו לטיפול בקהילה, ושהה בה ארבעה חודשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"מבחינה תעסוקתית, עבד לאורך השנים באופן לא מסודר בעבודות מזדמנות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"מבחינה בריאותית, מתמודד עם כאבים פיזיים על רקע בקע ופריצת דיסק, ועם פוסט טראומה על רקע תקיפה שעבר על ידי זרים, קיבל אישור לשימוש בקנאביס רפואי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם נישא בשנת 2019, אב לפעוטה, תיאר תחושות אכזבה מצד אשתו על רקע התנהלותו בצד  תמיכה וסיוע.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"באשר לביצוע העבירות, הנאשם קיבל אחריות על ביצוען ומכיר בחומרתן.",,,,,,,,,,
"לדבריו, נמנע מהימורים לתקופה של 5 שנים, אך נקלע למשבר  בתקופת הקורונה, לא עבד וחזר להמר הימורים אינטרנטיים, צבר חובות גבוהים לבנקים ולגורמים בשוק האפור.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"מבחינה טיפולית, במסגרת הליך המעצר נעשה ניסיון לשלבו בטיפול ביחידה להתמכרויות, שלא צלח מאחר שמשתמש בסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם ביטא רצון לטיפול אך סירב להצעת שירות המבחן לשלבו בטיפול אינטנסיבי בתחום ההימורים בקהילה טיפולית סגורה, לדבריו התקשה לעזוב את משפחתו לתקופה ממושכת, ובהמשך לבקשתו שולב, החל מחודש מאי 2023,  ביחידה לטיפול בהתמכרויות במסגרת אמבולטורית ומשתף פעולה באופן תקין.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
