text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בכתב האישום המקורי שהוגש נגד הנאשם נטען, שהנאשם קשר קשר עם אחר לייבוא סמים מסוכנים מסוג מתילמטקאתינון וקטמין מחו""ל לישראל, באמצעות הדואר תוך שימוש בכתובות ושמות נמענים פיקטיביים.",,,,['סוג הסמים הוא מתילמטקאתינון וקטמין'],,,,,,
"במסגרת הקשר נשלחו מבלגיה לישראל 4 חבילות סמים - אחת עם סם מסוכן מסוג מתילמטאקתינון במשקל 994 גרם, ושלוש עם סם מסוכן מסוג קטמין במשקלים של 996 גרם, 991 גרם ו- 938 גרם.",,,,['הסוג של הסמים הוא קטמין ומתילמטאקתינון'],['הכמות של הסמים היא [994 - גרם]'],,,,,
"בנוסף, נמצא שהנאשם החזיק בדירה אחרת, אותה שכר, סם מסוכן מסוג מתילמטאקתינון במשקל של 3.7 גרם.",,,,['סוג הסמים הוא מתילמטאקתינון'],['3.7 גרם - גרם'],,,,,
"עובר לתאריך 14.06.22 הנאשם קשר קשר עם אחר לייבא סמים מסוכנים מסוג מתילמטאקתינון מחו""ל לישראל, באמצעות הדואר, תוך שימוש בכתובות ושמות ממוענים פיקטיביים.",,,,['סוג הסמים הוא מתילמטאקתינון'],,,,,,
"במסגרת הקשר, האחר או מי מטעמו שלח בדואר, מבלגיה לישראל, חבילה שנשלחה לכתובת מסוימת באילת ומוענה ל""הדס אור"" אך בפועל יועדה לנאשם, ובה שלוש אריזות פלסטיק שהכילו סם מסוג מתילמטאקתינון במשקל כולל של 994.44 גרם.",,,,['סוג הסמים הוא מתילמטאקתינון'],['994.44 - גרם'],,,,,
"החבילה נבדקה על ידי רשויות המכס שגילו את הסמים והועברה למשטרת ישראל, ובהמשך המשטרה הוציאה את הסמים מהחבילה והשאירה בה שקית אחת שהכילה 47.88 גרם מתילמטאקתינון.",,,,"['סוג הסמים הוא מתילמטאקתינון (Methylmethcathinone), הידוע גם בשם מתילפנידט']",['47.88 גרם (יחידה: גרם)'],,,,,
"בנוסף, הנאשם החזיק בחדרו שקיות ניילון קטנות ושלושה משקלים דיגיטליים, שהם כלים לייצור ואריזת הסמים.",,,,,,,,,,
"שירות המבחן ערך מספר תסקירים על הנאשם, בהם צוינו בין היתר הדברים הבאים - הנאשם בן 27, רווק.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
ללא עבר פלילי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
טרם מעצרו עבד כמשלוחן והתגורר בדירה שכורה עם בת זוגו באילת.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
סיים 12 שנות לימוד.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
בהמשך קיבל אישור לקנביס רפואי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
לא גויס לצבא על רקע תת משקל.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
בגיל 19 למד קורס טבחות והשתלב בעבודה במטבחים בבתי מלון.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
בשנים האחרונות הוא עובד מהבית בתחום התכנות ובמקביל עובד כמשלוחן מזון.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
במסגרת תסקיר המעצר הנאשם תיאר שימוש בסמים מגיל 14.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"תחילה קנביס וחשיש ובהמשך התנסה בסוגי סמים מגוונים כגון סמי הזיות, נייס גאי וקוקאין.",,,,"['הסוג של הסמים הוא מגוון, כולל קנאביס וחשיש, סמי הזיה, נייס גאי, וקוקאין']",,,,,,
בשנים האחרונות העמיק את התמכרותו וצרך קוקאין וקטמין באופן יומיומי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בתסקיר משלים צוין שהנאשם עלה שלב בתוכנית הטיפולית, והוא נרתם לטיפול ונתרם ממנו ועם סיום הטיפול הוא צפוי לעבור להוסטל.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
שירות המבחן בנה עבורו תכנית טיפולית במסגרת שירות המבחן הכוללת קבוצת ערב ובדיקות שתן.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
וצוין שבדיקות השתן שנעשו לנאשם נמצאו נקיות מסם.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
שירות המבחן התרשם שהנאשם שיתף פעולה בטיפול ושהטיפול היטיב עמו והוא שואף לשקם את עצמו ומעוניין להמשיך בטיפול קבוצתי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
טען שהסם נתפס בשדה התעופה ומטרת הבאת הסם היתה לשימושו האישי של הנאשם.,,,,,,,,,,
"הנאשם הגיש מכתב בו הודה לבית המשפט, למאשימה ולשירות המבחן על ההזדמנות הטיפולית שניתנה לו, ותיאר את רצונו לשקם את עצמו ולנהל אורח חיים נורמטיבי.",,,,,,,,,,
הנאשם ייבא לישראל MMC  במשקל 994.4 גרם.,,,,['סוג הסמים הוא MMC'],['הכמות של הסמים היא 994.4 גרם'],,,,,
"פ 43372-07-23 מדינת ישראל נ' אזולאי (14.3.24) שנידון בפני בעת האחרונה, הנאשם החזיק  300 גרם סם מתילמתאקתינון ו- 4 גרם קוקאין שלא לצריכה עצמית.",,,,['הסוג של הסמים הוא מתילמתאקתינון וקוקאין'],['300 גרם - מתילמתאקתינון ו-4 גרם - קוקאין'],,,,,
"בהקשר זה לא למותר להזכיר כי הנאשם הודה שהוא החזיק בחדרו שקיות ניילון קטנות ושלושה משקלים דיגיטליים, שהם כלים לייצור ואריזת סמים.",,,,,['הכמות של הסמים היא [0 - יחידות]'],,,,,
"כאן מדובר בבחור צעיר, ללא עבר פלילי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"שטרם מעצרו תיפקד באופן מלא, גר עם בת זוג בדירה שכורה ועבד בתחום התכנות וגם כמשלוחן מזון, אשר גם לאחר הטיפול בקהילה מקיים ככלל אורח חיים דומה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"במסגרת הליך המעצר, הנאשם נקלט בקהילת ""רוח מדבר"" ושהה בה במשך תשעה חודשים, במהלכם עבר הליך טיפולי לגמילה מסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בסיום התקופה הנאשם לא שולב בהוסטל, כפי שבד""כ נעשה, משום שהוא משתמש בקנאביס לצורך רפואי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הטענה המרכזית של ההגנה לעונש הינה, שהנאשם שהיה מכור לקוקאין וביצע את העבירה על רקע התמכרותו לסמים, עבר שיקום מוצלח שכלל גמילה מסמים, ובנסיבות כאלה מן הראוי לתת להליך השיקומי משקל מכריע, כפי שנעשה בפסקי דין שההגנה הציגה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
בתסקיר שירות המבחן מובאים דברי הנאשם לפיהם הוא החל להשתמש בסמים בגיל 14.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
הנאשם בן למשפחה שבה זוג הורים ושני ילדים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ההורים מנהלים אורח חיים נורמטיבי, מתפקדים היטב, מעורבים ודואגים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם עבר מסלול רגיל, כולל לימודי תיכון מלאים וקורס מקצועי בשלוחת אוניברסיטת בן-גוריון באילת.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
עד גיל 22 הוא עבד במטבחים בבתי מלון בעיר.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עובר לאירוע העבירה הוא התגורר בדירה שכורה עם בת זוג ועבד בעבודות שונות, בין היתר בתחום התכנות, וניהל אורח חיים פעיל, תפקודי ועצמאי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
עיון בהם מלמד כי במהלך השנים הנאשם סבל מבעיות במערכת העיכול ועבר בדיקות וטיפולים והיה במעקב רפואי שוטף.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
