text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"האישום השני מתאר כי ביום 19.2.19 שוחחו אבו סנא והסוכן וקבעו כי אבו סנא ימכור לסוכן 100 כדורים של סם מסוכן מסוג אקסטזי ופלטה של סם מסוכן מסוג חשיש במחיר של 6,200 ₪.",,,,['סוג הסמים הוא אקסטזי וחשיש'],"['6200 - 6200 = 0 (המחיר הוא 6200 ש""ח, אז אין משקל או יחידות ספציפיות שצוינו)']",,,,,
בשעות הערב התקשר הנאשם אל הסוכן ואמר לו לפגוש אותו למחרת ליד מבשרת ציון.,,,,,,,,,,
הנאשם הרים את השקית ובה 100 טבליות של סם מסוכן מסוג MDMA וכן סם מסוכן מסוג חשיש במשקל של 94.01 גרם נטו.,,,,['סוג הסמים הוא MDMA וחשיש'],['הכמות של הסמים היא [94.01 - גרם]'],,,,,
"הסוכן העביר לנאשם בתמורה 6,200 ₪.",,,,,"['6,200 - ₪ (כסף) ⇐ לא ניתן לקבוע את כמות הסמים, כיוון שהטקסט מציין רק את העברת הכסף בין הסוכן לנאשם']",,,,,
אישום שלישי מתאר כי ביום 3.3.19 שוחח הסוכן עם אבו סנא לצורך קניית 130 כדורים של סם מסוג אקסטזי ופלטה של חשיש.,,,,['סוג הסמים הוא אקסטזי וחשיש'],['130 - כדורים (יחידות)'],,,,,
"מספר שעות לאחר מכן, שוחח הנאשם עם הסוכן ואמר לו כי עלות הסמים עליה שוחח עם אבו סנא תהא 7,100 ₪.",,,,,,,,,,
"הנאשם העביר לסוכן שקית ובה 100 טבליות של סם מסוכן מסוג MDMA וסם מסוג חשיש במשקל של 93.66 גרם ובתמורה מסר הסוכן לנאשם 7,000 ₪.",,,,['סוג הסמים הוא MDMA וחשיש'],['הכמות של הסמים היא [93.66 - גרם]'],,,,,
"לאחר מכן, שוחח הסוכן עם אבו סנא על כך שבניגוד לסיכום ביניהם הועברו אליו רק 100 טבליות של MDMA ולא 130.",,,,"['סוג הסמים הוא MDMA, או אקסטזי']",['הכמות של הסמים היא [130 - טבליות]'],,,,,
"אישום רביעי מתאר כי בהמשך למתואר באישום 3, ובמהלך כשבועיים עובר ליום 18.3.19 שוחח הסוכן עם אבו סנא ועם הנאשם מספר פעמים, על מנת לבחון אפשרות ""לפצות"" אותו על 30 הטבליות החסרות מהעסקה הקודמת.",,,,,['הכמות של הסמים היא [30 - טבליות]'],,,,,
"באחת השיחות, סיכם הסוכן עם אבו סנא ועם הנאשם על עסקת ""קיזוז"" במסגרתה ירכוש מהשניים 100 כדורים של סם מסוג אקסטזי ופלטה של סם מסוג חשיש, וישלם בתמורה רק עבור 70 כדורי אקסטזי ופלטה אחת של סם מסוג חשיש.",,,,['סוג הסמים הוא אקסטזי וחשיש'],['הכמות של הסמים היא [100 - יחידות]'],,,,,
"בהמשך, הגיע הסוכן למקום המפגש ושם פגש את הנאשם אשר העביר לו שקית שקופה ובה 99 טבליות של סם מסוג MDMA וכן פלטה אחת של סם מסוג חשיש במשקל של 100.73 גרם.",,,,['סוג הסמים הוא MDMA וחשיש'],['הכמות של הסמים היא [100.73 - גרם]'],,,,,
