text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE
"על פי הנטען בכתב האישום בו הודה הנאשם בסמוך למועדים שתוארו בכתב האישום, השתמש הנאשם בסמים מסוכנים מסוג קוקאין ו- קריסטל בתדירות יומיומית, ועל כן על מנת לממן את רכישתם של הסמים החליט הנאשם לשדוד סכומי כסף מחנויות נוחות הנמצאות בתחנות דלק שונות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,['הסוג הוא [קוקאין] ו[קריסטל]'],,"['הנאשם השתמש בסמים מסוכנים מסוג קוקאין וקריסטל, והוא מואשם בכך שהשתמש בהם באופן יומיומי. עם זאת, אין אזכור של הנאשם כבעל מעבדה או קשר לייצור']",,,,,,,,
"במסגרת הסדר טיעון בין המאשימה לנאשם וב""כ, התבקש ביהמ""ש להטיל על הנאשם עונש מאסר על תנאי של שנתיים למשך שלוש שנים בגין העבירות בהן הורשע, צו מבחן לתקופה של שנתיים, פיצוי בסך 930 ₪ לזכות חנות ""על הדרך"" בתחנת סונול בית עובד, פיצוי בסך 1160 ₪ לזכות חנות הנוחות בתחנת הדלק ""TEN"" ברחוב הפלד 9 בחולון ופיצוי בסך 1,000 ₪ לזכות כל אחד מהמתלוננים בשלושת האישומים.",,,,,,,,,,,[],['הנאשם קיבל 24 חודשי מאסר על תנאי'],[],
"מתסקיר שירות המבחן עלה כי הנאשם, בן 57, גרוש ואב לשלושה ילדים בוגרים, החל להשתמש עוד בנעוריו באופן קבוע בסמים קשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד עלה כי הנאשם ריצה תקופות מאסר הן בארץ והן בחו""ל, כאשר לדבריו הרקע לביצוע העבירות הינו התמכרותו לסמים והצורך לממנם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"מדו""ח סיכום הטיפול עלה כי הנאשם נרתם להליך הטיפולי, תוך הבעת מוטיבציה לשינוי אורחות חייו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
במסגרת תנאי מעצר הבית השתלב הנאשם ביחידה העירונית לנפגעי סמים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"העובדת הסוציאלית דיווחה, כי הנאשם משתף פעולה עם ההליך הטיפולי  ורוצה בשיקום.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
נוכח ראשוניות השתלבותו של הנאשם ביחידה הטיפולית התבקשה דחייה בת 3 חודשים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"מהתסקיר המשלים שהוגש בתאריך 27.6.2013 עולה כי הנאשם עבר להתגורר עם בת-זוגתו, שאף היא מהווה גורם מייצב נוסף עבורו לצד בנו.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
עוד ציין כי הנאשם החל משתתף בקבוצות לתמיכה עצמית (N.A.) ובמקביל החל בטיפול פרטני במסגרת היחידה העירונית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
