text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"* בית המשפט גזר את דינו של נאשם שהורשע בעבירות החזקה ונשיאת נשק, כניסה ושהייה בלתי חוקית בישראל ושימוש במסמך מזויף, והשית עליו 30 חודשי מאסר בפועל ומאסרים על תנאי.",,[],['30 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"ביום 31.8.2014 הורשע הנאשם, על פי הודאתו בעובדות כתב האישום, בעבירה של החזקה ונשיאת נשק, עבירה לפי סעיף 144(א) רישא וסעיף 144(ב) רישא לחוק העונשין, התשל""ז - 1977 (להלן: ""חוק העונשין""), בעבירה של כניסה ושהייה בלתי חוקית בישראל, עבירה לפי סעיף 12(1) לחוק הכניסה לישראל, התשי""ב -   1952 (להלן: ""חוק הכניסה לישראל"") ובעבירה של שימוש במסמך מזוייף, עבירה לפי סעיף 420 בנסיבות סעיף 418 רישא לחוק העונשין.",,,,,,,['כן'],,,,,,,,,,,,,,
"עובר לתאריך 02.07.2014 נכנס הנאשם לישראל, לעראבה, ללא היתר כדין ובניגוד לחוק, כשהוא נושא נשק מסוג קרל גוסטב, אשר סוגל לירות כדור ובכוחו להמית אדם (להלן: ""האקדח"") וכן מחסנית הטעונה בכדורי 9 מ""מ (להלן: ""המחסנית"").",,,,,,,,,['אקדח'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,
"לאחר שהגיע לעראבה, החזיק הנאשם את האקדח והמחסנית בדירה בה שהה עד שנעצר על ידי משטרת ישראל בתאריך 02.07.2014.",,,,,,,,,['אקדח'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
הנאשם החזיק ברשותו גם תעודת זהות ישראלית מזוייפת על שם מחמוד אגבאריה ת.ז. 203965785 ובה מודבקת תמונת הנאשם.,,,,,,,,,,,,,,,,,,,,,
"במעשיו המתוארים לעיל החזיק ונשא הנאשם נשק, בלא רשות על פי דין להחזקתו או לנשיאתו, נכנס לישראל ושהה בה ללא היתר ובניגוד לחוק וכן החזיק במסמך מזויף ביודעו כי הוא מזויף.",,,,,,,,,,,,,,,,,,,,,
"כמו כן, הוגשו טיעוני המאשימה לעונש בכתב (ת/3) וכן הוסיפה ב""כ המאשימה לאמור בת/3, במסגרת הדיון הנ""ל, כל זאת כמפורט להלן.",,,,,,,,,,,,,,,,,,,,,
"ב""כ המאשימה טענה, כי המדובר בעבירות חמורות וכי לא בכדי קבע המחוקק בצד עבירות הנשק עונש מירבי של 10 שנות מאסר.",,[],[],[],,,,,,,,,,,,,,,,,
"לדברי ב""כ המאשימה, דברים אלה מקבלים משנה תוקף שעה שמדובר בנאשם שעשה מאמצים להיכנס באופן בלתי חוקי לישראל, כשהוא נושא עמו רובה ומחסנית לכל אורך הדרך משטחי הרשות הפלסטינאית עד לעראבה, וכל זאת מבלי שידוע מה הייתה מטרת החזקת הנשק, למה הוא נועד לשמש בעתיד, לאילו ידיים עוינות הוא עלול היה להתגלגל ובאיזו עוצמה עלול היה הפוטנציאל הקטלני להתממש.",,,,,,,,,"[""רובה סער (רובה מסוג M-16 או קלצ'ניקוב)""]",,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"לטענת ב""כ המאשימה, חומרה נוספת נעוצה בעובדה, כי בשעת תפיסת הנשק מתחת למיטת הנאשם,  נמצאה בצד הנשק מחסנית הטעונה בכדורים, דבר המלמד לגבי אפשרות השימוש המיידי בנשק.",,,,,,,,,,,,,['מוסלק - מוסתר'],,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
