,sentence,true_label,predicted_label,probabilities
52,"אשר לנסיבות ביצוע העבירה בענייננו- הנאשם ייבא מקולומביה לישראל נוזל אייואסקה, אשר מכיל את הסמים המסוכנים די.אם.טי והארמין, במשקל 1,300 מ""ל, אשר יכול להספיק למספר שימושים.",0,1,0.98874843
773,"מיד לאחר מכן, ניגש ודים לרכב, מסר את הכסף המזומן לנאשם ונטל ממנו 2 מנות של סם מסוג קוקאין במשקל כולל של 0.28 גרם נטו (להלן: ""הסם"") אותן מסר לסוכן.",0,1,0.9848514
97,"באותן נסיבות, החזיק הנאשם ברכב ברצפה שמתחת למושב הנוסע הקדמי שקית לבנה ובתוכה 92 שקיות ובתוכן סם מסוכן מסוג קנאביס במשקל כולל של כ-300 גרם נטו, וזאת שלא לצריכתו העצמית.",0,1,0.9845932
33,"אישום ראשון: בתאריך 23.2.18 במהלך חיפוש שנערך בביתו של הנאשם וברכבו נמצא כי הנאשם החזיק בביתו סם מסוכן מסוג קנאביס במשקל נטו של 2.795 גרם ואילו בתוך תיק מתחת למושב הנוסע ליד הנהג ברכבו, החזיק בסם מסוכן מסוג קנאביס במשקל 234.5 גרם, כשהוא מחולק לשקיות וכן במשקל כקטן.",0,1,0.98385566
623,"לא זו אף זו, בביתו החזיק הוא כמות גדולה נוספת מאותו סם ממש, כארבעה ק""ג, וכן קילוגרם נוסף של סם מסוג קנבוס.",0,1,0.98057497
749,מדובר בענייננו סם קשה מסוג קוקאין ובמשקל לא מבוטל שניתן להפיק ממנו כמות גדולה מאד של מנות סם.,0,1,0.9756504
832,"נתפסו גם סמים במשקל של כ- 3 ק""ג, לאחר שנגזמו ועברו שלב נוסף בשרשרת ההפצה ו-80 מ""ל שמן קנאביס.",0,1,0.9756237
842,סם מסוכן מסוג קוקאין במשקל 8.5067 גרם נטו.,0,1,0.97424966
233,"בענייננו הנאשם סחר בסם באמצעות אפליקציית ""טלגרם"" כאשר מכר לאחרת סם מסוכן מסוג קנאביס במשקל 4.62 גרם נטו, וזאת בתמורה ל-300 ₪ ובנוסף החזיק ברכבו 92 שקיות ובתוכן סם מסוג קנאביס במשקל כולל של כ-300 גרם נטו.",0,1,0.9739216
889,"על פי המתואר בעובדות האישום השלישי, ביום 7.5.2024 בשעה  03:39 לערך, ברחוב עין נטפים באילת, החזיק הנאשם בסמים מסוכנים מסוג METHYLMETHCATHINON  m- במשקל 1.8438 גרם נטו 2 יחידות, קוקאין במשקל 0.3896 גרם נטו ו- 5 יחידות MDMA לצריכתו העצמית.",0,1,0.9730473
242,בפעם הראשונה מדובר במשקל של כ-20 גרם סם מסוג קוקאין ובפעם השנייה במשקל של  כ-70 גרם סם מסוג קוקאין.,0,1,0.97304
132,"בהמשך, הגיע המתלונן למקום שם פגש בנחמן ומסר לו סם מסוג קנבוס במשקל 2 גרם תמורת 300 ₪.",0,1,0.9677793
160,"ביום 23.3.22 נתפסו במעבדה 485 שתילים של סם קנבוס וכן קנבוס מפוזר במספר מקומות שונים בדירה במשקל כולל של 110 ק""ג נטו.",0,1,0.9676913
227,"בסמוך לשעה 20:47 בחניית בניין 4005 באילת, פגש הנאשם את הסוכן ומכר לו סם מסוכן מסוג קטמין במשקל 4.7903 גרם נטו וקיבל מהסוכן בתמורה 1,100 ₪.",0,1,0.96633166
409,הנאשם לקח את שטר הכסף ומסר לשוטר סם מסוכן מסוג קוקאין במשקל 0.0882 גרם נטו.,0,1,0.9624886
841,סם מסוכן מסוג מתילמטקתינון במשקל 14.2733 גרם נטו.,0,1,0.96192616
481,"הפנתה לנזק שהיה עלול להיגרם מביצוע העבירות, שכן מדובר בכמות גדולה של סמים מסוכנים מסוג קוקאין שאלמלא היו נמכרים לסוכן משטרתי היו מופצים בקרב הציבור עצמו והיה נגרם נזק רב.",0,1,0.95468175
135,"בהמשך, קרא הסוכן המשטרתי לנאשם 1, שהסיט את הווילון ומסר לידיו סכום כספי בסך 100 ₪ ובתמורה לכך, מסרה אחרת, שזהותה לא ידועה למאשימה, לידי הסוכן המשטרתי סם מסוכן מסוג קוקאין במשקל כולל של 0.1808 גרם נטו.",0,1,0.951016
216,"בנסיבות אלה, הציע הנאשם למכור לבנימין סם מסוכן מסוג קנבוס תמורת 50 	₪ לגרם, או 100 ל-3 גרם.",0,1,0.94500583
