text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE,CONFESSION_LVL2,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בהתאם לעובדות כתב האישום, בהם הודה הנאשם כפי שהן – נתפס, בתאריך 23/05/18, מחזיק רובה סער מסוג ""גליל"", שמספרו הסידורי נמחק; וכן מחסניות ותחמושת - שלא כדין.",,,,['כן'],['רובה סער מאולתר'],,,,,,,,,,,,,,,,
"הודאת הנאשם נמסרה שלא במסגרת הסדר טיעון (יצוין כי, בפרוטוקול מיום 28/11/18 נרשם בטעות, כי ההודאה נמסרה במסגרת הסדר טיעון וכן נרשם סעיף עבירה שגוי.",,,,['לא'],,,,,,,,,,,,,,,,,
"התביעה הגישה, לעניין העונש, את פלט הרשעותיו הקודמות של הנאשם (ת/1), ממנו עולה, כי הורשע, בעבר, בעבירה בתחום הסמים המסוכנים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
"עוד הוגש פלט הרשעותיו התעבורתיות (ת/2), ממנו עולה, כי הורשע בעבירות שונות, בין היתר, עקיפה תוך חציית קו הפרדה רצוף; עבירות מהירות (כולל מהירות בגינה זומן למשפט תעבורתי ולא ניתן דוח ברירת משפט); נהיגה ללא רשיון רכב בתוקף; נהיגה בניגוד לכיוון התנועה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עוד הוגשה, מטעם התביעה, חוות דעת מז""פ בנוגע לנשק שנתפס (ת/3), ממנה עולה, כי כלי הנשק נבדק ונמצא יורה ובכוחו להמית אדם.",,,,,,,,,,,,,,,,,,,,,
"כן נמצאה התאמה בין כלי נשק זה לבין אירוע, במסגרתו נורה אדם, תושב הישוב כסיפה ונפצע.",,,,,,,,,,,,,,,,,,,,,
"עוד הוגשו, מטעם התביעה, תמונות (ת/4), בהן ניתן לראות, כי הנשק הוסלק בתוך מקום ייעודי (סליק), במבנה מגודר באיסכורית, עטוף בניילון ולצדו מספר מחסניות -  גם הן עטופות בניילון.",,,,,,,,,"['בבית', 'מוסלק - מוסתר']",,,,"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,,
"מטעם ההגנה, הוגשה אמרת הנאשם (נ/1), שם נטען מפיו, כי 'מצא את הנשק כאשר יצא לעשות צרכיו מתחת לאחד העצים'.",,,,,,,,,[],,,,,,,,,,,,
"לדבריו, מחזיק בנשק מזה כשש שנים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"עוד סיפר הנאשם, כי הנשק הוחזק במבנה המשמש כמטבח, מוסלק מתחת ללוח עץ (""דיקט"") שהותקן על הרצפה.",,,,,,,,,"['בבית', 'מוסלק - מוסתר']",,,,[],[],,,,,,,
"המבנה אינו נעול, אם כי לטענת הנאשם, על אף שמתגוררים במקום ילדיו – חמישה קטינים מגיל שלוש ומחצה עד גיל עשר, הם אינם נכנסים למבנה זה.",,,,,,,,,,,,,,,,,,,,,
"עו""ס המשפחה ציינה, כי רעיית הנאשם מוכרת לה על רקע מצב סוציו-אקונומי נמוך וטיפול במיצוי זכויותיה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הרעיה והילדים מתגוררים בפחון ומתפרנסים מקצבאות המוסד לביטוח לאומי.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עם זאת, מסרה, כי הנאשם אינו מתגורר עם בני משפחתו, אלא – עוד לפני הסתבכותו בפרשה זו – היה מגיע רק פעם בחודש לראות את ילדיו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם אף אינו דואג לרווחת המשפחה.,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"התביעה עתרה למתחם ענישה, שינוע בין מאסר בפועל למשך שנתיים למחצה לבין 4 שנים, בצירוף רכיבי ענישה נוספים של מאסר מותנה וקנס.",,,,,,,,,,,,,,,,,,,[],[],[]
"זאת, הן לנוכח עברו הפלילי; הן לנוכח העובדה, כי המדובר בנשק שהוחזק בצירוף תחמושת ומחסניות, מוכן לשימוש; הן לאור העובדה, כי נסיבות החזקת הנשק מלמדות על כך, שעבר בין ידיהם של פורעי חוק.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לטענת ההגנה, אין ראיה על כך שהנאשם קשור לאירוע הקודם בו, נערך שימוש בנשק בירי על אדם.",,,,,,,,,,,,[],,,,,,,,,
"לטענת ההגנה, עברו הפלילי של הנאשם אינו מכביד.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,,,,
"עוד ביקשה ההגנה, כי בית המשפט ייקח בחשבון נסיבותיו האישיות של הנאשם, לרבות כך, שאיבד שניים מילדיו בשריפה וכן את הודאתו באשמה.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",['כן'],,,,,,,,,,,,,,,,,
"בדברו האחרון – הצר הנאשם על כך, שלא מסר את הנשק למשטרה וטען, כי לא התכוון לעשות עמו דבר.",,,,['לא'],,,,,,,,[],,[],,,,,,,
"החזקת נשק ותחמושת על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום מי שמחזיק נשק ברשיון נדרש לאפסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות שהוחזק לצורך פעילות שלילית, כמפורט לעיל.",,,,,,,,,,,,,,,,,,,,,
"זאת, כדי לבלום את שרשרת העבירות בשלב ראשוני.",,,,,,,,,,,,,,,,,,,,,
"על אחת כמה וכמה, כאשר קיימות הרשעות קודמות ואינדיקציה לשימוש פלילי שנעשה, בעבר, בנשק.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"ערעור המדינה התקבל בהסכמת הצדדים, תוך שהוחמרו עונשי המאסר שהושתו על המשיבים ל-26 ו-31 חדשי מאסר בפועל (בהתאמה).",,,,,,,,,,,,,,,,,,,,,
"בפסק הדין ע.פ. 4945/13 מדינת ישראל נ' סלימאן (פורסם במאגרים), אושר מתחם ענישה שינוע בין שנה ועד שלוש שנות מאסר, בגין החזקת כלי נשק  בודד מסוג קרל גוסטב וכן מחסנית וכדורים.",,,,,,,,,,,,,,,,,,,[],[],[]
