text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע על פי הודאתו ובמסגרת הסדר טעון בעבירות של סחר בסם מסוכן לפי סעיף 13 + 19א לפקודת הסמים המסוכנים (נוסח חדש), תשל""ג – 1973 (להלן: ""פקודת הסמים"") (3 עבירות), תקיפה הגורמת חבלה של ממש על ידי שניים או יותר, לפי סעיף 382(א) לחוק העונשין, תשל""ז 1977 (להלן: ""חוק העונשין"") בצירוף סעיף 29(א) לחוק העונשין, ואיומים לפי סעיף 192 לחוק העונשין.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
באותן הנסיבות שימש המתלונן כשליח של השניים לצורך ביצוע עסקאות סם.,,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,
במעמד זה העביר המתלונן לנאשם סך של 50 ₪ ו-1020 דולר.,,,,,,,,,,
"על פי הנטען באישום השלישי, בתאריך 20.8.2019 התחבר מאל דוד דהן (להלן: ""דוד"") לאפליקציית הטלגרס, וביקש לרכוש מהנאשם סם מסוכן מסוג קנבוס במשקל גרם אחד.",,,,['סוג הסמים הוא קנבוס'],['1 גרם - גרם'],,,,,
במעמד זה הנאשם העביר לו סם מסוג קנבוס במשקל גרם אחד תמורת 100 ₪.,,,,['סוג הסמים הוא קנבוס'],['הכמות של הסמים היא [1 - גרם]'],,,,,
"על פי הנטען באישום השישי ביום 15.10.2019 בשעה 19:52 או בסמוך התחבר בן שושן מאיר לאפליקציית טלגרס, וביקש לרכוש מהנאשם סם מסוכן מסוג קנבוס.",,,,['סוג הסמים המוזכר בטקסט הוא קנבוס (קנאביס)'],,,,,,
"הנאשם ומאיר קבעו, כי הנאשם ימכור לו סם במשקל 5 גרם תמורת 450 ש""ח, וכי שליח יפגוש במאיר ברחוב הרב שך 30 בביתר עילית.",,,,"['הסוג של הסמים הוא ""סם"" (בלי לציין את הסוג הספציפי)']",['5 - גרם'],,,,,
"בהמשך הגיע המתלונן למקום, ומסר לאדם בשם יונתן פרידמן את הסם תמורת 450 ₪.",,,,,,,,,,
באותן הנסיבות ביקש לרכוש מהנאשם סם מסוכן מסוג קנבוס.,,,,['הסוג של הסמים המוזכרים בטקסט הוא קנבוס (קנאביס)'],,,,,,
הנאשם ויונתן קבעו כי הנאשם ימכור לנחמן סם במשקל 2 גרם תמורת 300 ₪.,,,,"['סוג הסמים הוא ""סם"" (בלי לציין את הסוג הספציפי)']",['הכמות של הסמים היא [2 - גרם]'],,,,,
"בהמשך, הגיע המתלונן למקום שם פגש בנחמן ומסר לו סם מסוג קנבוס במשקל 2 גרם תמורת 300 ₪.",,,,['סוג הסמים הוא קנבוס'],['הכמות של הסמים היא [2 - גרם]'],,,,,
"צוין, כי לחובת הנאשם 3 הרשעות קודמות בעבירות נשק וסמים, ותלוי ועומד כנגדו מאסר על תנאי להפעלה למשך 5 חודשים מבית דין צבאי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם התקשה ליטול אחריות מלאה על המעשים, להשתלב בטיפול, והוא אינו מורתע מהליכים המתנהלים נגדו.",,,,,,,,,,
"הוסף, כי המדובר בשלושה אישומים של סחר בסם מסוג קנבוס בכמויות קטנות, שאינן מצדיקות הטלת מאסר מאחורי סורג ובריח.",,,,['סוג הסמים המוזכר בטקסט הוא קנבוס (קנאביס)'],,,,,,
"עוד ציין הסנגור, כי הנאשם החל בהליך שיקומי במסגרת המאסר.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם הוסיף, כי הוא מצוי כעת בהליכי טיפול ושיקום, ומשמש כתומך לאסירים וכמורה לעברית לכאלו שאינם יודעים קרוא וכתוב.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ביום 7.2.2024 ציין הסנגור, כי קיים עדכון נוסף ביחס לנאשם מגורמי שב""ס, ולראשונה ציין, כי הנאשם מסר לו שהודה בעבירות אותן לא ביצע.",,,,,,,,,,
"דומה, כי מהלך זה היה מתוכנן היטב בין הנאשם לאחר, שכן תכף לאחר מכן תקף האחר את המתלונן באלימות קשה, לרבות שימוש בפטיש המשמש לניפוץ שמשות.",,,,,,,,,,
"מהאמור עולה אם כן, כי אין המדובר בצופה מן הצד, אלא שפעולה זו הייתה מתוכננת ומתואמת בין השניים, כאשר תפקידו של הנאשם לנהוג את הרכב, בזמן שהאחר מכה את המתלונן במהלך כל זמן הנסיעה.",,,,,,['לא בעל המעבדה'],,,,
"בבחינת העונש אותו יש לגזור על הנאשם בתוך המתחם יש לקחת בחשבון את הנתונים הבאים: הנאשם הינו בחור צעיר כבן 23 רווק, אשר נטל אחריות על מעשיו בבית המשפט, והביע בבית המשפט חרטה על ביצוען של העבירות.",,"['1 : כן', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"לחובת הנאשם רישום פלילי הכולל 3 הרשעות קודמות בעבירות נשק, סחר בסם מסוכן והוצאת נשק מרשות הצבא.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
ביום 24.3.2023 הוטל על הנאשם מאסר למשך 4 שנים ו-4 חודשים בגין עבירות של רכישה והובלה של נשק.,,,,,,,,['המאסר שהוא לא על תנאי שקיבל הנאשם הוא 4 שנים ו-4 חודשים'],[],[]
"בעניינו של הנאשם הוגש תסקיר מבחן, אביא מתוכנו בתמצית: הנאשם התקשה לקחת אחריות על ביצוע העבירות, ונקט בצמצום וטשטוש.",,,,,,,,,,
"הנאשם הוסיף, כי במהלך תקופה זו התמודד עם לחץ רגשי סביב יחסיו העכורים עם בני משפחתו, וכן היה נתון בקשיים כלכליים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"במסגרת התסקיר עומד שרות המבחן על כך שהנאשם מגיל צעיר חווה חסכים רגשיים רבים, ונחשף לחברה שולית ומעורבות פלילית של אחרים בסביבתו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בנוסף, הנאשם ביצע עבירות נשק, תוך כדי ניהול ההליך בתיק דנן, בגינם נעצר עד תם ההליכים המשפטיים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,
"לצד זאת, הנאשם ביטא רצון לניהול אורח חיים נורמטיבי, שומר על קשר טיפולי בבית המעצר, נטל חלק בקבוצה טיפולית בבית המעצר, ועורך שיחות פרטניות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם אף הביע רצון לאחר המאסר להיות בקשר טיפולי עם גורמי רש""א.",,,,,,,,,,
"מעיון בדוח הסוציאלי שהוגש לעיוני (מיום 27.9.2023) עולה, כי הנאשם סיים קבוצה טיפולית במסגרת המאסר, והביע מוטיבציה להשתלב בטיפול בתחום האלימות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"באיזון בין כלל השיקולים שפורטו לעיל, ותוך שהבאתי בחשבון את גילו הצעיר של הנאשם, חלוף הזמן, עמדת גורמי המקצוע בשב""ס באשר למוטיבציה אותה הנאשם מגלה כעת להשתלב בהליכי טיפול, ובשים לב לעובדה שהנאשם מרצה כעת עונש מאסר לתקופה ארוכה, ראיתי לקבוע את עונשו בחלקו הבינוני-תחתון של מתחם העונש ההולם, תוך חפיפה מסוימת בין עונשי המאסר, כפי שיפורט להלן:",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
17 חודשי מאסר בניכוי ימי המעצר בתיק זה.,,,,,,,,['17 חודשי מאסר'],[],[]
הפעלת מאסר למשך 6 חודשים מתיק מספר 309/18 בית דין צבאי מחוזי -מרכז מיום 11.02.2019 כך ש-3 חודשים ירוצו במצטבר ו- 3 חודשים ירוצו בחופף.,,,,,,,,"['הנאשם קיבל 3 חודשי מאסר בפועל, לא על תנאי']",[],[]
"סה""כ ירצה הנאשם 20 חודשים, מתוכם 14 חודשים ירוצו במצטבר לעונש אותו הוא מרצה כעת, והיתרה בחופף לו.",,,,,,,,['הנאשם קיבל 20 חודשי מאסר'],[],[]
"מאסר למשך 6 חודשים, וזאת על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור על כל עבירת אלימות מסוג פשע או עבירת פשע מפקודת הסמים המסוכנים.",,,,,,,,[],['6 חודשים'],[]
"מאסר למשך 3 חודשים, וזאת על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור על כל עבירת אלימות מסוג עוון, או עבירת סמים מסוג עוון מפקודת הסמים המסוכנים.",,,,,,,,[],['3 חודשים'],[]
"פיצוי לע""ת בסך 2000 ₪ אשר ישולם עד ליום 4.8.204.",,,,,,,,[],[],[]
