text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"* כצעיר אשר חיפש את מקומו בעולם, הנאשם עסק במעשי עבירה וסמים מסוכנים עברו תחת ידיו, והוא תיווך וסחר בהם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כמות הסם שנמכרה אינה גדולה במיוחד ולא מדובר באחד הסמים הקשים, אך האופן בו בוצעה העבירה – תוך שימוש ביישומון הטלגרס וסגנון דברי הנאשם – מעיד כי הוא הבין היטב את משמעות מעשיו, פעל כמי שמכיר את עולם הסמים, מתוך כוונה להשיג רווח כספי, מבלי שהפגיעה בעצם הפצת הסם תהא לנגד עיניו.",,,,,,,,,,,,,,
הנאשם בן 21 שנים כיום.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"מתסקירי שירות המבחן עולה תמונה של הנאשם כנער צעיר אשר חיפש את מקומו בעולם, תוך התמודדות עם קשיים ובעיות הנעוצות במעבר לחיים במדינה אחרת וחזרה לישראל, בעיות לימודיות וקושי למצוא את מקומו במסגרות החינוך.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם התמיד בכל אחד משלבי הטיפול, ועבר שינוי משמעותי וחיובי בחייו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
כיום הוא מסיים את לימודיו במכינה אקדמית לקראת לימודים לתואר ראשון בעבודה סוציאלית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם דנן בחר לפנות לעיסוק בעבודה סוציאלית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם הורשע על פי הודאתו בעבירות המיוחסות לו במסגרת הסדר טיעון בתיק העיקרי, וכן צירף שני תיקים נוספים.",,,,,,,,,,['כן'],,,,
"כתב האישום אשר תוקן במסגרת ההסדר מתאר כי ביום 17.1.18, תיווך הנאשם עבור שוטר בעניינה ל עסקת מכר העוסקת ב- 4.31 גרם סם מסוג קנביס תמורת 450 ₪.",,,,['קנביס'],,['לא בעל הסמים'],,,,,,,,
"האישום הראשון מתייחס לחודש אפריל 2017, אז בשתי הזדמנויות, מכר הנאשם סם מסוג קנביס במחיר של 120 ₪ עבור כל גרם לקטין יליד שנת 2000.",,,,['קנביס'],['[1 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
