text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ביום 9.1.24 הורשע הנאשם לאחר שמיעת ראיות, בהכרעת דין מפורטת, בעבירות של ייבוא סם מסוכן, לפי סעיף 13 בצירוף סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: ""הפקודה""), החזקת סם מסוכן שלא לצריכה עצמית לפי סעיף 7(א) בצירוף סעיף 7(ג) רישא לפקודה, ניסיון אספקת סם לפי סעיף 13 בצירוף 19א לפקודה, ושיבוש מהלכי משפט לפי סעיף 244 לחוק העונשין, תשל""ז-1977 (להלן: ""החוק"").",,,,,,,,,,
"על פי עובדות החלק הכללי של כתב האישום, דימתילטריפטאמין-N,N, הידוע גם בשם די.אם.טי, הינו סם מסוכן לפי הפקודה, אשר שייך לקבוצת הסמים ההזייתיים הנקראים טריפטאמינים, והוא המרכיב הפסיכו-אקטיבי המרכזי בצמח הנקרא איוואסקה (Ayahuasca) (להלן: ""סם האיוואסקה""), שהוא צמח משנה תודעה הנצרך, בין השאר, באמצעות חליטה או הרתחה, בין היתר, בטקסים שאמאנים באמזונס, ונצרך אורלית באמצעות שתייה.",,,,,"['הכמות של הסמים היא [1.5 ק""ג - יחידות (ק""ג)]']",,,,,
"במועדים שאינם ידועים במדויק למאשימה עובר ליום 21.10.20, עמד הנאשם בקשר עם אדם בשם Jairo Zuluaga (להלן: ""איירו"") אותו הכיר בקולומביה, בעניין ייבוא סם האיוואסקה.",,,,['סוג הסמים הוא איוואסקה'],,,,,,
"בעקבות זאת, שלח איירו ביום 21.10.20 לנאשם בקבוק (להלן: ""הבקבוק"") המכיל 1,300 מ""ל סם האיוואסקה, המכיל סמים מסוכנים מסוג די.אם.טי והארמין (להלן: ""הסם"").",,,,['סוג הסמים הוא די.אם.טי והארמין'],"['1,300 - מ""ל (מיליליטר)']",,,,,
"הסם נשלח בתוך חבילה בדואר (להלן: ""החבילה""), לכתובתו הפרטית של הנאשם כפי שמסר אותה לאיירו, רחוב בבא סאלי 21 דירה 8 בביתר עילית, וזאת באמצעות חברת השילוח UPS (להלן: ""החברה"").",,,,,,,,,,
"במעשיו המתוארים לעיל, וללא שהותר הדבר בפקודה או בתקנות לפיה או ברישיון מאת המנהל, ייבא הנאשם סם מסוכן לישראל, החזיק בסם מסוכן שלא לצריכה עצמית, וניסה לספק סם מסוכן לאחרים.",,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,
"מתסקיר שירות המבחן מיום 19.5.24 עולה, כי הנאשם כיום בן 31 שנים, נשוי ובעל עסק למערכות קירור ומיזוג וחימום תת רצפתי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
אשתו של הנאשם בת 26 ועובדת כמנהלת מזכירות במושב בו מתגורר הזוג.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"כמו כן, משפחת מוצאו של הנאשם מונה הורים ואחד עשר אחים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ביחס למהלך חייו, תואר כי הנאשם גדל בירושלים כבן למשפחה חרדית, והתחנך במוסדות חרדיים עד גיל 15, אך מאחר שסבל מבעיות קשב וריכוז עזב את הישיבה בה למד ועבר ללמוד בישיבה שכללה לימודי חול והכנה לבגרות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עם זאת, מסר הנאשם שלא השלים את לימודי הבגרות במלואם וחסרות לו מספר יחידות לימוד לשם כך.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עם סיום לימודיו השתלב הנאשם כטכנאי מערכות קירור ומיזוג אוויר, ולאחר מכן התגייס לצבא כלוחם והשלים שירות מלא.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם תיאר כי במסגרת שירותו הצבאי נחשף למוות חבריו בעמדת שמירה סמוכה במהלך מבצע ""צוק איתן"", אשר גרמה לו לקשיי שינה בתקופה הסמוכה לשחרורו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם הוסיף וסיפר לשירות המבחן, כי לאחר שחרורו מהצבא טס לטיול במזרח הרחוק לתקופה קצרה, ועם חזרתו ארצה הקים עסק למיזוג אוויר, ועבד בתחום למשך מספר שנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"לדבריו, העסק הצליח, אך בעקבות תחושת חוסר מיצוי, הוא עזב את התחום וטס לטיול בדרום אמריקה שם, במהלך הטיול, התנסה בחומר משנה תודעה, וחווה פלשבקים מפגיעה שעבר בילדותו על ידי אחד ממוריו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"שירות המבחן ציין, כי הנאשם לקח אחריות מלאה למעשיו ומצר על ביצוע העבירה, ומודע כיום לנזקים וההשלכות הכרוכים בביצועה.",,,,,,,,,,
"שירות המבחן הוסיף, כי טרם ביצוע העבירה, הנאשם היה נעדר יכולת להעריך נזקים אפשריים, אך לאחר ביצועה הוא עבר תהליך של חקירה עצמית עמוקה והגיע לשינוי מחשבתי, וכיום הוא שוקל מעשיו באופן מחושב.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"עוד התרשם שירות המבחן, כי בחייו העסקיים הנאשם מקפיד על התנהלות מסודרת, נרתע מסיכונים ואף מוודא שעובדיו אינם משתמשים בסמים.",,,,,,,,,,
"לדברי שירות המבחן, ניכר כי הנאשם למד את לקחיו ונמנע כיום מלנקוט בדרך פלילית, תוך שמירה קפדנית על החוק והסדר החברתי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"צוין, כי הנאשם ביטא נכונות להשתלב בקבוצה טיפולית לטיפול בעבריינות בשירות המבחן אשר מתמקדת בפיתוח מודעות לדפוסים מכשילים, אך עקב זמני המתנה ארוכים הוא עתיד להשתלב בקבוצה כזו רק בחודשים הקרובים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"כמו כן, צוין כי מעיון ברישומו הפלילי המעודכן של הנאשם עולה שאין לו הרשעות קודמות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,
"מנגד, ביחס לגורמי הסיכוי לשיקומו נמסר, כי הנאשם נעדר עבר פלילי, מתנהל באופן נורמטיבי בחברה ובמשפחה, וניכר כי ערך שינוי מהותי בדפוסי מחשבתו בכל הקשור לשימוש בסמים ועבירה על החוק.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עוד התרשם שירות המבחן, כי הנאשם מבטא מודעות למצבו, מביע חרטה כנה על האופן שבו פעל, ואף הביא דוגמאות מחייו כיום המעידות על שינוי דפוסים.",,,,,,,,,,
