,feature_key,text,extraction,verdict
0,TYPE_WEP,כתוצאה ממעשיו של הנאשם התפוצץ המטען וגרם נזק לתחתית וכסא נהג הרכב ונזקים לסביבה במרחק של כ-10 מטר ממקום חנית הרכב.,['מטען חבלה מאולתר'],ME-14-03-48488-922
1,TYPE_WEP,"הנאשם ייצר מטען חבלה שתוכנן כך שיגרום למות אדם עם התפוצצותו, והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך.",['מטען חבלה'],ME-14-03-48488-922
2,OBTAIN_WAY_WEP,"הנאשם ייצר מטען חבלה שתוכנן כך שיגרום למות אדם עם התפוצצותו, והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך.",['ייצר'],ME-14-03-48488-922
3,TYPE_WEP,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",['מטען חבלה'],ME-14-03-48488-922
4,USE,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",[],ME-14-03-48488-922
5,CONFESSION,"הנאשם הורשע עפ""י הודייתו, במסגרת הסדר טיעון בגדרו הוגש כתב אישום מתוקן, בעבירה שעניינה החזקת נשק ותחמושת שלא כדין, לפי סעיף 144(א) לחוק העונשין, תשל""ז – 1977 (להלן: ""חוק העונשין"").",['כן'],ME-12-05-33444-999
6,CONFESSION,"הסנגור עמד על נסיבות חייו הקשות של הנאשם, אובדנה של בתו לפני מספר שנים ובעיותיו הרפואיות, הודייתו בעבירה בהזדמנות הראשונה וחרטתו הכנה על מעשיו.",['כן'],ME-12-05-33444-999
7,CONFESSION,"בשקלול מכלול השיקולים במקרה דנן, דומני כי ראוי ליתן זכות בכורה לנסיבותיו האישיות של הנאשם ולאינטרס השיקום על פני האינטרס הציבורי, שעניינו גמול והרתעה ולהימנע משליחתו של הנאשם למאסר; לאורך 55 שנותיו, קיים הנאשם אורח חיים נורמטיבי, הוא הודה בעבירה בהזדמנות הראשונה והביע חרטה ובושה.",['כן'],ME-12-05-33444-999
8,CONFESSION,"הנאשם הודה בעובדות כתב אישום שעניינן, נשיאת והחזקת נשק שלא כדין.",['לא'],ME-13-04-35007-454
9,CONFESSION,"תחילה, כפר הנאשם במיוחס לו בכתב האישום.",['לא'],ME-13-04-35007-454
10,CONFESSION,"בדיון מיום 18/11/13 ולאחר שהוחל בשמיעת ראיות, הגיעו הצדדים להסדר טיעון ולפיו, הנאשם יחזור בו מכפירתו, כתב האישום יתוקן, הנאשם יודה בעובדות כתב האישום המתוקן ויורשע על פי הודאתו.",['כן'],ME-13-04-35007-454
11,CONFESSION,"בהתאם להסדר הטיעון, הנאשם חזר בו מכפירתו, כתב האישום תוקן, התקבל וסומן ב/1 (להלן: ""כתב האישום"").",['לא'],
12,CONFESSION,הנאשם הודה בעובדות כתב האישום המתוקן והורשע על פי הודאתו בעבירות כדלקמן:,['כן'],ME-13-04-35007-454
13,CONFESSION,"במסגרת השלמת טיעוניה בעל פה, הדגישה המאשימה את העבירות בהן הורשע הנאשם על פי הודאתו ואת המעשים שביצע, כעולה מעובדות כתב האישום המתוקן.",['כן'],
14,CONFESSION,"באשר לנזק שהיה צפוי להיגרם מביצוע העבירות, טוענת המאשימה, כי אמנם הנאשם טען, כי כל כוונתו הייתה להפחיד, אך לא ברור כיצד התכוון לעשות זאת ומן העובדות בהן הודה ניתן רק להסיק, כי שימוש בנשק הטעון היה מממש את כוונתו.",['לא'],ME-13-04-35007-454
15,STATUS_WEP,"באשר לנזק שהיה צפוי להיגרם מביצוע העבירות, טוענת המאשימה, כי אמנם הנאשם טען, כי כל כוונתו הייתה להפחיד, אך לא ברור כיצד התכוון לעשות זאת ומן העובדות בהן הודה ניתן רק להסיק, כי שימוש בנשק הטעון היה מממש את כוונתו.",[],ME-13-04-35007-454
16,CONFESSION,"ב""כ הנאשם הדגיש עוד, כי הנאשם הודה במיוחס לו בכתב האישום המתוקן ובכך חסך זמן שיפוטי יקר.",['כן'],ME-13-04-35007-454
17,CONFESSION,"זאת ועוד, הנאשם נמנע מחיי חברה שוליים וכפי העולה מתסקיר שירות המבחן, הוא ביטא כוחות תוך שמירה על גבולות, הודה במיוחס לו, לקח אחריות על המעשים והביע חרטה מלאה וכנה בשלהם.",['כן'],ME-13-04-35007-454
18,CONFESSION,"כאמור, הנאשם הורשע, על פי הודאתו בעבירות נשוא כתב האישום המתוקן אשר עניינן, נשיאת נשק שלא כדין והחזקת נשק שלא כדין.",['כן'],ME-13-04-35007-454
19,CONFESSION,"עיון בעובדות כתב האישום המתוקן מלמד, כי עסקינן באירוע אחד, נמשך ובעל קשר פנימי, אשר במהלכו ביצע הנאשם את המעשים נשוא כתב האישום המתוקן ואת העבירות בהן הודה ועל פיהן הורשע.",['כן'],ME-13-04-35007-454
20,CONFESSION,"עוד תצוין הודאת הנאשם, לקיחת האחריות, חיסכון זמן שיפוטי יקר והעובדה, כי בהודאתו עשה הנאשם כדי לחסוך את הצורך בהעדת עדים רבים, על המשמעויות הקמות מכך.",['כן'],ME-13-04-35007-454
