text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בנוסף, הנאשם החזיק במשרד במגרש בסם מסוכן מסוג קנבוס במשקל כולל נטו של 1.85 גרם לצריכתו העצמית וללא רישיון.",,,,['קנביס (קנבוס)'],['[1.85 - גרם]'],['לא בעל המעבדה'],,,,,,,,
"באשר לנסיבות שאינן קשורות לביצוע העבירה נטען כי הנאשם אינו זכאי להקלה שהיא נחלתם של מי שנוטל אחריות על מעשיו, וכי הנאשם אינו קרוב לסייג לאחריות פלילית.",,,,,,,,,,,,,,
"נטען שהנאשם יליד שנת 87' ונעדר הרשעות קודמות, וכי מדובר בבעל עסקים נשוי ואב לילדים קטנים.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בנוסף, נטען כי בכל פסקי הדין אליהם הפנתה המאשימה דובר בנאשמים שלחובתם עבר פלילי, כך שהפסיקה אינה רלוונטית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בנוסף, הואיל ואמצעי הלחימה הוחזקו במגרש בבעלות הנאשם חלקו הוא דומיננטי, הוא יכל להימנע מהמעשה ולהבין את הפסול במעשיו.",,,,,,,,,,,,,,
"בכל הנוגע לגזרת עונשו של הנאשם בתוך מתחם העונש ההולם נתתי משקל לכך שהנאשם נעדר עבר פלילי, אם כי יש לזכור כי מגמת ההחמרה בענישה באה לידי ביטוי, בין היתר, בעונשים משמעותיים המוטלים על נאשמים המבצעים עבירות בנשק שאין לחובתם עבר פלילי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
עוד לקחתי בחשבון לקולא שהנאשם הוא בעל משפחה ואב לילדים צעירים.,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
30 חודשי מאסר בפועל בניכוי ימי מעצרו של הנאשם מיום 18.8.2021 ועד ליום 4.10.2021.,,,,,,,,,,,,['הנאשם קיבל 30 חודשי מאסר בפועל'],[],[]
מאסר על תנאי בן 12 חודשים שיופעל במידה והנאשם יעבור עבירת נשק מסוג פשע בתוך 3 שנים מיום שחרורו;,,,,,,,,,,,,[],['12 חודשי מאסר על תנאי'],[]
מאסר על תנאי בן 6 חודשים שיופעל במידה והנאשם יבצע עבירת נשק מסוג עוון בתוך 3 שנים מיום שחרורו;,,,,,,,,,,,,[],['6 חודשים'],[]
"קנס כספי בסך 7,000 ₪ שישולם בחמישה תשלומים החל מיום 1.6.2023 ובכל 1 לחודש עוקב.",,,,,,,,,,,,[],[],"['7,000 ₪']"
