,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,feature_key,text,extraction,verdict
0,0,0,0,0,0,0,0,0,0,TYPE_WEP,כתוצאה ממעשיו של הנאשם התפוצץ המטען וגרם נזק לתחתית וכסא נהג הרכב ונזקים לסביבה במרחק של כ-10 מטר ממקום חנית הרכב.,[],ME-14-03-48488-922
1,1,1,1,1,1,1,1,1,1,TYPE_WEP,"הנאשם ייצר מטען חבלה שתוכנן כך שיגרום למות אדם עם התפוצצותו, והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך.",[],ME-14-03-48488-922
2,2,2,2,2,2,2,2,2,2,OBTAIN_WAY,"הנאשם ייצר מטען חבלה שתוכנן כך שיגרום למות אדם עם התפוצצותו, והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך.",['ייצר'],ME-14-03-48488-922
3,3,3,3,3,3,3,3,3,3,TYPE_WEP,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",[],ME-14-03-48488-922
4,4,4,4,4,4,4,4,4,4,USE,"מכך משתמע שהנאשם בעצם שימש ""חרב להשכיר"" והוא הצית את הפתיל וגרם להתפוצצות מטען החבלה כנראה כ""אות אזהרה"" למשתמש ברכב.",False,ME-14-03-48488-922
5,5,5,5,5,5,5,5,5,5,CONFESSION,"הנאשם הורשע עפ""י הודייתו, במסגרת הסדר טיעון בגדרו הוגש כתב אישום מתוקן, בעבירה שעניינה החזקת נשק ותחמושת שלא כדין, לפי סעיף 144(א) לחוק העונשין, תשל""ז – 1977 (להלן: ""חוק העונשין"").",False,ME-12-05-33444-999
6,6,6,6,6,6,6,6,6,6,CONFESSION,"הסנגור עמד על נסיבות חייו הקשות של הנאשם, אובדנה של בתו לפני מספר שנים ובעיותיו הרפואיות, הודייתו בעבירה בהזדמנות הראשונה וחרטתו הכנה על מעשיו.",False,ME-12-05-33444-999
7,7,7,7,7,7,7,7,7,7,CONFESSION,"בשקלול מכלול השיקולים במקרה דנן, דומני כי ראוי ליתן זכות בכורה לנסיבותיו האישיות של הנאשם ולאינטרס השיקום על פני האינטרס הציבורי, שעניינו גמול והרתעה ולהימנע משליחתו של הנאשם למאסר; לאורך 55 שנותיו, קיים הנאשם אורח חיים נורמטיבי, הוא הודה בעבירה בהזדמנות הראשונה והביע חרטה ובושה.",True,ME-12-05-33444-999
8,8,8,8,8,8,8,8,8,8,CONFESSION,"הנאשם הודה בעובדות כתב אישום שעניינן, נשיאת והחזקת נשק שלא כדין.",True,ME-13-04-35007-454
9,9,9,9,9,9,9,9,9,9,CONFESSION,"תחילה, כפר הנאשם במיוחס לו בכתב האישום.",True,ME-13-04-35007-454
10,10,10,10,10,10,10,10,10,10,CONFESSION,"בדיון מיום 18/11/13 ולאחר שהוחל בשמיעת ראיות, הגיעו הצדדים להסדר טיעון ולפיו, הנאשם יחזור בו מכפירתו, כתב האישום יתוקן, הנאשם יודה בעובדות כתב האישום המתוקן ויורשע על פי הודאתו.",True,ME-13-04-35007-454
11,11,11,11,11,11,11,11,11,11,CONFESSION,"בהתאם להסדר הטיעון, הנאשם חזר בו מכפירתו, כתב האישום תוקן, התקבל וסומן ב/1 (להלן: ""כתב האישום"").",True,
12,12,12,12,12,12,12,12,12,12,CONFESSION,הנאשם הודה בעובדות כתב האישום המתוקן והורשע על פי הודאתו בעבירות כדלקמן:,True,ME-13-04-35007-454
13,13,13,13,13,13,13,13,13,13,CONFESSION,"במסגרת השלמת טיעוניה בעל פה, הדגישה המאשימה את העבירות בהן הורשע הנאשם על פי הודאתו ואת המעשים שביצע, כעולה מעובדות כתב האישום המתוקן.",True,
14,14,14,14,14,14,14,14,14,14,CONFESSION,"באשר לנזק שהיה צפוי להיגרם מביצוע העבירות, טוענת המאשימה, כי אמנם הנאשם טען, כי כל כוונתו הייתה להפחיד, אך לא ברור כיצד התכוון לעשות זאת ומן העובדות בהן הודה ניתן רק להסיק, כי שימוש בנשק הטעון היה מממש את כוונתו.",True,ME-13-04-35007-454
15,15,15,15,15,15,15,15,15,15,STATUS_WEP,"באשר לנזק שהיה צפוי להיגרם מביצוע העבירות, טוענת המאשימה, כי אמנם הנאשם טען, כי כל כוונתו הייתה להפחיד, אך לא ברור כיצד התכוון לעשות זאת ומן העובדות בהן הודה ניתן רק להסיק, כי שימוש בנשק הטעון היה מממש את כוונתו.",['נשק עם מחסנית בהכנס'],ME-13-04-35007-454
16,16,16,16,16,16,16,16,16,16,CONFESSION,"ב""כ הנאשם הדגיש עוד, כי הנאשם הודה במיוחס לו בכתב האישום המתוקן ובכך חסך זמן שיפוטי יקר.",True,ME-13-04-35007-454
17,17,17,17,17,17,17,17,17,17,CONFESSION,"זאת ועוד, הנאשם נמנע מחיי חברה שוליים וכפי העולה מתסקיר שירות המבחן, הוא ביטא כוחות תוך שמירה על גבולות, הודה במיוחס לו, לקח אחריות על המעשים והביע חרטה מלאה וכנה בשלהם.",True,ME-13-04-35007-454
18,18,18,18,18,18,18,18,18,18,CONFESSION,"כאמור, הנאשם הורשע, על פי הודאתו בעבירות נשוא כתב האישום המתוקן אשר עניינן, נשיאת נשק שלא כדין והחזקת נשק שלא כדין.",True,ME-13-04-35007-454
19,19,19,19,19,19,19,19,19,19,CONFESSION,"עיון בעובדות כתב האישום המתוקן מלמד, כי עסקינן באירוע אחד, נמשך ובעל קשר פנימי, אשר במהלכו ביצע הנאשם את המעשים נשוא כתב האישום המתוקן ואת העבירות בהן הודה ועל פיהן הורשע.",True,ME-13-04-35007-454
20,20,20,20,20,20,20,20,20,20,CONFESSION,"עוד תצוין הודאת הנאשם, לקיחת האחריות, חיסכון זמן שיפוטי יקר והעובדה, כי בהודאתו עשה הנאשם כדי לחסוך את הצורך בהעדת עדים רבים, על המשמעויות הקמות מכך.",True,ME-13-04-35007-454
21,21,21,21,21,21,21,21,21,21,CONFESSION,"בנסיבות אלו, נוכח מקבץ הנסיבות אשר אינן קשורות בביצוע העבירות ובכלל זה, האמור בליבת תסקירי שירות המבחן שהוגשו בעניינו של הנאשם, האמור בתסקיר הראשון וההמלצה המובאת בסופו, מנגד, השוני באמור בתסקירים המשלימים שהוגשו וההמלצה העדכנית המובאת בתסקיר המסכם שהוגש, כמו גם הודאת הנאשם, לקיחת האחריות, חיסכון זמן שיפוטי יקר, הצער והחרטה שהביע הנאשם בשל המעשים, נסיבותיו האישיות והמשפחתיות של הנאשם, העובדה, כי עסקינן בנאשם צעיר נעדר כל הרשעות קודמות ואשר זוהי לו עשייתו הראשונה בפלילים, באתי לכלל מסקנה, כי יש למקם את העונש הראוי לנאשם בתוך מתחם העונש ההולם שקבענו לעיל, ברף הנמוך של מתחם העונש ההולם אך לא בצד הקיצון שבו.",True,ME-13-04-35007-454
22,22,22,22,22,22,22,22,22,22,CONFESSION,"מנגד, כאמור, שמתי ליבי לנתוני העושה, לנסיבותיו האישיות, לגילו הצעיר של הנאשם, להיותו נעדר הרשעות קודמות, הודאת הנאשם, לקיחת האחריות, העולה מעדות אביו, שהיית הנאשם בתנאים מגבילים, האמור בתסקיר העדכני, שיתוף הפעולה עם שירות המבחן, ההמלצה שהובאה בסופו של התסקיר ויתר ההנמקות שפורטו לעיל.",True,ME-13-04-35007-454
23,23,23,23,23,23,23,23,23,23,CONFESSION,"מנגד, אף עמדתה העונשית של המאשימה, חורגת היא לחומרא, אינה עולה בקנה אחד עם מתחם העונש ההולם שקבענו ועם מיקום העונש הראוי לנאשם ואינה משקללת נכונה את נתוני העושה, נסיבותיו האישיות, היות הנאשם נעדר עבר פלילי, גילו הצעיר, הודאת הנאשם, הצער והחרטה שהביע בשל המעשים, כמו גם ההליך הטיפולי בו החל ליטול חלק והמלצת שירות המבחן כפי תסקירו האחרון.",True,ME-13-04-35007-454
24,24,24,24,24,24,24,24,24,24,CONFESSION,"ביום 29.1.14 הרשעתי את הנאשם על פי הודאתו ובמסגרת הסדר טיעון, בכתב אישום מתוקן בעבירה של נשיאת נשק בניגוד לסעיף 144(ב) לחוק העונשין.",True,ME-13-10-53169-537
25,25,25,25,25,25,25,25,25,25,CONFESSION,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",True,ME-13-10-53169-537
26,26,26,26,26,26,26,26,26,26,TYPE_WEP,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['אקדח'],ME-13-10-53169-537
27,27,27,27,27,27,27,27,27,27,HELD_WAY,"הנאשם הודה, כי נשא אקדח הטעון במחסנית ריקה ובכיסו האחורי נמצאו 2 כדורים התואמים לאקדח.",['נשא'],ME-13-10-53169-537
