text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ביום 27.11.22 הגיעו הצדדים להסדר לפני כבוד השופט שגיא לפיו, הנאשם הודה והורשע בעובדות כתב האישום, כשאין הסדר בין הצדדים לעניין העונש.",,,,,,,,,,
נוכח הודאתו של הנאשם הורשע במיוחס לו בכתב האישום המתוקן בעבירות הבאות:,,,,,,,,,,
"(ב)	החזקת סם שלא לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) רישא לפקודת הסמים;",,,,,,,,,,
"על פי עובדות כתב האישום הנאשם הינו בעלים במשותף עם אשתו – שולמית בוגרד - ושלמה זלמן כהן של דירת הגג, שברחוב הרב כהנמן 124 בבני ברק (להלן: ""הדירה""), מזה כשנה וחצי, ומתגורר בדירה ביחד עם אשתו ושני ילדיו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"עובר ליום 18.7.22 בתאריך, שאינו ידוע במדויק למאשימה, הקים הנאשם בדירה מעבדה לגידול והפקת סם מסוכן מסוג קנבוס (להלן: ""המעבדה"").",,,,['סוג הסמים הוא קנבוס'],,,,,,
"הנאשם צייד את המעבדה בציוד כדלקמן: 47 מנורות, 5 מזגנים, 2 מזגנים מרכזיים, 5 מזגנים ניידים, 15 מאווררים, 47 מנורות ושנאים, מפוח, משאבת מים ונורות חימום, וגידל שתילים של סם מסוכן מסוג קנבוס.",,,,"['הסוג של הסמים הוא קנבוס, כפי שמצוין בטקסט: ""וגידל שתילים של סם מסוכן מסוג קנבוס.""']",,,['כן'],,,
"לצורך הפעלת מעבדת הסמים נטל הנאשם במזיד ובמרמה חשמל שאינו זכאי לו, השתמש בו וגרם להטייתו ולבזבוז.",,,,,,,['כן'],,,
"בתאריך 18.7.2022 שעה 14:20 הנאשם גידל והפיק במעבדה בדירה כ- 347 שתילים של סם מסוכן מסוג קנבוס, במשקל כולל של 52 ק""ג נטו, שלא לצריכתו העצמית, לא היתר וללא רישיון מאת המנהל.",,,,"['סוג הסמים הוא קנבוס, או קנאביס']","['52 ק""ג (יחידה: ק""ג)']","['לא בעל המעבדה, בעל הסמים']",['לא'],,,
"במעשיו המתוארים לעיל החזיק, גידל, ייצר, הפיק והכין הנאשם סם מסוכן מסוג קנבוס, שלא לצריכתו העצמית וללא רישיון מאת המנהל, החזיק ברשותו כלים להכנת סמים מסוכנים שלא בהיתר, ונטל הנאשם חשמל שלא כדין.",,,,['סוג הסמים המוזכר בטקסט הוא קנבוס (קנאביס)'],,"['לא בעל המעבדה, בעל הסמים']",,,,
"ב""כ  המאשימה סיכמה את ההליך שהנאשם עבר וציינה כי לא כל טיפול פירושו חריגה משמעותית מהמתחם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ב""כ המאשימה טענה לעניין כתב האישום כי מדובר בתעוזה, מעבדה שהנאשם הקים בדירת מגוריו, שם ילדיו גרים, שם מקיים חיי משפחה, ומצייד אותה בציוד יקר ערך.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"ציינה כי היה  מס' לא מבוטל של מזגנים עם ציוד שנדרש למעבדה, כולל עבירה של גניבת חשמל, ומדובר על 347 שתילים ו- 52 ק""ג נטו של סם מסוג קנאביס.",,,,"['הסוג של הסמים הוא קנאביס. הטקסט מזכיר ""347 שתילים ו-52 ק""ג נטו של סם מסוג קנאביס.""']","['הכמות של הסמים היא [52 - ק""ג]']",,['לא'],,,
"ב""כ המאשימה טענה כי בשים לב לכתב האישום, העובדה שמדובר במעבדה, גניבת חשמל בנוסף לעבירת הסמים.",,,,,,,,,,
"עתרה למקם את הנאשם ברף התחתון של המתחם, בדגש על כך שהוא נעדר עבר פלילי בצירוף מאסר על-תנאי, קנס, וחילוט הציוד.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
