text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CONFESSION_LVL2,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בהתאם לעובדות כתב האישום המתוקן כא/1, בהן הודה הנאשם במסגרת הסדר טיעון, נתפס, בתאריך 15.07.18, בביתו בעיר רהט, מחזיק נשק חם מסוג תת מקלע מאולתר, בחדרו, מוסלק מתחת למיטה.",,,,['כן'],['תת מקלע מאולתר'],,,,"['בבית', 'מוסלק - מוסתר']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,,,,,
"עוד צוין בכתב האישום, כי הנשק הגיע לידי הנאשם כעשרה ימים לפני המועד בו נתפס והחזיק בו בעבור אחר, שזהותו אינה ידועה למאשימה.",,,,,,,,,,,,,,['מאחר'],,,,,,,
ההסדר לא כלל הסכמות ענשיות.,,,,,,,,,,,,,,,,,,,,,
האב סיפר זאת כי הוא כבן 50 שנה ואינו עובד.,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"בעבר, עבד כמורה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"האב מסר, כי בנו כבר שנה במעצר בית, אינו ילד בעייתי, עוזר בבית, ומעוניין להתחתן ולהקים משפחה.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"בחקירתו הנגדית, מסר, כי לא היה מודע להחזקת הנשק בביתו.",,,,,,,,,,,,,,,,,,,,,
"בחקירתו החוזרת, בתשובה לשאלה מדריכה, מסר, כי בנו סיפר שמצא את הנשק וכי אמר לו, שרצה להחזירו למשטרה.",,,,,,,,,,,,,,,,,,,,,
"הנאשם כבן 23, אינו נשוי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
טרם מעצרו עבד במשחתת עופות.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
סיים 12 שנות לימוד ואף הכשרה מקצועית בתחום המסגרות.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"תקופה מסוימת, אף עבד כמסגר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם גדל במשפחה נורמטיבית  ויציבה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם תיאר את הקשר עם משפחתו כמיטיב.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם, כי הנאשם ממוקד במחירים האישיים אשר משלם , בגין הסתבכותו ואינו פנוי לתהליכי חשיבה מעמיקים.",,,"['1 : כן', '2 : לא', '3 : כן', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עוד התרשם שירות המבחן, כי הנאשם מתקשה לקיים שיח פתוח.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם מתקשה לבחון את בחירותיו בחיים או לקיים תהליך של ביקורת עצמית.,,,,,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם מגורמי סיכון להתנהגות מרצה, העלולה להובילו להסתבכות בעבירות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"במסגרת הערכת שירות המבחן, השתלב הנאשם בקבוצה טיפולית ועבר סדנת הכנה והכוונה לטיפול.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"גם במהלך הסדנא הטיפולית, התקשה הנאשם לקיים תהליך של התבוננות פנימית או ביקורת עצמית ושירות המבחן התרשם, כי הצער והחרטה שמביע, נובעים מהמחירים שמשלם בהליך המשפטי.",,,,,,,,,,,,,,,,,,,,,
"בסיום התסקיר, המליץ שירות המבחן להמשיך שילובו של הנאשם בהליך טיפולי, תחת צו מבחן למשך שנה וכן להשית עליו עונש מאסר בפועל, שירוצה בדרך של עבודות שירות וכן עונש מאסר מותנה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בהתאם להנחיית פרקליט המדינה, טענה התביעה למתחם ענישה, אשר ינוע, בין שנתיים ועד 4 שנות מאסר בפועל, בגין החזקת נשק אוטומטית, מסוג תת מקלע.",,,,,"['תת מקלע (תמ""ק)']",,,,,,,,,,,,,,[],[],[]
"במאמר מוסגר, יצוין כי בפסקה שלאחר סעיף 10 (ח) לטיעוני המאשימה, נטען, בדבר פסקי דין, בהם נגזרו עונשים ממוצעים ברף של 15 חושדי מאסר בפועל, בגין אחזקת נשק, אך במהלך הטיעונים על-פה הבהירה התובעת המלומדה, כי פסקה זו אינה נוגעת למקרה דנן, אלא למקרים אחרים (אכן, אותה פסקה מתייחסת להחזקת אקדח) וכי עתירת התביעה היא למתחם, כפי שפורט לעיל וכפי שעולה מהנחיית פרקליט המדינה.",,,,,,,,,,,,,,,,,,,,,
"זאת, בין היתר, לאור התרשמות שירות המבחן בנוגע לסיכון הנובע מהנאשם לעתיד.",,,,,,,,,,,,,,,,,,,,,
"ההגנה, הכבירה מילים בנוגע לנסיבותיו האישיות של הנאשם ושל משפחתו, אשר, לטענתה, היא משפחה טובה ונורמטיבית, כאשר חלק מבניה שירתו בצה""ל.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"ההגנה טענה, כי בהיות הנשק שהחזיק הנאשם נשק מאולתר- המדובר בעבירה בנסיבות קלות יותר, ממקרים אחרים.",,,,,,,,,,,,,,,,,,,,,
"ההגנה טענה, בנוגע לאופן בו הגיע הנשק לידי הנאשם וכן כוונתו להשיב הנשק למשטרה.",,,,,,,,,,,,,,,,,,,,,
"החזקת נשק על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום מי שמחזיק נשק ברישיון נדרש לאפסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות שהוחזק לצורך פעילות שלילית, כמפורט לעיל.",,,,,,,,,,,,,,,,,,,,,
"זאת, כדי לבלום את שרשרת העבירות בשלב ראשוני.",,,,,,,,,,,,,,,,,,,,,
"ערעור המדינה התקבל בהסכמת הצדדים, תוך שהוחמרו עונשי המאסר שהושתו על המשיבים ל-26 ו-31 חדשי מאסר בפועל (בהתאמה).",,,,,,,,,,,,,,,,,,,,,
"בפסק הדין ע.פ. 4945/13 מדינת ישראל נ' סלימאן (פורסם במאגרים), אושר מתחם ענישה שינוע בין שנה ועד שלוש שנות מאסר, בגין החזקת כלי נשק  בודד מסוג קרל גוסטב וכן מחסנית וכדורים.",,,,,,,,,,,,,,,,,,,[],[],[]
"אף באותו מקרה, המדובר היה בצעיר, אשר ניהל אורח חיים נורמטיבי, כולל לימודים אקדמאיים בפקולטה לאדריכלות, ללא עבר פלילי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"גם באותו מקרה, המליץ שירות המבחן להסתפק בעונש מאסר בפועל לריצוי בדרך של עבודות שירות.",,,,,,,,,,,,,,,,,,,,,
"בית המשפט העליון ציין, כי ראוי לקבוע עונשים מרתיעים בגין עבירות אלה והעמיד המתחם שם בין 12 ועד 36 חדשי מאסר בפועל.",,,,,,,,,,,,,,,,,,,[],[],[]
"שם, נדון נאשם בגין עבירה של נסיון להחזקת אקדח מסוג ברטה (העבירה תוקנה לנסיון, במסגרת הסדר טעון, בשל כך שהנשק לא היה תקין), וכן תת מקלע מאולתר, כשכלי הנשק הוחזקו בביתו של הנאשם שם, לעונש מאסר בן 20 חדשים בפועל.",,,,,['תת מקלע מאולתר'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,,
"זאת, במסגרת מתחם כולל שנע בין 18 עד 42 חדשי מאסר.",,,,,,,,,,,,,,,,,,,[],[],[]
"בשבתו כבית משפט לערעורים פליליים, דחה בית המשפט המחוזי, הרכב אב""ד כב' הנשיאה ר' יפה-כץ, ערעור ההגנה על חומרת העונש, תוך שמצא, כי חרף העדר אינדיקציה על שימוש פלילי או אחר המתוכן בנשק, ועל אף נסיבותיו האישיות של המערער שם (צעיר ללא עבר פלילי) – הרי הנסיבות האישיות ואינטרס השיקום, נדחים מפני האינטרס הציבורי של מיגור עבירות מסוג זה.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מבחינת מדרג החומרה, הוצבה החזקה של רובה סער או תת מקלע – ברמה אחת לפני הרמה החמורה ביותר ואילו אחזקת נשק קצר - אקדח - ברמה נמוכה יותר.",,,,,"['אקדח סוג הנשק המדובר הוא אקדח, כיוון שהוא מוזכר כרמה הנמוכה ביותר במדרג החומרה, מתחת לרובה סער או תת-מקל']",,,,,,,,,,,,,,,,
"לנוכח הפסיקה, שפורטה באותה הנחיה, הונחתה התביעה הכללית לטעון למתחם שינוע בין שנתיים עד ארבע שנות מאסר בפועל בגין כל עבירה בודדת של החזקת רובה או תת מקלע; בין שנה לשלוש שנים בגין אחזקת נשק קצר מסוג אקדח; 6 חדשי מאסר בפועל, לריצוי בדרך של עבודות שירות, עד 6 חדשי מאסר בפועל ממש בגין אחזקת תחמושת.",,,,,,,,,,,,,,,,,,,[],[],[]
"חלק מהגורמים לכך, הוא הנגישות הרבה לכלי נשק, ובין היתר – כלי נשק מאולתרים, כדוגמת תת המקלע שנתפס במקרה דנן, המיוצרים על ידי מדפסות תלת מימדיות או במחרטות פרטיות.",,,,,['תת מקלע מאולתר'],,,,,,,,,,,,,,,,
"לאור כל האמור, מוצא בית המשפט לקבוע מתחם ענישה, בכל הנוגע לאחזקת נשק אוטומטי מסוג רובה סער או תת מקלע – בין שנה ומחצה ועד שלוש שנות מאסר בפועל.",,,,,,,,,,,,,,,,,,,[],[],[]
לחובת הנאשם דנן אין הרשעות קודמות.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
"על פי האמור בכתב האישום, החזיק בנשק לתקופה שאינה ארוכה ואף נרשם, כעובדה מוסכמת,  כי החזיקו בעבור אחר.",,,,,,[],,,,,,,,,,,,,,,
"ודוק: במקרה דנן הוחזק הנשק, על פי המפורט בכתב האישום המתוקן, תחת מיטתו של הנאשם – כלומר היה נגיש לשימוש מידי ובכך – יש לראות נסיבה לחומרה.",,,,,,,,,,,,[],,,,,,,,,
"הוסף לאמור, הנשק הוחזק בבית מגורים, בו נוכחים אחרים, כולל ילדים.",,,,,,,,,,,,,,[],,,,,,,
ההיפך הוא הנכון: הנאשם גדל במשפחה נורמטיבית; התסקיר אינו מלמד על בעיות כלכליות; אין עדות להתמכרות כלשהי או למצב אישי הטעון טיפול או שיקום.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן אף מצא לציין, כי לאור מאפייניו של הנאשם, נשקף ממנו סיכון להתנהגות עוברת חוק לעתיד.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
