text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP
"בו ,29 נשוי ואב לילד בו 5 ובבעלותו חנות פלאפל בה הוא עובד מזה כשבע שנים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"עוד עולה מתסקיר שירות המבחו, כי הנאשם פעיל חברתית בעיר עכו וידוע   4",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"כמו כו, שותף הנאשם בפרויקטים לטובת הנוער  5",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
במסגרת עיריית עכו ומתנדב פעיל בשבט הצופים במועדוו האורתודוקסי משנת   6,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
2007 כמדריד קבוצה המונה 20 בוגרים.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
שירות המבחו קיבל לידיו המלצות בעניינו  7,,,,,,,,,,,,,,,,,,
"של הנאשם, בהו נכתב: ""מר סלים בלט ביכולת ההקשבה ופתרוו בעיות של חברי   8",,,,,,,,,,,,,,,,,,
"השבט וכמודל חיקוי בהתנהגותו ובגישתו הרגועה והמקובלת לאנשים."" בהמלצה  9",,,,,,,,,,,,,,,,,,
".6    ביחס לעבירה נשוא כתב האישום, התרשם שירות המבחו, כי הנאשם לוקח אחריות   12",,,,,['לא'],,,,,,,,,,,,,
האקדח בשנת 2005 והחביא אותו בחצר ביתו הממוקם בעכו העתיקה.,,,,,,,['אקדח'],,,,"['מוסלק - מוסתר', 'סמוך לבית']",,,,,[],,
ידע ליתו הסבר המניח את הדעת באשר למטרת רכישת האקדח.,,,,,,,['אקדח'],,,,,,,,,,,
"העריד בתסקיר, כי ייתכו והאקדח נרכש על ידי הנאשם בכדי לקבל הכרה חברתית  16",,,,,,,,,,,,,,,,,,
באוכלוסייה הלא נורמטיבית אליה השתייד בתקופת ביצוע העבירה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
".7    שירות המבחו הביע בתסקיר התרשמות, כי עסקינו בבחור שגדל במשפחה   19",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"שהתאפיינה בהיעדרות ההורים מהבית, מפאת עבודתם, דבר שמנע מילדיהם   20",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
תמיכה רגשית והכוונה הורית.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"שירות המבחו התרשם כי, מחד, מדובר  בנאשם   21",,,,,,,,,,,,,,,,,,
שהינו בחור אחראי העובד ומפרנס את בני משפחתו ותורם כלכלית ומתנדב   22,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"חברתית בקהילה, ומאידד, מדובר בנאשם בעל יכולת נמוכה לוויסות דחפים ובעל  23",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"רצוו עז למצוא חו ולקבל הכרה חברתית, דבר אשר הוביל אותו להתחבר בתקופה  24",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
מסוימת בחייו לחברה עבריינית.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בחייו, ולאור המוטיבציה של הנאשם לקחת חלק בהליד טיפולי, כמו גם האחריות   28",,,,,['לא'],,,,,,,,,,,,,
"שקיבל לביצוע העבירה, המליץ שירות המבחו להטיל על הנאשם עונש מאסר   29",,,,,,,,,,,,,,,,,,
