text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בתקופה שבין 20.2.2022-17.4.2022 מכר הנאשם לסוכן בשתי הזדמנויות סם מסוכן מסוג קוקאין כמפורט להלן: באחת מן ההזדמנויות, שוחח הנאשם עם הסוכן והציע לו לרכוש ממנו קוקאין במשקל של 50 גרם בתמורה ל-230 ₪ לגרם.",,,,['סוג הסמים הוא קוקאין'],['50 - גרם'],,,,,
בעקבות כך התקשר הסוכן לנאשם וביקש לרכוש ממנו 50 גרם קוקאין והנאשם השיב שיבדוק ויחזור אליו.,,,,['סוג הסמים הוא קוקאין'],['50 - גרם'],,,,,
"שם, הוציא הנאשם מהמדפים ניילון נצמד בתוכו מוסלק קוקאין במשקל של 47.35 גרם נטו והעבירו לסוכן.",,,,['הסוג של הסמים הוא קוקאין'],['47.35 גרם נטו'],,,,,
"לאחר מכן, בהזדמנות נוספת, התקשר הסוכן לנאשם וביקש לקנות ממנו 50 גרם קוקאין.",,,,['סוג הסמים הוא קוקאין'],['50 - גרם'],,,,,
"שם, הוציא הנאשם מאחד המדפים כפפה בתוכה הוסלק קוקאין במשקל של 49.3859 גרם נטו, והעבירה לסוכן.",,,,['הסוג של הסמים הוא קוקאין'],['49.3859 גרם נטו'],,,,,
"בתמורה העביר הסוכן לנאשם סך של 12,000 ₪ במזומן.",,,,,,,,,,
"לצד זאת צוין כי בסופו של יום ובאיחור, פנה הנאשם לשירות המבחן ושיתף כי התקשה לגייס כוחות להגיע למפגשים, אך הביע רצון לשתף פעולה ומסר שיעשה כל שיידרש ממנו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"בתסקיר פורטו נסיבות חייו של הנאשם, ביניהן מות שני אחיו בתאונת דרכים בשנת 2013, אירוע טראומטי לכל משפחתו.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"הנאשם מסר כי בעקבות כך לווה על ידי עובדת סוציאלית, ביצע מספר ניסיונות אובדניים, שולב בטיפול פסיכיאטרי וטופל תרופתית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"לדבריו טופל תרופתית והיה בפיקוח גם בתקופת מעצרו, אך נכון למועד עריכת התסקיר אינו בקשר עם גורמי טיפול בתחום בריאות הנפש.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
צוין כי לדברי הנאשם פנה לטיפול פסיכיאטרי ונמצא ברשימת המתנה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עוד צוין שימוש ספורדי בסמים מסוג קנאביס, שהתחיל סמוך לפטירת אחיו, וכיום השימוש מיועד להקלה בכאבים מהם סובל בעקבות תאונת דרכים בה היה מעורב לפני מספר שנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,['סוג הסמים המוזכר בטקסט הוא קנאביס'],,,,,,
"בתסקיר פורט כי הנאשם מוכר לשירות המבחן מתיק המעצר הקשור, אז ההתרשמות הייתה שגדל במסגרת משפחתית שהתקשתה להיות קשובה לצרכיו השונים בעקבות האירוע המשברי של מות אחיו.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"כמו כן צוינה חשיפתו לאוכלוסייה שולית ועבריינית במסגרתה אימץ התנהלות שולית אשר כללה גם צריכת חומרים ממכרים, ועלה הרושם כי לנאשם דפוסים אימפולסיביים וקושי בהפנמת גבולות חיצוניים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"להתרשמות שירות המבחן הנאשם מחזיק בעמדה קורבנית, אך הצליח להתייחס לדרכי פעולה אלטרנטיביות בהן יכול היה לפעול, ודיווח כי ניתק את קשריו השוליים וכיום עובד במסעדה בבעלות גיסו בטירה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
הנאשם שלל צורך בטיפול בתחום העבריינות ולתפיסתו אינו נמצא בסיכון להישנות ביצוע עבירות.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"בנוסף, התייחס לקשייו הכלכליים והרגשיים והביע רצון לטיפול פסיכיאטרי באופן פרטני כאמור.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"להערכת שירות המבחן, הנאשם, שהוא ללא עבר פלילי, הוא בחור צעיר שחווה לאורך חייו חוויות קשות ומורכבות שלא עובדו באופן מיטבי ומשפיעות על התנהלותו כיום, ומשקיע את מרבית כוחותיו בהישרדות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"כגורמים מגבירי סיכוי לשיקום צוינו שאיפותיו של הנאשם לנהל אורח חיים נורמטיבי, השתלבותו לאחרונה בעבודה, והבעת הרצון מצדו להשתלב בטיפול בתחום בריאות הנפש.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"עם זאת הומלץ כי בעת קביעת עונשו של הנאשם יילקחו בחשבון, בין היתר, התמודדויותיו בתחום בריאות הנפש, בתחום הכלכלי, והיותו מפרנס עיקרי של משפחתו.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"גב' מאידה חסונה, אימו של הנאשם שיתפה אודות מותם של שני בניה בתאונת דרכים.",,,,,,,,,,
לבסוף שיתפה כי היא מתנדבת בבתי חולים לילדים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"מר פארס חסונה, אחיו של הנאשם מסר כי לאחר התאונה ומות אחיו כל המשפחה התפרקה, העסק המשפחתי נמכר והנאשם והוא החלו לעבוד בשל חובות כספיים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
מר חסונה ציין חובות של הנאשם לשוק האפור וביקש כי אתחשב ואקל עמו.,,,,,,,,,,
"מר מחמיד יוסף, הנשוי לאחותו של הנאשם שיתף כי בעברו הרשעה בעבירה דומה לזו בגינה הורשע הנאשם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
