,case,text,reject,reject-predicted,CONFESSION-predicted,CIRCUM_OFFENSE-predicted,GENERAL_CIRCUM-predicted,PUNISHMENT-predicted,CIR_AMMU_AMOUNT_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,CIR_PLANNING-predicted,CIR_PURPOSE-predicted,CIR_STATUS_WEP-predicted,CIR_TYPE_WEP-predicted,CIR_USE-predicted,CONFESSION_LVL2-predicted,REGRET-predicted,RESPO-predicted
0,,"ע""י ב""כ עוה""ד אבירי – פמ""מ",,0.9999954700469971,,,,,,,,,,,,,,,
1,,"ע""י ב""כ עוה""ד פורר",,0.9999954700469971,,,,,,,,,,,,,,,
2,,"חוק העונשין, תשל""ז-1977: סע'  40ד(א), 144(א), 40יא",,0.9999954700469971,,,,,,,,,,,,,,,
3,,"ביום 11.5.12 בעיר רחובות, החזיק הנאשם ברכבו את הפריטים הבאים:",,2.2444233763962984e-05,0.000743663520552218,0.9999580383300781,2.758878872555215e-05,0.007874522358179092,0.4293661415576935,,0.9959855675697327,0.6754493117332458,0.010772430337965488,0.0036218729801476,2.6110663384315558e-05,0.050296880304813385,,,
4,,"במסגרת הסדר הטיעון, עתרה התביעה להשית על הנאשם עונש מאסר בפועל בן 7 חודשים, מאסר על תנאי וקנס משמעותי.",,0.9999954700469971,,,,,,,,,,,,,,,
5,,"הסנגור היה רשאי לטעון לעונש באורח חופשי ועתר להסתפק בעבודות של""צ.",,0.9999954700469971,,,,,,,,,,,,,,,
6,,"הוא אישר, כי לא שקל באורח ראוי את האלטרנטיבות הלגיטימיות בהשגת כלי הנשק, מחמת המתח הגבוה בו היה שרוי, לצד אובדן בתו.",,0.9999954700469971,,,,,,,,,,,,,,,
7,,"כל אלו דרדרו אותו לצריכת סמים, הגם שבדיקת שתן שמסר ביום 18.12.12 נמצאה נקיה.",,0.9999954700469971,,,,,,,,,,,,,,,
8,,"שירות המבחן המליץ על טיפול פרטני שיסייע לנאשם להבין את המאפיינים האישיותיים שהובילו אותו לביצוע העבירה, חרף הסכנה הנשקפת לו.",,0.9999954700469971,,,,,,,,,,,,,,,
9,,"סופו של יום, המליץ שירות המבחן על השמת הנאשם בפיקוח משך שנה לצד עבודות של""צ בהיקף של 300 שעות על פי תכנית שהוכנה עבורו.",,0.9999954700469971,,,,,,,,,,,,,,,
10,,"דא עקא, קצין המבחן שינה את טעמו, כאשר בסיום התסקיר ציין, כי העונש ההולם שראוי להטיל על הנאשם הוא מאסר שירוצה בעבודות שירות, באמצעותו הנאשם יישא באחריות למצב אליו נקלע והשלכותיו.",,2.4754685000516474e-05,0.001311842817813158,7.097661728039384e-05,3.0052384317968972e-05,0.00858036894351244,,,,,,,,,,,
11,,"לשיטת ב""כ המאשימה, עוה""ד רעות אבירי, עמדת המאשימה ל- 7 חודשי מאסר הינה עמדה מקלה המגלמת בתוכה את הנסיבות יוצאות הדופן ואין לחרוג ממנה לקולא.",,0.9999954700469971,,,,,,,,,,,,,,,
12,,"ב""כ המאשימה הטעימה את חומרת עבירות הנשק והסיכון הטמון בהן לחיי אדם, אף מקום בו הנשק מוחזק לשם הגנה עצמית.",,2.181589115934912e-05,0.0022261496633291245,0.09698719531297684,2.9583148716483265e-05,0.007545094471424818,,,,,,,,,,,
13,,"כן הטעימה את ההלכה, לפיה בעבירות נשק נסוגות נסיבותיו האישיות של הנאשם מפני עקרונות הגמול והענישה.",,0.9999954700469971,,,,,,,,,,,,,,,
14,,"התובעת הפנתה לפסיקה בנסיבות דומות, התומכת בגישתה והטעימה כי בנסיבות אחרות, היה מקום להשית על הנאשם עונש מאסר ממושך, כך בהתאם לענישה הנוהגת בעבירות נשק.",,0.9999954700469971,,,,,,,,,,,,,,,
15,,"סופו של יום, גרסה התובעת, כי אין לקבל את המלצת שירות המבחן לעבודות שירות, בהיותה ממוקדת בצרכי הנאשם ומפליגה בקולתה.",,0.9999954700469971,,,,,,,,,,,,,,,
16,,"ענישה מקלה מ-7 חודשי מאסר כמבוקש, תחטא לאינטרס הציבורי ותעודד עשיית דין עצמי, כך גבי דידה.",,0.9999954700469971,,,,,,,,,,,,,,,
17,,"ב""כ הנאשם, עוה""ד פורר, סבר מנגד כי יש להשית על הנאשם צו מבחן כפי שהמליץ שירות המבחן לצד של""צ (בניגוד לתסקיר, הממליץ על עבודות שירות).",,0.9999954700469971,,,,,,,,,,,,,,,
18,,"בנסיבות אלו, ומבלי להקל ראש בעבירה, פעל הנאשם מתוך חוסר אונים, היעדר יכולת להגן על עצמו ועל משפחתו, במיוחד לאחר שנדחתה בקשתו לקבל רישיון נשק כדין.",,0.9999953508377075,,,,,,,,,,,,,,,
19,,"הסנגור הטעים, כי לו היה מוגש כתב האישום מלכתחילה בגין עבירה של החזקת נשק (בשונה מנשיאת נשק, כפי שהוגש במקור), הרי שהיה נדון בפני בית משפט השלום, והעונש שנגזר על הנאשם היה בהתאם.",,0.9999954700469971,,,,,,,,,,,,,,,
20,,"לבסוף, הביע הסנגור את הסתייגותו מהמלצת שירות המבחן, אשר שינה את טעמו כאשר המליץ על עבודות שירות תחת של""צ.",,0.9999954700469971,,,,,,,,,,,,,,,
21,,"הסנגור הטעים כי לא היה מקום לעשות כן, קל וחומר מבלי לנמק את השינוי בהמלצה, זאת על רקע הנסיבות המיוחדות ויוצאות הדופן של האירוע, המצדיקות חריגה ממדיניות הענישה.",,0.9999954700469971,,,,,,,,,,,,,,,
22,,"הסנגור הדגיש, כי עבודות שירות תפגענה בעבודתו של הנאשם.",,0.9999954700469971,,,,,,,,,,,,,,,
23,,"הוא הדגיש כי המעשה בוצע מתוך פחד, לאחר שאיבד את בתו ובהמשך קיבל את הידיעה כי בנו נפגע בירי.",,2.2281683413893916e-05,0.0009759122622199357,0.9999954700469971,3.362403731443919e-05,0.009864138439297676,0.8127214908599854,,0.9888985753059387,0.5473201870918274,0.9929947257041931,0.9899595975875854,2.7998605219181627e-05,0.9761388301849365,,,
24,,"כיום, מסר כי הוא ממוקד בחזרה לחיים נורמטיביים.",,0.059815820306539536,0.0008000154048204422,6.606739043490961e-05,0.9998379945755005,0.01010965183377266,,,,,,,,,,,
25,,"לדבריו, קצין המבחן מסר לו את המלצתו לשל""צ  וככל הנראה, לאחר התייעצות, חזר בו ומסר שימליץ על עבודות שירות.",,0.9999954700469971,,,,,,,,,,,,,,,
26,,הנאשם עמד אף הוא על הקושי שבשילוב עבודתו עם עבודות שירות.,,0.9999954700469971,,,,,,,,,,,,,,,
27,,"עבירות הנשק ידועות בחומרתן, על רקע הסיכון הטמון בהן לחיי אדם, קל וחומר על רקע ההסלמה שחלה בעבירות נשק בשנים האחרונות וזמינותם של כלי הנשק, הפוגעים בתחושת ביטחונם של אזרחים תמימים.",,0.9999954700469971,,,,,,,,,,,,,,,
28,,"ואולם, אף לכללים הנהוגים קיימים חריגים; בעניינו, המאשימה ציינה בהגינותה כי המקרה דנן אינו מקרה ""רגיל"" של החזקת נשק.",,0.9999954700469971,,,,,,,,,,,,,,,
29,,"תיקון 113 לחוק העונשין (הבניית שיקול הדעת השיפוטי בענישה) (להלן: ""תיקון 113"") קובע כי בקביעת מתחם הענישה ההולם לעבירה, על בית המשפט ליתן דעתו לנסיבות ביצוע העבירה ובין היתר, לסיבות בעטיין נעברה, לנזק שנגרם מביצועה ולנסיבות נוספות ככל שיימצאו רלוונטיות.",,0.9999954700469971,,,,,,,,,,,,,,,
30,,"זאת ועוד, בחוות דעת הממונה על עבודות שרות מיום 17.2.13 קבע הממונה כי הנאשם אינו מתאים לעבודות שרות וזאת על בסיס חוות דעת מודיעין ממשטרת ישראל אשר קבעה כי קיימת ""מסוכנות כלפיו"" ללמדך כי הסכנה טרם חלפה.",,0.9999954700469971,,,,,,,,,,,,,,,
31,,"יש להבחין בין החזקת נשק שנועדה לגרום רעה לאחר, לצורך נקמה למשל, לבין מצב בו הנשק מוחזק במטרה לקדם את פני הרעה, כפי שנעשה בענייננו.",,0.9999953508377075,,,,,,,,,,,,,,,
32,,"הגם שאין בנסיבות המתוארות כדי להכשיר את מעשה העבירה, הרי שהן מקהות מחומרתו.",,0.9999953508377075,,,,,,,,,,,,,,,
33,,"(לעניין היותה של עבירת החזקת נשק לשם הגנה עצמית במדרג הנמוך יחסית של החומרה ר' ב""ש 625/82 אבו מוך נ' מדינת ישראל, פ""ד לז(3), 668).",,0.9999954700469971,,,,,,,,,,,,,,,
34,,מלאכת הענישה לעולם הינה אינדיבידואלית.,,0.9999953508377075,,,,,,,,,,,,,,,
35,,"תפיסה זו מצאה עיגון גם בתיקון 113 בסעיף 40יא הקובע כי בגזירת העונש ההולם לנאשם, יתחשב בית המשפט בנסיבותיו האישיות (""נסיבות שאינן קשורות בביצוע העבירה"") וכן בסעיף 40ד(א) הקובע כי במקרים חריגים, ניתן לסטות ממתחם הענישה ההולם לעבירה ולקבוע את העונש על פי שיקולי השיקום.",,0.9999954700469971,,,,,,,,,,,,,,,
36,,"שירות המבחן התרשם באורח חיובי מהנאשם והמליץ להטיל עליו צו מבחן אשר באמצעותו, יעבור טיפול שיסייע לו בעיבוד קשייו, ברכישת כלים להתמודדות עמם ובהפקת לקחים.",,0.9999954700469971,,,,,,,,,,,,,,,
37,,"עוד מצא שירות המבחן, כי להליך הפלילי השפעה הרתעתית על הנאשם.",,0.9999954700469971,,,,,,,,,,,,,,,
38,,"בנסיבות שתוארו, על פני הדברים, מאסר שירוצה בעבודות שרות היה מקיים באורח ראוי את האיזון בין כלל האינטרסים, אולם משנמצא הנאשם בלתי מתאים לעבודות שרות בשל סכנה הנשקפת לו מאחרים – סבורני כי אין להמיר את עבודות השרות במאסר בפועל, אשר יחמיר עם הנאשם יתר על המידה, על לא עוול בכפו.",,0.9999954700469971,,,,,,,,,,,,,,,
39,,"העונש הראוי אפוא הוא הטלת עבודות של""צ.",,0.9999954700469971,,,,,,,,,,,,,,,
40,,אף אם יש בו משום הקלה של ממש.,,0.9999954700469971,,,,,,,,,,,,,,,
41,,"אשר על כן, ולאחר שנתתי דעתי לנסיבות לחומרה ולקולה, אני גוזרת על הנאשם את העונשים הבאים:",,0.9999955892562866,,,,,,,,,,,,,,,
42,,עם גיבושה יחל הנאשם בביצוע העבודות ללא צורך בהחלטה שיפוטית נוספת.,,0.9999954700469971,,,,,,,,,,,,,,,
43,,הנאשם יהיה תחת פיקוח שירות המבחן למשך שנה.,,0.9999954700469971,,,,,,,,,,,,,,,
44,,546783135129371זכות ערעור לבית המשפט העליון תוך 45 יום.,,0.9999954700469971,,,,,,,,,,,,,,,
45,,"54678313ניתן היום,  י""ח אדר, 28 פברואר 2013, במעמד הנאשם וב""כ הצדדים.",,0.9999954700469971,,,,,,,,,,,,,,,
46,,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,,0.9999954700469971,,,,,,,,,,,,,,,
47,,"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",,0.9999954700469971,,,,,,,,,,,,,,,
48,,"בשם הנאשם: בעצמו וע""י ב""כ עו""ד רוני נוג'ידאת",,0.9999954700469971,,,,,,,,,,,,,,,
49,,"חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב)",,0.9999955892562866,,,,,,,,,,,,,,,
50,,"* בית המשפט השית על הנאשם – ""בגיר צעיר"" בעת ביצוע העבירה שעניינה נשיאת והחזקת נשק, עונש של מאסר בפועל במשך 9 חודשים.",,2.2507419998873957e-05,0.0009227655827999115,6.913713150424883e-05,0.9998644590377808,0.9959844350814819,,,,,,,,,,,
