text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"במסגרת הקשר נשלחו מבלגיה לישראל 4 חבילות סמים - אחת עם סם מסוכן מסוג מתילמטאקתינון במשקל 994 גרם, ושלוש עם סם מסוכן מסוג קטמין במשקלים של 996 גרם, 991 גרם ו- 938 גרם.",,,,"['הסוג הוא [מתילמטאקתינון], [קטמין]']","['[100 - גרם], [2 - קילוגרם], [3 - ליטר]']","['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"בנוסף, נמצא שהנאשם החזיק בדירה אחרת, אותה שכר, סם מסוכן מסוג מתילמטאקתינון במשקל של 3.7 גרם.",,,,['הסוג הוא [מתילמטאקתינון]'],['[3.7 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"במסגרת ההסדר בין הצדדים התביעה הגישה כתב אישום מתוקן והנאשם הודה בעובדותיו, שאלה הם עיקריהן:",,,,,,,,,,,,,,
"במסגרת הקשר, האחר או מי מטעמו שלח בדואר, מבלגיה לישראל, חבילה שנשלחה לכתובת מסוימת באילת ומוענה ל""הדס אור"" אך בפועל יועדה לנאשם, ובה שלוש אריזות פלסטיק שהכילו סם מסוג מתילמטאקתינון במשקל כולל של 994.44 גרם.",,,,['הסוג הוא [מתילמטאקתינון]'],['[3 - גרם]'],['לא בעל הסמים'],,,,,,,,
"החבילה נבדקה על ידי רשויות המכס שגילו את הסמים והועברה למשטרת ישראל, ובהמשך המשטרה הוציאה את הסמים מהחבילה והשאירה בה שקית אחת שהכילה 47.88 גרם מתילמטאקתינון.",,,,,,,,,,,,,,
"בנוסף, הנאשם החזיק בחדרו שקיות ניילון קטנות ושלושה משקלים דיגיטליים, שהם כלים לייצור ואריזת הסמים.",,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"על יסוד הודאת הנאשם בעובדות כתב האישום המתוקן, הנאשם הורשע בעבירה של יבוא סמים מסוכנים, לפי סעיף 13 בפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",,,,,,,,,,['כן'],,,,
"שירות המבחן ערך מספר תסקירים על הנאשם, בהם צוינו בין היתר הדברים הבאים - הנאשם בן 27, רווק.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
ללא עבר פלילי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
טרם מעצרו עבד כמשלוחן והתגורר בדירה שכורה עם בת זוגו באילת.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
סיים 12 שנות לימוד.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בהמשך קיבל אישור לקנביס רפואי.,,,,,,,,,,,,,,
לא גויס לצבא על רקע תת משקל.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בגיל 19 למד קורס טבחות והשתלב בעבודה במטבחים בבתי מלון.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בשנים האחרונות הוא עובד מהבית בתחום התכנות ובמקביל עובד כמשלוחן מזון.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
משפחתו תוארה כנורמטיבית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
במסגרת תסקיר המעצר הנאשם תיאר שימוש בסמים מגיל 14.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
בשנים האחרונות העמיק את התמכרותו וצרך קוקאין וקטמין באופן יומיומי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
גורמי הטיפול בקהילה דווח שהנאשם משתף פעולה כנדרש ומבטא מוטיבציה להמשיך בטיפול.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
