text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE,CONFESSION_LVL2
"הנאשם הורשע במסגרת הסדר טיעון, על-פי הודאתו בכתב האישום המתוקן בעבירה של החזקת נשק שלא כדין לפי סעיף 144(א) לחוק העונשין התשל""ז-1977, שעניינה בכך שהנאשם החזיק בארון הבגדים בביתו באקדח אוטומטי בקוטר 9 מ""מ.",,,,['כן'],"['אקדח סוג הנשק המוזכר בתיאור הוא אקדח אוטומטי בקוטר 9 מ""מ, שזהו סוג של אקדח']",,,,['בבית'],,,,,[],,,,,,,
"הצדדים הגיעו, בדיון מיום 24.5.16, להסדר טיעון במסגרתו הוגבלה המאשימה לעתירה ל-12 חודשי מאסר בפועל, מאסר על תנאי וקנס, תוך שהוסכם כי ההגנה תטען באופן פתוח.",,,,,,,,,,,,,,,,,[],['הנאשם קיבל 12 חודשי מאסר בפועל אין מידע על מאסר על תנאי בטקסט'],[],,
"מהתסקיר עולה כי הנאשם, צעיר בן 21, אב לשני ילדים, עובד בעבודות טיח בעסק משפחתי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם טען לפני שירות המבחן כי עובר למעצרו החל בהליכי גיוס לצה""ל, ואולם לא גויס בשל ההליך הפלילי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מהתסקיר עולה כי הנאשם מסר גרסה מטשטשת בפני שירות המבחן, לפיה מצא את האקדח בוואדי והתעתד למסור אותו למשטרה, אך בסוף לא עשה כן, והכחיש כוונה לפגוע באנשים אחרים.",,,,,,[],,,,,,[],,['מצא'],,,,,,,
"שירות המבחן ציין כי הנאשם השתתף באופן סדיר בקבוצה טיפולית המיועדת לעצורי בית, והתקשה לבחון חלקים מכשילים בתפקודו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם כי הנאשם שיתף באופן חלקי בקורותיו, תוך הצנעת אלמנטים שנתפסו על-ידו כשליליים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם כי בשלב זה של חייו הנאשם מתקשה לבחון כשלים בהתנהגותו באופן ביקורתי, וכי נראה כי במצבי דחק הנאשם מתקשה להפעיל שיקול דעת ופועל באימפולסיביות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
שירות המבחן התרשם מאי-בהירות ביחס להתנהלות הנאשם בקשר עם אחרים בסביבתו הטבעית.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מנגד התרשם שירות המבחן כי מעצרו והמחירים הנלווים מהווים עבור הנאשם גורמים הרתעתיים, תוך ששירות המבחן עמד על נכונות הנאשם לשתף פעולה בקשר עם שירות המבחן, כמו גם על הגעתו הסדירה למפגשים והחרטה שהביע.",,,,,,,,,,,,,,,,,,,,,
שירות המבחן בסופו של יום עמד על העובדה כי הנאשם התקשה לבחון כשלים בהתנהגותו ולבחון לעומק את הנסיבות שהביאוהו להחזיק בנשק.,,,,,,,,,,,,,,,,,,,,,
בסופו של יום המליץ שירות המבחן להטיל על הנאשם מאסר בפועל שירוצה בדרך של עבודות שירות.,,,,,,,,,,,,,,,,,,,,,
"המאשימה עתרה לכיבוד הסדר הטיעון ואולם לאחר שהפנתה לפסיקה הנוהגת טענה כי העונש לו היא עותרת במסגרת הסדר הטיעון (12 חודשי מאסר בפועל), מצוי ברף התחתון של המתחם, ואין מקום להשית עונש נמוך יותר, תוך שלשיטתה על מתחם העונש ההולם לנוע בין 12 חודשי מאסר בפועל לבין 24 חודשי מאסר בפועל.",,,,,,,,,,,,,,,,,[],[],[],,
"בא-כוח הנאשם, בטיעוניו בכתב, הפנה לפסיקה בה הושתו עונשי מאסר בדרך של עבודות שירות, עמד על נסיבותיו האישיות של הנאשם, וטען כי על מתחם העונש ההולם לנוע בין מספר חודשי מאסר לריצוי בדרך של עבודות שירות לבין עשרה חודשי מאסר בפועל, תוך שבתוך המתחם ביקש לעמוד על הטיפול שעבר הנאשם, שיתוף הפעולה עם שירות המבחן, הזמן שחלף, ופרק הזמן ששהה במעצר.",,,,,,,,,,,,,,,,,,,,,
"בהינתן גילו הצעיר של הנאשם והעדר עבר פלילי כמו גם בשים לב לנסיבות ביצוע העבירה כנלמד מכתב האישום המתוקן, סבורני כי הסדר הטיעון סביר ויש מקום לאמצו.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
בנוסף הנשק עלול להתגלגל לידיים אחרות ולהקים סיכון ממשי.,,,,,,,,,,,,,,,,,,,,,
"הגם כך וכ""כלל אצבע"" ניתן לומר כי בעבירות שעניינן החזקה ונשיאת נשק, העונש על דרך הכלל הינו מאסר בפועל, שתחילתו מספר חודשים ויכול ויגיע לכדי שנה וחצי ויותר בגין כל עבירה.",,,,,,,,,,,,,,,,,[],[],[],,
"בעבירות אלו בית המשפט שת לבו בין היתר לסוג האמל""ח, כמותו, האם הנשק נמצא טעון ומוכן לפעולה אם לאו, מטרת ההחזקה, האם נעשה בו שימוש לרבות עבירות פליליות נלוות, משך החזקת הנשק  אופן החזקתו וכן יתר הנסיבות האופפות את האירוע.",,,,,,,,,,,,,,,,,,,,,
