text,Unnamed: 0,PUNISHMENT,GENERAL_CIRCUM,reject,REGRET,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_PLANNING,CIR_HELD_WAY,CIR_VALUE,RESPO,CONFESSION,CIR_PURPOSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע על פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בשורה של עבירות כדלקמן: ייצור הכנה והפקה של סם מסוכן (8 עבירות), החזקת סם מסוכן שלא לצריכה עצמית (8 עבירות), החזקת כלים (8 עבירות), נטילת חשמל, קבלת דבר במרמה בנסיבות מחמירות (8 עבירות), התחזות כאדם אחר (8 עבירות), שימוש במסמך מזויף (7 עבירות).",6,,,,,,,,,,,,,,,,
"על פי כתב האישום לפיו הורשע הנאשם, על מנת לאפשר את ייצור הסם והפקתו, הוא פעל בדרכי מרמה, תוך זיוף מסמכים, לשכור דירות שונות.",7,,,,,,,,,,,,,,,,
"הנאשם נטל חלק בשורה של אירועים מתוכננים היטב, במסגרתה, החבורה, לה היה שותף, קשרה קשר להקים מעבדות לגידול סם מסוג קנבוס בדירות שכורות.",9,,,,,"['הסוג של הסמים הוא קנבוס, או מריחואנה']",,,,,,,,,,,
"עם זאת, יש להביא בחשבון את העובדה כי גודל סם מסוג קנבוס, אשר פגיעתו בבריאות מצומצמת יותר.",12,,,,,,,,,,,,,,,,
"הנאשם הורשע על פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בשורה של עבירות כדלקמן:",15,,,,,,,,,,,,,,,,
"החזקת סם מסוכן שלא לצריכה עצמית (8 עבירות) - לפי סעיפים 7(א)+(ג) רישא לפקודה הנ""ל.",17,,,,,,,,,,,,,,,,
"במסגרתם, כחלק מקשר אותו קשר הנאשם עם אחרים, עובר לינואר 2022, הנאשם שכר שמונה דירות שונות, תוך שהוא מציג עצמו במרמה כאדם אחר, מציג תעודת זהות מזויפת, מוסר שיקים הנחזים להיות של אותו אחר, והכל במטרה להקים בדירות מעבדות לייצור סם מסוכן מסוג קנבוס, ללא היתר ושלא לצריכה עצמית.",24,,,,,['הסוג של הסמים הוא קנבוס'],,,,,,,,,,,
"לאחר שכירת הדירות ובמסגרת מימוש הקשר, פעל הנאשם ביחד עם חלק מהקושרים האחרים לצייד את הדירות בכלים שונים לצורך גידול הסם והחזקתו, זאת ללא היתר או רישיון.",26,,,,,,,"['הנאשם לא מוזכר כבעל המעבדה, אלא כמי שפעל יחד עם אחרים לצייד את הדירות בכלים שו']",,,,,,,,,
"הנאשם פעל כאמור בין ינואר 2022 לבין אפריל 2023, כאשר במסגרת מימוש הקשר, בדירות שהוכשרו כאמור, ביחד עם אחרים, גידל, ייצר, הפיק, הכין והחזיק סם מסוכן מסוג קנבוס, וכן החזיק כלים המשמשים להכנה ולגידול הסם.",27,,,,,['הסוג של הסמים הוא קנבוס'],,,,,,,,,,,
"באופן זה, במועדים השונים בחודש אפריל 2023, בהם נתפסו הדירות שנשכרו על ידי הנאשם על ידי משטרת ישראל, הוא החזיק בהן שתילים של סם מסוג קנבוס במשקל כולל של כ-172.6 ק""ג.",28,,,,,['הסוג של הסמים הוא קנבוס'],"['הכמות של הסמים היא 1726 ק""ג']",,,,,,,,,,
"בפתח טיעוניה לעונש הגישה ב""כ המאשימה את הרישום הפלילי של הנאשם.",30,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : כן']",,,,,,,,,,,,,,
