text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"* מהו העונש הראוי אותו יש להשית על הנאשם שנטל חלק בשורה של אירועים מתוכננים היטב, במסגרתם, החבורה, לה היה שותף, קשרה קשר להקים מעבדות לגידול סם מסוג קנבוס בדירות שכורות?",,,,['סוג הסמים הוא קנבוס (קנאביס)'],,,,,,
"הנאשם הורשע על פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בשורה של עבירות כדלקמן: ייצור הכנה והפקה של סם מסוכן (8 עבירות), החזקת סם מסוכן שלא לצריכה עצמית (8 עבירות), החזקת כלים (8 עבירות), נטילת חשמל, קבלת דבר במרמה בנסיבות מחמירות (8 עבירות), התחזות כאדם אחר (8 עבירות), שימוש במסמך מזויף (7 עבירות).",,,,,,,,,,
"על פי כתב האישום לפיו הורשע הנאשם, על מנת לאפשר את ייצור הסם והפקתו, הוא פעל בדרכי מרמה, תוך זיוף מסמכים, לשכור דירות שונות.",,,,,,,,,,
"הנאשם נטל חלק בשורה של אירועים מתוכננים היטב, במסגרתה, החבורה, לה היה שותף, קשרה קשר להקים מעבדות לגידול סם מסוג קנבוס בדירות שכורות.",,,,['סוג הסמים הוא קנבוס (קנאביס)'],,"['לא בעל המעבדה, בעל הסמים']",,,,
"ודוקו, המדובר בשמונה דירות שונות שהושכרו, צוידו באמצעים הדרושים לצורך ייצור הסם, חוברו באופן ""פיראטי"" לחשמל, ובפועל גודל בהם סם רב.",,,,,,,,,,
"עם זאת, יש להביא בחשבון את העובדה כי גודל סם מסוג קנבוס, אשר פגיעתו בבריאות מצומצמת יותר.",,,,['סוג הסמים המוזכר בטקסט הוא קנבוס (או קנאביס)'],,,,,,
"החזקת סם מסוכן שלא לצריכה עצמית (8 עבירות) - לפי סעיפים 7(א)+(ג) רישא לפקודה הנ""ל.",,,,,,,,,,
"החזקת כלים (8 עבירות) - לפי סעיף 10 רישא לפקודה הנ""ל.",,,,,,,,,,
"במסגרתם, כחלק מקשר אותו קשר הנאשם עם אחרים, עובר לינואר 2022, הנאשם שכר שמונה דירות שונות, תוך שהוא מציג עצמו במרמה כאדם אחר, מציג תעודת זהות מזויפת, מוסר שיקים הנחזים להיות של אותו אחר, והכל במטרה להקים בדירות מעבדות לייצור סם מסוכן מסוג קנבוס, ללא היתר ושלא לצריכה עצמית.",,,,['סוג הסמים הוא קנבוס (קנאביס)'],,,,,,
"הנאשם פעל כאמור בין ינואר 2022 לבין אפריל 2023, כאשר במסגרת מימוש הקשר, בדירות שהוכשרו כאמור, ביחד עם אחרים, גידל, ייצר, הפיק, הכין והחזיק סם מסוכן מסוג קנבוס, וכן החזיק כלים המשמשים להכנה ולגידול הסם.",,,,['סוג הסמים הוא קנבוס'],,"['[בעל הסמים, לא בעל המעבדה]']",,,,
"באופן זה, במועדים השונים בחודש אפריל 2023, בהם נתפסו הדירות שנשכרו על ידי הנאשם על ידי משטרת ישראל, הוא החזיק בהן שתילים של סם מסוג קנבוס במשקל כולל של כ-172.6 ק""ג.",,,,"['סוג הסמים הוא קנבוס, או קנאביס']","['172.6 - ק""ג (קילוגרם)']","['לא בעל המעבדה, בעל הסמים']",,,,
