text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הודה בעובדות כתב אישום מתוקן שהוגש במסגרת הסדר טיעון דיוני, והורשע בריבוי עבירות סחר ותיווך בסמים מסוג קנבוס ל-10 לקוחות שונים (ולשוטר), מתוכם שניים על סף קטינות, בתמורה ל-50 עד 200 ₪ לעסקה, שביצע במשך כשנה עובר ליום 23.2.2021, לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: ""פקודת הסמים""), ובהחזקת סמים לצריכה עצמית, לפי סעיפים 7(א) ו-(ג) סיפא לפקודת הסמים.",,,,"['סוג הסמים הוא קנבוס, כפי שמצוין בטקסט: ""הנאשם הודה בעובדות כתב אישום מתוקן שהוגש במסגרת הסדר טיעון דיוני, והורשע בריבוי עבירות סחר ותיווך בסמים מסוג קנבוס.""']",,['לא בעל המעבדה'],,,,
"באישום הראשון, הודה הנאשם כי ביום 21.2.2021 בשעה 15:30, לאחר שתיאם מול השוטר ד' רכישת סמים הגיעו השניים לקיוסק ברחוב רגבים בלוד, אז הגיע למקום אדם אחר, שמסר לשוטר 1.5 גרם סם קנבוס, תמורת 100 ₪ ואז נעצרו הנאשם והאחר.",,,,['סוג הסמים הוא קנבוס (קנאביס)'],['1.5 גרם - יחידות: גרם'],,,,,
"בחיפוש שנערך בבית הנאשם ברחוב חידקל בלוד (להלן: ""הבית"") נתפסו משקל דיגיטלי, שקיות חלוקה קטנות, וסם מסוג קנבוס במשקל כולל של 5.94 גרם נטו.",,,,['סוג הסמים הוא קנבוס'],['5.94 - גרם'],,,,,
בגין מעשים אלו הורשע הנאשם בעבירות תיווך לסחר בסמים והחזקת סמים לצריכה עצמית.,,,,,,,,,,
"בהמשך נפגשו השניים בפארק גני אביב בלוד (להלן: ""הפארק""), אז מכר לו הנאשם גרם קנבוס בתמורה ל-50 ₪.",,,,['סוג הסמים הוא קנבוס'],['50 - גרם'],,,,,
"באישום השלישי הודה הנאשם כי ביום 11.2.2021 בשעה 11:30 התקשר ל""ז (יליד 2003) לנאשם, תיאם מולו רכישת סמים, ובהמשך נפגש עמו בפארק, ומכר לו גרם קנבוס בתמורה ל-50 ₪.",,,,['סוג הסמים הוא קנבוס (קנאביס)'],['50 - גרם (50 גרם קנבוס)'],,,,,
"באישום הרביעי הודה הנאשם בעבירות סחר בסמים בכך שבשנה עובר לתאריך 23.2.2021 ב-5 הזדמנויות שונות, לאחר תיאום טלפוני, מכר למ""ר סם מסוג קנבוס במשקל של גרם תמורת 50 ₪ בכל פעם.",,,,['סוג הסמים הוא קנבוס'],['הכמות של הסמים היא [1 גרם - יחידות (גרם)]'],['לא בעל המעבדה'],,,,
"באישום החמישי הודה הנאשם כי ב-5 הזדמנויות בחודשיים עובר ליום 23.2.2021, לאחר תיאום טלפוני, נפגש עם א""א (יליד 2003) בפארק, ומכר לו גרם קנבוס בתמורה ל-50 ₪ בכל פעם.",,,,['סוג הסמים הוא קנבוס'],['5 (גרם)'],,,,,
"באישום השישי הודה הנאשם בכך שבמשך שנה עובר לתאריך 23.2.2021 במספר הזדמנויות, מכר לד""ל גרם של קנבוס בתמורה ל-50 ₪ בכל פעם.",,,,['סוג הסמים הוא קנבוס (מריחואנה)'],['50 - גרם (50 גרם)'],,,,,
"באישום השביעי הודה הנאשם בכך שביום 15.2.2021 בשעה 21:43 התקשר אליו ג""ו, ותיאם רכישת סמים.",,,,,,,,,,
"בהמשך נפגשו השניים בפארק, אז מכר לו הנאשם גרם קנבוס בתמורה ל-120 ₪.",,,,['סוג הסמים הוא קנבוס (מריחואנה)'],['120 גרם - גרם (g)'],,,,,
"כמו כן במהלך חודשים ינואר ופברואר 2021 במספר הזדמנויות שונות מכר הנאשם ל-ג""ו גרם קנבוס בתמורה ל-120-100 ₪ בכל פעם.",,,,['סוג הסמים הוא קנבוס'],['120-100 גרם (יחידות: גרם)'],,,,,
"באישום השמיני הודה הנאשם בכך שביום 14.2.2021 בשעה 19:20 התקשר אליו א""ש ותיאם רכישת סמים.",,,,,,,,,,
בהמשך נפגשו השניים בפארק והנאשם מכר לו גרם קנבוס בתמורה לסכום לא ידוע.,,,,['סוג הסמים הוא קנבוס (מריחואנה)'],['הכמות של הסמים היא [1 - גרם]'],,,,,
"באישום התשיעי הודה הנאשם בכך שתאריך 4.1.2021 עובר לשעה 18:00 התקשר אליו מ""ש, תיאם עמו רכישת סמים, אז נפגשו השניים בפארק והנאשם מכר לו גרם קנבוס בתמורה ל-200 ₪.",,,,['הסוג של הסמים הוא קנבוס (קנאביס)'],['הכמות של הסמים היא [1 - גרם]'],,,,,
"כמו כן בתאריך 17.2.2021 בשעה 10:32 הגיע למקום עבודתו של מ""ש בלוד ומכר לו קנבוס בתמורה ל-500 ₪.",,,,['סוג הסמים הוא קנבוס'],['500 גרם - קנבוס (קנאביס)'],,,,,
"כמו כן במהלך החודשים דצמבר 2020 ועד לינואר 2021 ב-5 הזדמנויות שונות, לאחר תיאום טלפוני נפגשו השניים בפארק והנאשם מכר לו גרם קנבוס בתמורה לבין 100 ל-200 ₪ בכל פעם.",,,,['סוג הסמים הוא קנאביס (קנבוס)'],['הכמות של הסמים היא [10 - גרם]'],,,,,
