text,PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"עובר ליום 2.11.21 במועד לא ידוע, הסב הנאשם את השימוש בדירה הצפונית למתחם לגידול סמים מסוכנים מסוג קנבוס.",,,,['סוג הסמים הוא קנבוס'],,,,,,
"במשך תקופה לא ידועה ועד ליום 2.11.21, גידל הנאשם בדירה הצפונית 254 עציצים ובהם סם מסוכן מסוג קנבוס במשקל כולל של 159.56 ק""ג נטו.",,,,['סוג הסמים הוא קנבוס'],"['159.56 - ק""ג (קילוגרם)']",,,,,
"עוד החזיק הנאשם בדירה הצפונית שני שקים ובהם 3,066.57 גרם סם מסוכן מסוג קנבוס.",,,,['סוג הסמים הוא קנבוס'],['3066.57 גרם - יחידות (גרם)'],,,,,
"בארון בחדר בדירה הדרומית בה התגורר, החזיק הנאשם שמונה בקבוקי זכוכית, בכל אחד מהם 80 מ""ל נוזל המכיל סם מסוכן מסוג קנבוס, שלא לצריכתו העצמית.",,,,['סוג הסמים הוא קנבוס'],"['הכמות של הסמים היא [80 - מ""ל]']","['בעל הסמים, לא בעל המעבדה']",['לא'],,,
"תע/1 – גיליון רישום פלילי, לפיו לנאשם 3 הרשעות קודמות, בעיקר בעבירות אלימות, כולל הפרעה לשוטר במילוי תפקידו והדחה בחקירה, חלקן מבית משפט לנוער.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,
הרשעתו האחרונה משנת 2009.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,
"נע/1 - אסופת מסמכים רפואיים של אשת הנאשם וחמותו; דו""ח עסקאות להתקנת מערכות לשנים 2023- 2024; שאלון הורים לקלינאית תקשורת ביחס לבת הנאשם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
"נע/2 - מכתב מהרכז החינוכי בבית ספר למלאכה חב""ד קרית מלאכי, בו למד הנאשם בנערותו, אשר משבח אותו על חריצותו ושמירתו על כללי המוסד.",,,,,,,,,,
"נע/4 - תלושי שכר של הנאשם, מחודשים 8-10/21.",,,,,,,,,,
"נע/5 - תעודת סיום קורס השקעות נדל""ן.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,
