text,CIR_AMMU_AMOUNT_WEP,PUNISHMENT,CIR_TYPE_WEP,CIR_USE,CIR_OBTAIN_WAY_WEP,RESPO,CIR_PLANNING,REGRET,CIR_STATUS_WEP,GENERAL_CIRCUM,CIR_PURPOSE,CIR_HELD_WAY_WEP,CONFESSION,CIRCUM_OFFENSE
"(ההדגשות אינן במקור- ד.ס; לא נעלם מעיני כי בענייננו הורשע הנאשם בעבירות של החזקת נשק ואבזר לנשק וכי עבירות ההובלה והנשיאה שיחסו לו בכתב האישום המקורי הושמטו מכתב האישום המתוקן בו הודה, אך יש בדברים כדי ללמד על מגמת ההחמרה בענישה גם בעבירות של החזקת נשק).",0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
* בית המשפט גזר על נאשם שהורשע בעבירות נשק – 24 חודשי מאסר בפועל ומאסר על תנאי לתקופה של 12 חודשים.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
12 חודשי מאסר על תנאי למשך 3 שנים כאשר התנאי יופעל במידה ויעבור עבירות נשק מסוג פשע.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
12 חודשי מאסר על תנאי למשך 3 שנים מהיום שיחולו במידה ויעבור עבירות נשק מסוג פשע.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"12 חודשי מאסר על תנאי, והתנאי הוא שהנאשם לא יעבור תוך תקופה של 3 שנים מיום שחרורו, כל עבירת נשק מסוג פשע ויורשע בגינה.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"12 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך 3 שנים מיום שחרורו ממאסר כל עבירת נשק מסוג פשע או ירי באזור מגורים.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"12 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרור הנאשם ממאסרו, שהנאשם לא  יעבור עבירת נשק לפי סעיף 144 לחוק העונשין על חלופותיו השונות.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"12 חודשי מאסר על תנאי, לתקופה של 3 שנים מיום שחרורו מן המאסר, שהנאשם לא יעבור עבירת נשק לפי סעיף 144 לחוק העונשין על חלופותיו השונות.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"13 חודשי מאסר בפועל, בניכוי תקופת מעצרו בתיק זה בין התאריכים 3/12/21 - 17/2/22.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"18 חודשי מאסר בפועל החל מיום מעצרו, 2.11.21.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"18 חודשי מאסר בפועל למן יום מעצרו, 18.7.22.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"18 חודשי מאסר בפועל, בניכוי ימי מעצרו מיום 14.10.2020 עד ליום 07.12.2020.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
20 חודשי מאסר בפועל בניכוי ימי המעצר הקשורים בתיק זה בלבד.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
20 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 1.3.21 עד ליום 3.5.21 ומיום 3.2.22 ואילך וארבעה חודשים נוספים לתקופת מאסרו כפי שפורט לעיל.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
20 חודשי מאסר בפועל בניכוי ימי מעצרו של הנאשם (מיום 10.8.19).,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
22 חודשי מאסר בפועל.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"24 חודשי מאסר, מתוכם 12 חודשים לריצוי בפועל (בניכוי ימי מעצרו מיום 27.04.2015 עד ליום 14.06.2015) והיתרה על תנאי, שלא יעבור במשך 3 שנים מיום שחרורו ממאסר כל עבירה על סע' 144 לחוק העונשין, וכן כל עבירה של אלימות פיזית כלפי גוף אדם.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
27 חודשי מאסר בפועל אשר מניינם מיום מעצרו 9.1.19.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"5129371 ג.  קנס בסך 4,000 ש""ח ₪ או 30 ימי מאסר תמורתו.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
51293716 חודשי מאסר על תנאי אותם ירצה הנאשם בפועל אם בתוך שלוש שנים מיום שחרורו מהכלא הוא יבצע עבירת נשק או עבירת אלימות כלשהי מסוג פשע.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
6 חודשי מאסר על תנאי אשר לא ירוצו אלא אם הנאשם יעבור בתוך שלוש שנים מיום שחרורו ממאסר עבירת נשק מסוג עוון.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"6 חודשי מאסר על תנאי, והתנאי הוא שהנאשם לא יעבור תוך תקופה של 3 שנים מיום שחרורו, כל עבירת נשק מסוג עוון ויורשע בגינה.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"6 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך שנתיים מיום שחרורו ממאסר כל עבירת נשק מסוג עוון.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
7 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו שלא יעבור כל עבירה בנשק.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"7 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו, שלא יעבור כל עבירה בנשק.",0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
9 חודשי מאסר על תנאי אשר לא ירוצו אלא אם כן הנאשם יעבור בתוך שלוש שנים מיום שחרורו ממאסר עבירת נשק מסוג פשע.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"א) החזקת הנשק לשם ביצוע מעשים, המיועדים לפגוע בביטחון המדינה או בביטחון הציבור.",0,0,0,0.0,0,0,0,0,0,0,1,0,0,1
א.  45 חודשי מאסר בפועל אשר יימנו מיום מעצרו 9.05.21.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"אדגיש, אין מדובר במי שנשא כלי-נשק ותחמושת בלבד, כי אם במי שנשא והחזיק בתת מקלע מאולתר שבו ביצע ירי של 14 יריות, והמשיך לאחר מכן לשאתו בתוך שקית שחורה וכן כדורים שבכיס המעיל, ודומני, כי אין צורך להכביר מילים על המשמעויות וההשלכות של שוני זה.",1,0,0,1.0,0,0,0,0,0,0,0,0,0,1
"אולם, הנאשם עבר לשימוש בנשק חם, והוא לא הסתפק בכך שגרם להימלטות המתלוננים מהחנות ולהפסקת העימות, זאת לאחר שפצע את אחד המתלוננים בתוך החנות, אלא דלק אחר שניים מהמתלוננים כברת דרך ארוכה, ""גילה דבקות"" במטרה ובמשימה, ירה לעבר שני המתלוננים הרחק מהחנות וגרם להם לפגיעות.",0,0,0,1.0,0,0,0,0,0,0,0,0,0,1
"אזכיר, כי על אף שהנאשם הבחין בשוטרים, הוא המשיך בריצה לכיוון השטח המיוער במטרה לברוח מהם, זאת כאשר הוא נושא ומוביל את האקדח הטעון, אותו אחז בידו.",0,0,1,0.0,0,0,0,0,1,0,0,1,0,1
אחיו החביא את הנשק בסמוך בביתו והנאשם החזיק אותו בכפר זלפה עד ליום 22.11.15.,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1
אימו של הנאשם תשלם קנס בסך 2000 ₪.,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"אין בידי לקבל את טענת ב""כ הנאשם, לפיה הגם שהנאשם נשא אקדח טעון, אין מדובר, בנשק כהגדרתו או בתת- מקלע, ולפיכך יש לקבוע מתחם ענישה נמוך יותר.",0,0,1,0.0,0,0,0,0,1,0,0,0,0,1
"אין מדובר בירייה בודדת, אלא בירי של מספר כדורים, ורק במזל האירוע הסתיים בנזק ברכוש וללא אובדן חיי אדם.",0,0,0,1.0,0,0,0,0,0,0,0,0,0,1
"אין ספק בליבי שהנאשם, שהוא האחראי הבלעדי לביצוע העבירות, הבין היטב את ההשלכות שעלולות להיגרם מכניסה לסיטואציה מסוג זה ואת אשר עלול לקרות אם יגיע לעימות עם המתלונן כאשר הוא נושא אקדח, אך חרף זאת בחר להמשיך במעשיו ולעשות שימוש בנשק באופן המתואר.",0,0,0,1.0,0,0,0,0,0,0,0,0,0,1
"אין ספק כי עונש מאסר, גם אם ירוצה בעבודות שירות, יפגע בו ובמשפחתו.",0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
