verdict,text,reject,CIR_PUNISHMENT,CONFESSION,CIR_TYPE,REGRET,CIR_ROLE,GENERAL_CIRCUM,CIR_AMOUNT,RESPO,CIR_EQ,CIRCUM_OFFENSE
ME-10-11-18588-3_tagged_final,"ב""כ המאשימה עו""ד רעות אביר",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ב""כ הנאשם עו""ד רונן רבי",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"הנאשם הובא באמצעות שב""ס",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,* עונשין – ענישה – מדיניות ענישה: עבירות סמים,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,* עונשין – ענישה – מדיניות ענישה: שיקולים לחומרה,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,* עונשין – ענישה – מדיניות ענישה: שיקולים לקולה,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,בית המשפט המחוזי גזר את עונשו של הנאשם כדלקמן:,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"לחומרה: העבירה בה הורשע הנאשם היא חמורה, כשהעונש המירבי הקבוע לצידה הנו 20 שנות מאסר.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"מדובר בחוליה חשובה, בלעדיה אין, בשרשרת ייבוא הסם לארץ לצורך הפצתו תוך הגדלת  מספר המכורים לסם.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,הפסיקה משקפת את הצורך במאבק בעבירות הסמים בכלל ובעבירות ייבוא הסמים בפרט.,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"כבר נפסק בדבר החשיבות של הטלת עונשים מחמירים בעבירות הסמים באשר לענישת בעלי התפקידים המשניים יותר בייבוא הסם, המגמה העונשית היא להחמיר עם בלדרי הסמים ולהשית עליהם מאסר בפועל לתקופה משמעותית, על מנת להרתיע מלהתפתות ולסייע בהבאת סמים ארצה, בהפצתם ומכירתם לצרכני סמים.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"עם זאת, תקופות המאסר המושתות על בלדרי סמים, משתנות ממקרה למקרה ותלויות בנסיבות הספציפיות שכן על הענישה להיות אינדיוידואלית.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"בענייננו הנאשם הובא לדין בשתי הזדמנויות קודמות, והורשע בין היתר בביצוע עבירות שעניינן החזקת סמים לצריכה עצמית.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"לאור הפסיקה ולאחר שקילת השיקולים השונים, יישום מדיניות הענישה בענייננו מחייב הטלת עונש מאסר בפועל ממשי, מאסר על תנאי וקנס.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"שכן, העבירות בוצעו על מנת להעשיר את כיסו של הנאשם גם אם לא בסכום גבוה.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"על פי עובדות כתב האישום, ביום 13.10.10 יצא הנאשם את הארץ בטיסה לברזיל, דרך איטליה.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"כיום הוא מבין, כי עליו לשאת את המחיר בגין מעורבותו בעבירה.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"שירות המבחן סבור, כי נדרשת בעניינו התערבות שיקומית אשר תחדד עבורו את חומרת מצבו ותסייע לו לרכוש הרגלי תפקוד תקינים.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ואולם, נוכח חומרת העבירות שביצע, אין מקום להציע התערבות טיפולית במסגרת השירות.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"התביעה עותרת לאמץ את הרף הגבוה של הסדר הטיעון ולגזור על הנאשם מאסר של 6 שנים, מאסר על תנאי, שלילת רישיון וקנס.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ב""כ התביעה ציין: התופעה של ייבוא הסם והברחתו לארץ דרך נמל התעופה, הינה נפוצה; מדיניות הענישה בעבירות אלה מחייבת להשית על בלדרי סם תקופת מאסר משמעותית; מהתסקיר עולה, שהדרך בה הלך הנאשם לא נכפתה עליו.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"לפי הפסיקה, במקום בו מניע כלכלי הביא לביצוע העבירות, יש ליתן ביטוי למניע זה גם בעונש  כדי להרתיע אחרים; העונש לו עותרת התביעה מקל עם הנאשם במידה מסוימת ומתחשב עם המתואר בתסקיר ובחיסכון בזמן השיפוטי.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ההגנה עותרת לגזור על הנאשם עונש מאסר בפועל המצוי בטווח הפסיקה אליה היפנה, בין 18 חודשים ל-4 שנים ולהימנע מהטלת קנס.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,לחומרה שקלתי לנאשם:,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"העבירה בה הורשע הנאשם הינה חמורה, כשהעונש המירבי הקבוע לצידה הינו 20 שנות מאסר.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,עוד הדגיש שם כב' השופט חשין את המלחמה הנמשכת בנגע הסמים:,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,לקולא שקלתי לנאשם:,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,הצדדים הגישו אסמכתאות לביסוס טענתם בדבר רף הענישה המקובל בעבירות ייבוא סמים.,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"התביעה הציגה פסיקה בה נידונו נאשמים בעבירות של ייבוא סם, ל- 6 וחצי שנים ו- 12 שנים מאסר בפועל.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ואולם, הגם שבאותם פסקי דין, דובר בכמות קטנה יותר של סם, הרי שיש מקום לאבחן אותם לחומרה לעומת ענייננו.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ההגנה הציגה פסיקה בה נידונו נאשמים בעבירות של ייבוא סם, ל- 18 חודשי מאסר בפועל ועד 4 שנות מאסר בפועל.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ואולם, יש מקום לאבחן אותם לקולא לעומת ענייננו.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"לאחר ששקלתי את השיקולים השונים, שוכנעתי כי יישום מדיניות הענישה בענייננו, מחייב הטלת עונש מאסר בפועל ממשי, וכן הטלת רכיב של מאסר על תנאי וקנס כספי.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,לפיכך אני גוזרת על הנאשם:,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,זכות ערעור תוך 45 יום .,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"ניתנה והודעה היום י""ב סיון תשע""א, 14/06/2011 במעמד הנוכחים.",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",1,0,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"* בימ""ש עמד על השיקולים לחומרה ולקולה בעניינו של הנאשם, שהורשע בעבירה של ייבוא סם מסוכן וגזר את עונשו למאסר בפועל של 56 חודשים, מאסר על תנאי וקנס, תוך שהוא מדגיש את המגמה להחמיר עם בלדרי הסמים ולהשית עליהם מאסר בפועל לתקופה משמעותית.",0,1,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"לפיכך הנאשם ירצה 56 חודשי מאסר בפועל; 24 חודשי מאסר על תנאי וישלם קנס בסך 4,000 ₪.",0,1,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,א.	56 חודשים  מאסר בפועל שתחילתו מיום מעצרו בתיק זה 3/11/10.,0,1,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,24 חודשים מאסר על תנאי שלא יעבור תוך 3 שנים מיום שחרורו מהמאסר עבירת פשע לפי פקודת הסמים המסוכנים.,0,1,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"קנס בסך 4,000 ₪ שישולם ב- 4 תשלומים חודשיים ושווים, הראשון ביום 15/02/12 או 30 ימי מאסר  תמורתו.",0,1,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,הסם והתיק יושמדו  כשפסק  הדין יהיה חלוט.,0,1,0,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"עסקינן בגזר דין של הנאשם, שהורשע לפי הודאתו בעובדות כתב האישום, בעבירה של ייבוא סם מסוכן, לפי סעיף 13 יחד עם סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",0,0,1,0,0,0,0,0,0,0,0
ME-10-11-18588-3_tagged_final,"לקולא: הנאשם הודה בביצוע העבירה בטרם החלה שמיעת הראיות וחסך זמן שיפוטי, והביע חרטה.",0,0,1,0,1,0,0,0,0,0,0
