Unnamed: 0,verdict,text,reject,PUNISHMENT,GENERAL_CIRCUM,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ
1,ME-22-11-1990-79,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א",1,0,0,0,0,0,0
2,ME-22-11-1990-79,"חוק העונשין, תשל""ז-1977: סע'  40ד', 40ד'(א)",1,0,0,0,0,0,0
3,ME-22-11-1990-79,"פקודת המבחן [נוסח חדש], תשכ""ט-1969",1,0,0,0,0,0,0
4,ME-22-11-1990-79,"הנאשם הורשע במסגרת הסדר דיוני בעובדות כתב אישום מתוקן בעבירת ייבוא סם מסוכן לפי סעיף 13 וסעיף 19א לפקודת הסמים המסוכנים התשל""ג-1973.",1,0,0,0,0,0,0
5,ME-22-11-1990-79,"כמפורט בעובדות האישום המתוקן, ביום 11.10.22 יצא הנאשם מישראל דרך נמל תעופה בן גוריון לבלגיה.",1,0,0,0,0,0,0
6,ME-22-11-1990-79,"ביום 20.10.22 שב הנאשם לישראל כשהוא נושא עמו כ-25,303 טבליות סם מסוכן מסוג MDMA שהוטמנו בתא ייעודי שבנה בתחתית מזוודתו, אותו קיבע באמצעות קרש עץ.",0,0,0,1,1,0,0
7,ME-22-11-1990-79,"ביום 10.7.23 הגיעו הצדדים להסדר דיוני לפיו הודה הנאשם בכתב האישום המתוקן והופנה לתסקיר, ללא הסכמות עונשיות.",0,0,0,0,0,0,0
8,ME-22-11-1990-79,"הנאשם, בן 47, רווק, שוהה בהוסטל טיפולי של קהילת ""הדרך"" לטיפול והימנעות מהתמכרות.",0,0,1,0,0,0,0
9,ME-22-11-1990-79,"מקורותיו עולה כי חווה ילדות מורכבת בצלו של אב אלים, השלים 12 שנות לימוד במגמת אלקטרוניקה ותעודת בגרות מלאה, שירת שירות צבאי מלא ולאחר שחרורו עבד כשנתיים בארה""ב בתחום האלקטרוניקה.",0,0,1,0,0,0,0
10,ME-22-11-1990-79,בהמשך שב ארצה וניסה להשתלב בלימודים אקדמאיים אך לא סיים לימודיו.,0,0,1,0,0,0,0
11,ME-22-11-1990-79,"מבחינה תעסוקתית, עבד בעבודות שונות בארץ ובספרד בתחומי התיירות והפקת אירועים.",0,0,1,0,0,0,0
12,ME-22-11-1990-79,"טרם מעצרו עבד בעבודות מזדמנות בתחום המשלוחים, כיום ומזה כארבעה חודשים עובד כמנהל הסעות.",0,0,1,0,0,0,0
13,ME-22-11-1990-79,"לחובתו הרשעה משנת 2008 בגין ביצוע עבירות סמים, בגינה נדון ל-40 חודשי מאסר.",0,0,1,0,0,0,0
14,ME-22-11-1990-79,"באשר לביצוע העבירה, במסגרת עונש המאסר שריצה בשנת 2008 נגמל מסמים, ולאחר שחרורו השתלב בתכנית טיפולית במסגרת רש""א והצליח לשמור על אורח חיים נקי.",0,0,1,0,0,0,0
15,ME-22-11-1990-79,"עם זאת בשנת 2016 עם המעבר למגורים בחו""ל החלה התדרדרות הדרגתית בתפקודו, זו העמיקה בשנת 2021 בתקופת הקורונה ופרידה מבת זוגו.",0,0,1,0,0,0,0
16,ME-22-11-1990-79,"הנאשם תיאר כי בתקופה שקדמה לביצועה, אביו נפטר והוא ניהל אורח חיים בעייתי ולא יציב והתקשה להתמודד עם המשברים.",0,0,1,0,0,0,0
17,ME-22-11-1990-79,"על רקע זה העמיק את דפוסי צריכת הסמים, התבודד חברתית והפסיק לעבוד.",0,0,1,0,0,0,0
18,ME-22-11-1990-79,"הנאשם לוקח אחריות מלאה על ביצוע העבירה, מורתע מתקופת מעצרו ומההליך המשפטי ומביע נכונות לשאת בתוצאות מעשיו.",0,0,0,0,0,0,0
19,ME-22-11-1990-79,מבטא הכרה למחירים הנלווים להתנהלותו השולית ולפגיעה בעצמו ובמשפחתו.,1,0,0,0,0,0,0
20,ME-22-11-1990-79,הביע שאיפות לתפקוד וניהול אורח חיים יצרני.,1,0,0,0,0,0,0
21,ME-22-11-1990-79,שוחרר בחודש ינואר 2023 לחלופה טיפולית ושולב בקהילה.,1,0,0,0,0,0,0
22,ME-22-11-1990-79,ממידע שהתקבל מגורמי הטיפול עלה כי מתמיד בטיפול ובעל מוטיבציה גבוהה לשיקום חייו.,0,0,1,0,0,0,0
23,ME-22-11-1990-79,"ההתרשמות הייתה מאדם אינטליגנטי בעל יכולות גבוהות, נראה כי עובר הליך שיקום משמעותי, מצליח להיעזר בטיפול ורכש כלים להתמודדות אדפטיבית יותר במצבי לחץ והמשך הימנעות מצריכת סמים.",0,0,1,0,0,0,0
24,ME-22-11-1990-79,"שירות המבחן התרשם כי סביב פתיחת ההליך המשפטי חל שינוי בעמדותיו ורצונותיו של הנאשם, הוא הביע עייפות מהמשך ניהול אורח חיים עברייני, וכיום משקיע כוחותיו בשיקום על מנת לבסס שינוי בדפוסיו ולזהות מצבי סיכון לצורך מניעת חזרה לשימוש ולהתנהלות בעייתית.",0,0,1,0,0,0,0
