text,Unnamed: 0,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,reject,CONFESSION,REGRET,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_PLANNING,CIR_HELD_WAY,CIR_VALUE,RESPO,PUNISHMENT,CIR_PURPOSE
"* בית המשפט גזר את דינו של נאשם שהורשע שעבירות סיוע לסחר בסם מסוכן, סחר בסם מסוכן והחזקת סם מסוכן שלא לצריכה עצמית, והטיל עליו 55 חודשי מאסר בפועל, שני מאסרים על תנאי, קנס וחילוט הכסף והרכוש שנתפסו בביתו של הנאשם.",3,['55 חודשי מאסר בפועל'],['55 חודשי מאסר בפועל'],['לא'],,,,,,,,,,,,,
"הנאשם הורשע במסגרת הסדר טיעון בכתב אישום מתוקן בעבירה של סיוע לסחר בסם מסוכן, סחר בסם מסוכן והחזקת סם מסוכן שלא לצריכה עצמית.",5,,,,,,,,,,,,,,,,
"בהתחשב במכלול השיקולים והנסיבות הוטלו על הנאשם מאסר בפועל למשך 55 חודשים, שני מאסרים על תנאי וקנס בסך 10,000 ₪ או  50  ימי מאסר תמורתו.",12,['55 חודשים'],['55 חודשים'],['50 ימי מאסר תמורת הקנס'],,,,,,,,,,,,,
הנאשם הודה והורשע במסגרת הסדר טיעון בכתב אישום מתוקן בארבעה אישומים.,14,,,,,,,,,,,,,,,,
"האישום הראשון בעבירה של סיוע לסחר בסם מסוכן – עבירה לפי סעיפים 13 + 19א לפקודת הסמים המסוכנים + סעיף 31 לחוק העונשין, האישום השני בעבירה של סחר בסם מסוכן – עבירה לפי סעיפים 13 + 19א לפקודת הסמים המסוכנים + סעיף 29 לחוק העונשין, האישום השלישי בעבירה של סיוע לסחר בסם מסוכן – עבירה לפי סעיפים 13 + 19א לפקודת הסמים המסוכנים + סעיף 31 לחוק העונשין,  ובאישום הרביעי בעבירה של החזקת סם מסוכן  שלא לצריכה עצמית – עבירה לפי סעיף 7(א) ו-(ג) רישא לפקודת הסמים.",15,,,,,,,,,,,,,,,,
"בהמשך למתואר לעיל ובמסגרת פעילותו של הסוכן, הנאשם ביחד עם וילי מכרו לסוכן בשלוש הזדמנויות סמים מסוכנים מסוג קוקאין, והכל כמפורט להלן.",20,,,,,,,,['הסוג של הסמים הוא קוקאין'],,,,,,,,
"עובר לתאריך 2.5.22, במועדים שונים וביניהם: 2.1.22, 16.1.22, 17.1.22, 28.1.22, 10.2.22, 16.2.22 , יצר וילי קשר עם הסוכן והציע למכור לו סמים מסוכנים מסוג קוקאין.",21,,,,,,,,['הסוג של הסמים הוא קוקאין'],,,,,,,,
"בתאריך 2.5.22 בשעה 14:21, יצר הסוכן קשר טלפוני עם וילי וביקש לרכוש ממנו סמים מסוכנים מסוג קוקאין (להלן: ""הסם"" או ""הקוקאין"") וילי נענה בחיוב והשניים סיכמו כי וילי ימכור לסוכן ""קוקאין"" במשקל 100 גרם במחיר של 220 ₪ לגרם (להלן: ""העסקה"").",22,,,,,,,,['הסוג של הסמים הוא קוקאין'],['הכמות של הסמים היא 100 גרם'],,,,,,,
"כעבור מספר דקות, הגיע גם הנאשם למקום על אופניו, ניגש לעבר חלון רכבו של הסוכן ומסר לו גוש עטוף בנייר ובו 99.53 גרם נטו של סם מסוכן מסוג קוקאין.",27,,,,,,,,['הסוג של הסמים הוא קוקאין'],['9953 גרם נטו של סם מסוכן מסוג קוקאין'],,,,,,,
"מיד לאחר מכן, העביר הסוכן לנאשם  סכום של 22,000 ₪  בתמורה לסם, והאחרון עזב את המקום.",28,,,,,,,,,,,,,,,,
עוד סיכם וילי עם הסוכן כי הסם יימסר לו על ידי הנאשם והסוכן ימסור לנאשם את התמורה.,32,,,,,,,,,,['לא בעל המעבדה'],,,,,,
"עובר ליום 19.6.22, קשרו וילי והנאשם ביניהם קשר לפיו הנאשם יספק את הסמים לסוכן מטעמו ועל דעתו של וילי.",33,,,,,,,,,,,,,,,,
"בתאריך 19.6.22 בשעה 15:21, נוצר קשר טלפוני בין הנאשם לבין הסוכן והאחרון ביקש מהנאשם שהסמים יספקו לו בלבנה אחת שלמה.",34,,,,,,,,,,,,,,,,
הנאשם ניגש לחלון הרכב ומסר לסוכן שקית שהכילה בתוכה סם מסוג קוקאין במשקל 99.70 גרם נטו.,37,,,,,,,,['הסוג של הסמים הוא קוקאין'],['9970 גרם'],,,,,,,
"מיד לאחר מכן, הסוכן העביר לנאשם  סך 22,000 ₪ בתמורה לסם והאחרון נטל את הכסף ועזב את המקום.",38,,,,,,,,,,,,,,,,
בתאריך 14.8.22 בסמוך לשעה 13:30 חייג הסוכן לוילי אך האחרון ניתק את השיחה ושלח לסוכן מסרון SMS בו ביקש לשוחח עם הנאשם  לצורך תיאום השלמת העסקה.,41,,,,,,,,,,,,,,,,
"לבקשת וילי, שוחחו הסוכן והנאשם, ובמהלך השיחה הנאשם עדכן את הסוכן כי העלות ל- 120 גרם סם הינה 28,800 ₪ (להלן: ""הסכום"").",43,,,,,,,,,['הכמות של הסמים היא 120 גרם'],,,,,,,
"בתאריך 14.8.22 בשעה 14:02, הגיע הסוכן למקום ושם פגש את הנאשם שהעביר לו עטיפת נייר ובה שקית המכילה גוש של סם מסוכן מסוג קוקאין במשקל 119.89 גרם נטו.",45,,,,,,,,['הסוג של הסמים הוא קוקאין'],['11989 גרם נטו'],,,,,,,
הסוכן נטל לידו את הסמים ומסר לנאשם את הסכום והשניים עזבו את המקום.,46,,,,,,,,,,,,,,,,
"במהלך המעצר, בוצע חיפוש בביתו של הנאשם  ובמסגרתו נתפסו בארון הנמצא במטבח 703.62 גרם סם מסוכן מסוג קוקאין (להלן: ""הסם"").",48,,,,,,,,['הסוג של הסמים הוא קוקאין'],['70362 גרם'],,,,,,,
הוגש רישום פלילי של הנאשם  (תע/1 ).,49,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : [כן]']",,,,,,,,,,,,
"בכל הקשור לנסיבות שאינן קשורות בביצוע העבירות, הפנתה לעברו הפלילי המכביד של הנאשם.",55,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : [כן]']",,,,,,,,,,,,
"הפנה ללקיחת האחריות, לחיסכון בשמיעת עדותו של הסוכן ובזמן שיפוטי יקר.",60,,,,,,,,,,,,,,,,
"עוד הפנה לנסיבותיו האישיות של הנאשם, בין היתר למצבו הבריאותי הקשה המחייב טיפול רפואי רצוף.",61,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ביקש להתחשב בתקופה הארוכה בה הנאשם נתון במעצר עד תום ההליכים והדגיש את העובדה שתנאי מעצר קשים מתנאי מאסר, מה בפרט שמדובר בנאשם הסובל מבעיות רפואיות משמעותיות כך שתנאי מעצרו קשים עוד יותר.",62,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"באשר לנסיבות ביצוע העבירות, טען כי הן בוצעו מתוך תחושת פחד וכורח, והסם שהוחזק (אישום רביעי) היה עבור אדם אחר.",63,,,,,,,,,,,,,,,,
"הנאשם עצמו ציין כי העבירות בוצעו עקב נסיבות מיוחדות וקשות, וכי מעולם לא היה מעורב בעולם הסמים.",66,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הפנה לנסיבותיו האישיות, בין היתר להיותו גרוש, אב לשתי בנות, ולמצבו הבריאותי הקשה המצריך השגחה, טיפול וקבלת זריקות.",67,,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
עוד הפנה לתקופה הארוכה בה הוא נתון  במעצר עד תום ההליכים והקשיים עמם הוא  נאלץ להתמודד עקב מצבו הבריאותי.,68,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"באשר לאישומי הסיוע לסחר (אישומים 1 ו-3), הנאשם היה שותף בחלק מהתכנון ובהוצאה לפועל של העסקה, ומעורבותו הייתה ממשית.",74,,,,,,,,,,['לא בעל המעבדה'],,,,,,
"היה זה הנאשם שבשלב מסוים יצר קשר עם הסוכן וסיכם  עמו על מקום ביצוע העסקה, הגיע למקום המפגש, העביר לסוכן את הסם וקיבל לידיו את סכום התמורה עבור הסמים לצורך העברתו לוילי.",75,,,,,,,,,,['לא בעל המעבדה'],,,,,,
"ביחס לאישום הסחר (אישום שני), הנאשם היה מעורב באופן פעיל בהוצאות העסקה אל הפועל, בשלב מסוים  נוצר קשר בינו לבין הסוכן, הנאשם סיכם עמו על מקום ושעת המפגש, מסר לו את הסם וקיבל לידיו את התמורה.",78,,,,,,,,,,['לא בעל הסמים'],,,,,,
"אשר לאישום הרביעי, מדובר בהחזקת של סם מסוכן מסוג קוקאין בכמות גדולה (700 ג'), וגם בהנחה והנאשם החזיק את הסם עבור אחר, הרי שלא מדובר בהחזקה ""תמימה"", והנאשם בוודאי ידע שמדובר בסם שמטרתו אינה שימוש עצמי, וסופו שהיה מופץ.",79,,,,,,,,['הסוג של הסמים הוא קוקאין'],['700 גרם הכמות המוזכרת בטקסט היא 700 גרם של סם מסוג קוקאין'],,,,,,,
"הנאשם  אדם בגיר אשר הבין את הפסול במעשיו ואת השלכותיהם, יכול היה לחדול ממעשיו אך הוא לא עשה כן.",80,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
