text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"על פי כתב האישום, ביום 19/07/09 בשעה 21:00 לערך החזיקה הנאשמת בביתה שבכפר עין-נקובא אקדח חצי אוטומטי אף-אן (FN) ושתי מחסניות תואמות.",,,,,,['אקדח'],,,,['בבית'],,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,,
"במסגרת תשובתה לכתב האישום טענה הנאשמת, כי הנשק שייך לבן דודה אשר החביא אותו ברשותה לאחר שירה בו יריות שמחה במהלך חתונה של קרוב משפחה, וכי היא מודה בעובדות כתב האישום בנסיבות  הנ""ל.",,,,['כן'],,,,,,,,,,,,,,,,,
"על יסוד הודאתה זו הורשעה הנאשמת ביום 09/01/13  בעבירה של החזקת נשק לפי סעיף 144(א) רישא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"") ובעבירה של החזקת אביזר לנשק לפי סעיף 144(א) סיפא לחוק.",,,,['כן'],,,,,,,,,,,,,,,,,
"מתסקיר שירות מבחן עולה, כי הנאשמת בת 27, גרושה ואם לשני ילדים בני תשע ועשר, מתגוררת יחד עם אמה ואחיה בן ה-17 בכפר עין-נקובא.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
התסקיר מתאר נסיבות חיים שאינן קלות.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בנוגע לעבירות הנדונות ציין שירות המבחן, כי הנאשמת משליכה האחריות לביצוען על בן דודה, אשר ניצל לדבריה את תמימותה באומרו לה, כי מדובר בנשק השייך לאביו ומוחזק על ידו ברשיון.",,,,,,,,,,,,,,,,,,,,,
"עם זאת ציין שירות המבחן, כי הנאשמת ביטאה בפניו מודעות מסוימת לבעייתיות הגלומה בהתנהגותה ולצורך לפעול בצורה אחרת במקרים דומים בעתיד, והתרשמותו היא כי ההליך דנן מהווה גורם מרתיע דיו עבור הנאשמת.",,,,,,,,,,,,,,,,,,,,,
"סופו של דבר,  בא שירות המבחן בהמלצה להטיל על הנאשמת מאסר מותנה, בצירוף צו מבחן למשך שנה, כעונש שמטרתו לסייע לנאשמת בהתמודדות עם בעיותיה השונות.",,,,,,,,,,,,,,,,,,,,,
"התובעת ביקשה להטיל על הנאשמת עונש מאסר לתקופה של 6 חודשים ההולם לטענתה את חומרת העבירה ואת מתחם הענישה שנקבע בגין עבירה זו בפסיקה, ועומד לדבריה על מאסר בפועל לתקופה של בין 6 ל-24 חודשים.",,,,,,,,,,,,,,,,,,,[],[],[]
"לדידה של המאשימה,  מכלול השקולים העומדים במקרה זה לזכותה של הנאשמת - ובהם עברה הנקי, גילה הצעיר, הזמן הרב שחלף מאז ביצוע העבירה והודאתה במיוחס לה - מטים את לשון המאזניים לשליש התחתון של המתחם.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"לגבי נסיבות ביצוע העבירה טען הסניגור, כי העבירה בוצעה על רקע מעמדה הנחות של הנאשמת  בחברה ערבית, והנאשמת לא יכולה היתה למעשה לסרב לבקשת בן דודה להחביא את הנשק ברשותה.",,,,,,,,,,,,,,,,,,,,,
"החבאת הנשק בבית הנאשמת,  הדגיש הסניגור,  נעשתה ע""י בן דודה ללא שיתוף פעולה מצדה, והיתה נעשית אף אלמלא ""הסכמתה"" של הנאשמת לכך.",,,,,,,,,,,,,,,,,,,,,
"בנוסף ביקש הסניגור להדגיש את התקופה הקצרה במהלכה הוחבא הנשק (לילה אחד בלבד) ברשות הנאשמת,  את העובדה כי הנשק  לא הושג על ידי הנאשמת באופן בלתי חוקי, לא נרכש על ידה לצורכי סחר או לצרכים פליליים, ולא נעשה בו כל שימוש מעבר ליריות השמחה שנורו ממנו במהלך החתונה.",,,,,,,[],,,,,,,,[],,,,,,
"הנאשמת היא אישה גרושה, קשת יום, המטופלת בשני ילדים קטנים,  בעלת רקע משפחתי מורכב ובעייתי, אשר  חרף נסיבות חייה הקשות-  עברה הפלילי הוא ללא רבב, היא מטפלת בשני ילדיה ומשתדלת ככל יכולתה לפרנס אותם.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
בענין זה טען הסניגור (בניגוד לאמור בתסקיר המבחן) כי הנאשמת עובדת כיום בעבודה מסודרת (עבודות נקיון בבית ספר במשך  8 שעות  מדי יום).,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עוד הדגיש הסניגור בדבריו את  העובדה, כי הנאשמת הודתה במיוחס לה, כי במהלך ארבע השנים שחלפו מאז ביצוע העבירה דנן היא לא  היתה מעורבת בפלילים,  וכי  כתב האישום נגדה הוגש  כשנתיים לאחר האירוע.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",['כן'],,,,,,,,,,,,,,,,,
"לדבריו, על אף  מעמדה הנחות בתוך משפחתה אזרה  הנאשמת אומץ  והפלילה את בן דודה בביצוע העבירה, במטרה להוכיח צדקתה ולהביא לסגירת התיק נגדה-   אלא שהפרקליטות לא רק שלא סגרה התיק נגד הנאשמת  אלא הגדילה עשות והגישה כתב אישום נפרד נגד בן דודה של הנאשמת, על מנת להשוות כביכול את מעמדם, ובכך ""סיבכה"" את הנאשמת עם משפחתה הגרעינית.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"יחד עם זאת, נסיבות ביצוע העבירות ע""י הנאשמת,  ובהן העובדה כי הנאשמת  החזיקה בנשק לא מרצונה ושלא מיוזמתה, ללא  כל מניע עברייני, למשך לילה אחד בלבד - ממקמות את העבירות, מבחינת רמת חומרתן בתחתית המדרג.",,,,,,,,,,,,,,,,,,,,,
"הסניגור טען, כזכור, כי במסגרת השקולים לקולא, לא ניתן להתעלם גם מהקוד התרבותי של החברה המוסלמית בה חיה הנאשמת, הן לענין נפיצות התופעה של החזקת ונשיאת נשק לצורך יריית יריות שמחה באירוע חתונה, שהינה בגדר חזיון נפוץ באותה חברה, והן לענין אי יכולתה המעשית של הנאשמת לסרב להחבאת הנשק בביתה, על רקע מעמדה הנחות מול הגבר במשפחה המוסלמית, אשר על פיו יישק דבר.",,,,,,,,,,,,,,,,,,,,,
"למעשה, גם המאשימה עצמה לא טוענת, כי הנאשמת החביאה בעצמה את הנשק בביתה (שכן בתיאור העובדות בכתב האישום לא נטען כי החביאה את הנשק אלא רק כי ""החזיקה בביתה"") , משמע כי הסכמתה של הנאשמת להטמנת הנשק בביתה לא היתה הסכמה אקטיבית, אלא פאסיבית , מה  שמלמד על חלקה המינורי בביצוע העבירה.",,,,,,,,,,[],,,,,,,,,,,
"5 חודשי מאסר  אותו לא תרצה, אלא אם כן, תעבור תוך 3 שנים מהיום עבירה מן העבירות בהן הורשעה.",,,,,,,,,,,,,,,,,,,[],['5 חודשי מאסר על תנאי'],[]
"קנס בסך 1,000 ₪ או מאסר 10 ימים תמורתו.",,,,,,,,,,,,,,,,,,,[],[],"['1,000 ₪']"
