text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"מעבדות כתב האישום עולה כי ביום 7.9.15 בשעה 11:00 לערך או בסמוך לכך, נערך על ידי שוטרים חיפוש על פי צו בבית הנאשם ברחוב הרב יעקב מוצפי בביתר עלית, ובמהלכו מצאו השוטרים מעבדה פועלת ומאולתרת שיצר הנאשם לשם גידול סמים מסוכנים.",,,,,,,,,,,,,,
במעבדה נמצאו 56 שתילי סם מסוכן מסוג קנבוס במשקל 771.06 גרם נטו וזאת מבלי שהותר לו הדבר על פי פקודת הסמים המסוכנים ותקנותיה או ברישיון מאת המנהל.,,,,,['[771.06 - גרם]'],,,,,,,,,
"בהמשך לאמור, נתפס ברשות הנאשם ציוד שנועד לייצור ולגידול סם מסוכן מסוג קנבוס, כדלהלן: 13 בקבוקי דישון, 2 בקבוקי ריסוס, מנורת חימום, מזגן, מספר מפזרי לחות, טפטפות, ומספר ונטות לגידול.",,,,['[קנביס]'],,"['[בעל הסמים, לא בעל המעבדה]']",['כן'],,,,,,,
"ראוי לציין כי הנאשם לא כפר בעובדות שיוחסו לו בכתב האישום, אולם טענתו היחידה של הנאשם הייתה כי מטרת גידול הסמים הייתה להפיק קנבוס רפואי לצורכי רפואה של חמו, חולה סרטן בן 71, שסובל מכאבים עזים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
המאשימה לא הסתפקה בהודאתו וביקשה כי הנאשם יוכיח נסיבה זו.,,,,,,,,,,,,,,
"בהכרעת הדין שניתנה ביום 17.11.15 קיבלתי את גרסתו של הנאשם, שכן סברתי לאחר שמיעת הראיות, כי הנאשם עמד בנטל ההוכחה, המוטל עליו על פי דין, להוכיח כי התקיימה נסיבה מקלה הקשורה בביצוע העבירות ועל כן קבעתי כי המניע שגרם לו לבצע את העבירות היה הפקת קנבוס רפואי כדי לטפל בחמו החולה.",,,,,,,,,,,,,,
"מתסקיר שירות המבחן עולה כי הנאשם בן 39, נשוי ואב לחמישה ילדים בגילאי 3-16 שנים, המתגוררים בבית""ר עלית.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד עולה מהתסקיר כי עד למעצרו ניהל הנאשם אורח חיים נורמטיבי, גדל והתחנך בפריז, ובסיום לימודיו התיכוניים, המשיך ללימודי תואר בטכנאות שיניים במשך שלוש שנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בשנת 1998 עלה לארץ יחד עם אחיו והשתלב בלימודים בישיבה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לאחר מכן, הנאשם עבד כטכנאי שיניים עצמאי בביתו שבבית""ר עלית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם מסר כי הוריו עלו לארץ לפני כשנה וחצי ומאז הם מתגוררים בנתניה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"אביו בשנות השישים לחייו, עובד בתחום הפרסום בפריז וחולק את זמנו בין פריז לישראל.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
עוד מסר כי לנאשם אח בכור שעובד בתחום הפרסום ומתגורר בצרפת.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם תיאר משפחה מלוכדת המנהלת אורח חיים נורמטיבי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
קצינת המבחן התרשמה מדינמיקה משפחתית קרובה ותומכת במסגרת משפחתו המצומצמת.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כמו כן התרשמה כי הנאשם הוא דמות דומיננטית ומשמעותית בחיי משפחתו, כאשר לאורך השנים לקח חלק פעיל בטיפול בילדיו ובמטלות משק הבית השונות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"אשר לביצוע העבירות, מסרה קצינת המבחן כי הנאשם לקח אחריות למעשיו והביע חרטה עליהם, לדבריו הוא גידל את הסם עבור צורכי רפואה לחמו, שכן הקשר ביניהם הוא קרוב, וחמו היה לו כהורה שני וקיבל אותו למשפחתו כבן וסבלו של חמו וחששו של הנאשם מפני האובדן היה קשה מנשוא עבורו.",,"['1 : לא', '2 : כן', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,['כן'],['כן'],,,,,
"עוד הוסיף כי בעת ביצוע מעשיו, הוא לא הבין את החומרה שבהם ולאחר מעצרו הבין את הבעייתיות שבמעשיו וחש בושה על הסתבכותו בפלילים.",,,,,,,,['לא'],,,,,,
"הנאשם מסר כי אינו נוהג להשתמש בסמים ואלכוהול והוסיף כי בהיותו צעיר, טרם עלייתו לארץ, התנסה פעמים בודדות בעישון מריחואנה בנסיבות חברתיות ומאז שעלה לארץ לא המשיך בכך.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
