text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם אף הציע שמחצית התמורה עבור כלי הנשק תשולם בסם מסוג קוקאין בשווי 100,000 ₪.",,,,"['הסוג הוא [קוקאין], כפי שמצוין בטקסט: ""הנאשם אף הציע שמחצית התמורה עבור כלי הנשק תשולם בסם מסוג קוקאין בשווי 100,000 ₪.""']",['[100 - גרם]'],"['הנאשם הציע לשלם חלק מהתמורה עבור כלי הנשק באמצעות 100,000 ₪ בשווי קוקאין. זה מרמז שהוא היה בעל הסמים, אבל לא בעל המעבדה']",,,,,,,,
"הסוכן מסר לנאשם סכום של 2,800 ₪ במזומן תמורת הסמים.",,,,,,['לא בעל הסמים'],,,,,,,,
הנאשם ציין כי מחיר טבליה 27 ₪ והסוכן ביקש לרכוש 150 טבליות.,,,,,,,,,,,,,,
"הסוכן ספר את טבליות האקסטזי, מצא שהועברו 179 טבליות והעביר לנאשם תמורתן סכום של 4,700 ₪ במזומן.",,,,,,['לא בעל הסמים'],,,,,,,,
"לנאשם עבר פלילי מכביד, הכולל בין היתר עבירות סמים רבות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
הנאשם אף ריצה בעבר עונשי מאסר ולחובתו מאסר על תנאי חב הפעלה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"העבירה בוצעה עבור בצע כסף, והנאשם קיבל מהסוכן סכום של 70,000 ₪.",,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"לגבי עבירות הסמים ציינה ב""כ המאשימה כי מדובר בסם מסוג MDMA שאינו מבין הסמים הקלים, בכמויות גדולות שהנאשם סחר והחזיק בהן עבור תמורה כספית.",,,,['MDMA'],,['[בעל הסמים]'],,,,,,,,
"בהתייחס למקומו של הנאשם במתחם הענישה ציינה ב""כ המאשימה כי הנאשם הודה, לקח אחריות וחסך זמן, ומאידך לחובתו עברו הפלילי המשמעותי, הכולל מאסר על תנאי חב הפעלה, כך שהנאשם ביצע את העבירות כשהתנאי מרחף מעל ראשו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,['כן'],['כן'],,,,
"בנוסף ביקשה ב""כ המאשימה להכריז על הנאשם סוחר סמים, ולחלט סכום של 20,450 ₪ שנתפס בביתו של הנאשם, שכן בעקבות הרשעת הנאשם קמה חזקה שהפיק רווח או ביצע את העבירות לצורך הפקת רווח.",,,,,,,,,,,,,,
לטענת הסניגור התסקיר האחרון משקף את הליך השיקום והגמילה מסמים שעבר הנאשם במהלך מעצרו.,,,,,,,,,,,,,,
"הנאשם גילה רצון להליך גמילה ראשוני, התקדם בהליכי הטיפול, יש צורך בטיפול מעמיק שאינו אפשרי במסגרת המאסר ויש לאפשר לנאשם סיכוי להמשיך את הטיפול לאחר שהתמכר בגיל כה צעיר.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
לטענתו הנאשם הניח בתום לב שהוא עוזר לחבר.,,,,,,,,,,,,,,
"עוד טען הסניגור כי הסם בו נעשו העסקאות לא היה שייך לנאשם, כאשר מכתב האישום עולה שהנאשם פנה לאנשים שונים בנסיון להשיג את הסם אשר אינו ברשותו.",,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,
"את המאסר המותנה התלוי ועומד נגד הנאשם ביקש ב""כ הנאשם להפעיל בחופף לעונש שייגזר על הנאשם בתיק זה.",,,,,,,,,,,,,,
