text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP
"כתב האישום מייחס לנאשם ביצוע עבירות  של קשירת קשר לפשע – עבירה לפי סעיף 499(א)(1) לחוק העונשין התשל""ז – 1977 (""החוק""), עבירות נשק (החזקת נשק) לפי סעיף 144(א) לחוק, עבירות נשק (הובלת נשק) לפי סעיף 144(ב) לחוק, עבירות נשק (עסקה בנשק) לפי סעיף 144(ב2) לחוק, והסתייעות ברכב לביצוע פשע לפי סעיף 43 לפקודת התעבורה (נוסח חדש), התשכ""א – 1961.",,,,,,,,,,,,,,,,,,
"בבסיס צה""ל הנמצא בנגב, קיים מתחם של בונקרים נעולים המכילים אמצעי לחימה.",,,,,,,,,,,,,,,,,,
לבונקר זה דלת הזזה הננעלת באמצעות מנעול המחובר לשרשרת מתכת.,,,,,,,,,,,,,,,,,,
"בבונקר מאוחסנים סוגים רבים של אמצעי לחימה וביניהם לבנות חבלה, רימוני רסס, מטולים משוגרי כתף (""טילי לאו""), וגם מטול מפצח (""טיל מטאדור"") המסוגל לחדור פלדת שריון ובטון מזוין.",,,,,,,['טיל מטאדור'],,,,,,,,['נשק עם מחסנית בהכנס'],,,
הנאשם הוא אביו של עדי.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"במועד שאינו ידוע למאשימה, אולם לפני 29.4.2016, קשרו הנאשם, שאדי, עדי ואחרים שזהותם אינה ידועה, קשר, לגנוב אמל""ח מהבסיס ולהעבירו לאחרים תמורת סכום כסף גדול.",,,,,,,,[],,,,,,,,['גנב'],,
"במסגרת תפקידו החזיק שאדי ברכב צבאי מסחרי, ובסוף השבוע עובר ל – 29.4.16 החליף שאדי את רכבו עם קצין אחר, לרכב מסחרי אחר, צבאי.",,,,,,,,,,,,,,,,,,
"סמוך לאחר שהחייל עזב את העמדה, הגיעו שאדי ועדי לבונקר, שברו את שרשרת המנעול שלו, פתחו את דלתו, הוציאו מתוך הבונקר ארגזי מתכת שהכילו 77 רימוני רסס, 13 טילי לאו, ואת המטדור (כל אלו להלן: ""האמל""ח""),  והעמיסו את האמל""ח לרכב הצבאי.",,,,,,,['רימון רסס'],,,,['ברכב'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,
"באותה עת, במקביל, במסגרת הקשר ולשם קידומו, נסע הנאשם מצפון לדרום, בכביש 6, ברכב מסוג פולקסווגן ג'טה, השייך לו ורשום על שם בני משפחתו, ועם אחרים בכלי רכב נוספים, על מנת להיפגש עם שאדי ועדי ולקחת מהם את האמל""ח.",,,,,,,,,,,,,,,,,,
"השניים עצרו את הרכב במתחם ליד מחלף בית קמה, ושם נפגשו עם הנאשם ואחרים.",,,,,,,,,,,,,,,,,,
שאדי ועדי חזרו לבסיס.,,,,,,,,,,,,,,,,,,
"הנאשם נסע חזרה לכיוון צפון, עם האחרים, כשהאמל""ח ברכב הג'טה, על מנת להעבירו לאחרים, ומסר את האמל""ח לאדם שזהותו אינה ידועה למאשימה.",,,,,,,,,,,,,,,,,,
"במסגרת הקשר, חילקו הנאשם, שאדי ועדי ביניהם את התמורה, בסכום שאינו ידוע במדויק, אותו קיבלו עבור האמל""ח.",,,,,,,,,,,,,,,,,,
"על פי כתב האישום, במעשיו אלו היה הנאשם שותף לקשר לפשע, והוא התפרצות לבונקר וגניבה של אמל""ח, הוצאת נשק מרשות הצבא, וסחר באמל""ח, היה שותף להחזקת אמל""ח והובלתו, עסקה באמל""ח שיש בה מסירת החזקה באמל""ח נפיץ לאחר, ועשה שימוש ברכב לשם ביצוע עבירה.",,,,,,,,[],,,,,,,,,,
"במסגרת המענה לכתב האישום, הודה הנאשם באמור בחלק הכללי של כתב האישום, המתייחס לבסיס, הבונקרים, והתחמושת, והודה בכך  שבמועדים הרלוונטיים הקצין שאדי היה אחראי על אבטחת בונקר התחמושת בבסיס הצבאי, ובנו של הנאשם, עדי, שימש כנהגו של שאדי.",,,,,['כן'],,,,,,,,,,,,,
"כמו כן הנאשם מאשר במענה לכתב האישום את חלקו של שאדי בגניבה, וכי בתאריך הגניבה המשוער (כך על פי המענה) שאדי הורה להוריד מהשמירה חייל הצופה על הבונקר.",,,,,,,,,,,,,,,,,,
הנאשם טען במענה כי בהתאם לראיות שאדי תכנן וביצע את גניבת הנשק מהבסיס הצבאי באופן בלעדי ללא מעורבות מצד הנאשם או מצד בנו.,,,,,,,,,,,,,,,,[],,
עוד נאמר במענה כי הנאשם אינו מכיר את שאדי ומעולם לא קשר עימו או עם אחר כל קשר לביצוע כל עבירה כמתואר בכתב האישום.,,,,,,,,,,,,,,,,,,
"בדברי הפתיחה לפני תחילת שמיעת הראיות פירטה ב""כ המאשימה את העובדות מהחלק הכללי של כתב האישום והוסיפה פירוט האמל""ח שנגנב, וכי נמצאה בבדיקה שביצע איש מז""פ, טביעת אצבע בצד הפנימי של אחד ממכסי הבורסים, ארגזי מתכת המכילים תחמושת, אשר היו בתוך הבונקר, טביעת אצבע שפוענחה כשייכת לשאדי, אשר לא היתה לו גישה חוקית לבונקר זה.",,,,,,,,,,,[],,,,"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,
"בשאר חלקי כתב האישום הנאשם כופר, ובעיקר כנגד קביעות כי הוא ו/או בנו היו מעורבים בתהליך הגניבה.",,,,,,,,,,,,,,,,,,
"הנאשם לא יצביע על מקום ספציפי שהוא היה בו באותו יום, הוא אינו זוכר."" (פרו' 19.3.17 עמ' 37 שו' 13-15).",,,,,,,,,,,,,,,,,,
"ב""כ הנאשם העלה טענת זוטא לפיה אמרותיו של הנאשם שנאמרו במסגרת מה שמוגדר על ידו כ""תשאול"" ביום 2.8.16 (והוגש בהמשך - דיסק הכולל סרטון (ת/172) ותמלול (ת/172/ב')) נאמרו במסגרת מו""מ להיותו עד מדינה, ולפיכך לטענתו אמרותיו אלו של הנאשם אינן קבילות ואינן יכולות להפלילו, וכמו כן כי הופעלו אמצעי חקירה פסולים, לא היתה אזהרה כנדרש וכי המשטרה ביצעה חקירה ללא יידועו של הנאשם כי הוא נחקר בחקירה מתועדת.",,,,,,,,,,,,,,,,,,
"נקדים את המאוחר, ונפנה בענין זה לנאמר בסיכומי הנאשם על כי ""הודיותיו של הנאשם נגבו באמצעי חקירה פסולים, שהגיעו עד לשלילת רצונו החופשי של הנאשם, או באמצעים בלתי הוגנים ובלתי ראויים אשר חובת הצדק מחייבת פסילתם, כאשר שקדה המשטרה לנהל חקירותיה תוך הקפדה על אי יידועו כי הוא נחקר בחקירה מתועדת, תוך הצגת מיצג ששום דבר לא נרשם בכתב, ויידועו כי ישתמשו בדבריו כראיה במשפט, בהעדר אזהרה, ותוך שלילת ייצוגו הנאות של הנאשם."" (כך בסעיף 64 לסיכומי הנאשם).",,,,,['לא'],,,,,,,,,,,,,
"לטענת הנאשם הוא נחקר מספר פעמים, לעיתים באופן לא פורמאלי, התנהל מעין מו""מ שבו הוא הציע את עזרתו בהשבת האמל""ח, ונטען כי המו""מ בוצע ללא אזהרה כדין, ללא היוועצות עם עו""ד וללא רישום ותיעוד, והנאשם אמר דברים העלולים להפלילו, וזאת בהעדר מיצוי זכותו לאי-הפללה עצמית, ועל כן אמרותיו שנאמרו במסגרת החקירות לעיל, אינן קבילות כנגד הנאשם בבית המשפט.",,,,,,,,,,,,,,,,,,
"בעדותו הדגיש וחזר על כך שעיקר תפקידו היה לנסות להוציא מהנאשם מידע על האמל""ח בניסיון להחזרתו.",,,,,,,,,,,,,,,,,,
"הדגיש וחידד כי לא הובטחו לנאשם טובות, לא התבקש מהנאשם להפליל אחרים, והחקירות התבצעו על פי נהלי המודיעין, בחשאיות, ועליהן הוגש זכ""ד (ת/167).",,,,,,,,,,,,,,,,,,
"34, הוא תיעד אותן בדוחות אשר רוכזו ב - ת/167.",,,,,,,,,,,,,,,,,,
"העד הדגיש כי מטרת החקירה הייתה השבת האמל""ח, והבהיר לנאשם כי מדובר בשיחות מודיעיניות ללא הקלטות ותיעוד.",,,,,,,,,,,,,,,,,,
"35, מימ""ר נגב, אשר שימש במועדים הרלוונטים כראש מחלק מודיעין בימ""ר נגב, הקצין הממונה כאשר ע.ת.",,,,,,,,,,,,,,,,,,
הוא הצטרף לפגישה השלישית לצורך קידום החקירה שהחלה מטעם ע.ת.,,,,,,,,,,,,,,,,,,
"העד הדגיש כי המטרה העיקרית הייתה השבת האמל""ח, והוא זה אשר סיים את החקירה המודיעינית, וכי בפגישה האחרונה עם הנאשם שהיתה ב – 24.7.16 הוא העביר את המסר שהענין הסתיים - ש""אין עסקה ואין כלום"" (פר' 19.3.17 עמ' 152 שו' 16).",,,,,,,,,,,,,,,,,,
"חקר את הנאשם, את בנו (עדי), את הקצין שאדי, גבה עדויות ואסף ראיות, והוא זה שהיה גם בחקירה השנויה במחלוקת מיום 2.8.17.",,,,,,,,,,,,,,,,,,
