text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"* בית המשפט גזר על הנאשם, בגין החזקת רימון הלם שהתפוצץ לאחר מכן במרפסת בית המתלונן, 9 חודשי מאסר בפועל ו-15 חודשי מאסר על תנאי .",,[],['15 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"הנאשם הורשע במסגרת הסדר טיעון בעבירות בנשק, בכך שהחזיק רימון הלם אשר בסמוך מאוד להחזקתו, הושלך לעבר מרפסת בית המתלונן, התפוצץ והשמיע קול נפץ עז.",,,,,,,,,['רימון הלם/גז'],,,,['סמוך לבית'],,,['זריקת רימון'],,[],,,
"אמנם הפסיקה ריככה מעט את עמדתה בעניין רימון הלם, אך יש לזכור כי קרבתו של אדם לרימון הלם שהתפוצץ עלולה לגרום לו פציעה קשה.",,,,,,,,,,,,,,,,,,,,,
"במקרה דנן, מתחם העונש ההולם עומד של 8 - 20 חודשי מאסר בפועל.",,[],[],[],,,,,,,,,,,,,,,,,
"במכלול השיקולים והנסיבות, הוטלו על הנאשם 9 חודשי מאסר בפועל ו- 15 חודשי מאסר על תנאי .",,[],['הנאשם קיבל 15 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"הנאשם, יליד 83', הורשע במסגרת הסדר בכתב אישום אשר תוקן, בעבירות בנשק – לפי סעיף 144 (א) לחוק העונשין, התשל""ז-1977 (להלן: חוק העונשין).",,,,,,,,,,,,,,,,,,,,,
"בתאריך 29/5/14 בשעה 02:45 בלילה (להלן: מועד האירוע), הגיע הנאשם סמוך לבית ד""ר אמון חסן בדיר אל אסד (להלן: המתלונן והבית, בהתאמה), כשהוא מחזיק רימון יד הלם/סינוור M7290 בצבע שחור עם פס כתוב המקיף אותו, שמספרו E386201 (להלן: הרימון).",,,,,,,,,['רימון הלם/גז'],,,,"['על גופו', 'סמוך לבית']",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"במועד האירוע הושלך הרימון לעבר מרפסת ביתו של המתלונן, לאחר שהנצרה שוחררה.",,,,,,,,,,,,,,,,['זריקת רימון'],,[],,,
"כתוצאה מכך נחת הרימון במרפסת והתפוצץ תוך גרימת קול נפץ עז, שהעיר את המתלונן ושכנו משנתם.",,,,,,,,,,,,,,,,['זריקת רימון'],['נשק עם מחסנית בהכנס'],[],,,
"במעשיו כאמור לעיל, החזיק הנאשם נשק בלא רשות על פי דין.",,,,,,,,,,,,,,,,,,,,,
"המאשימה עתרה להשית על הנאשם מאסר בפועל הנמצא ברף הבינוני הגבוה של מתחם הענישה, אותו העמידה על טווח של עשרה לעשרים חודשי מאסר וכן מאסר מותנה.",,[],[],[],,,,,,,,,,,,,,,,,
"ב""כ המאשימה פירט את העובדות המפורטות בכתב האישום המתוקן, וציין כי הנאשם עצור מיום 12/10/14 עד תום ההליכים.",,,,,,,,,,,,,,,,,,,,,
"הוא הפנה לגליון הרשעות קודמות של הנאשם (ת/1), המלמד כי הנאשם הורשע ביום 13/1/08 בהנחת חומר נפיץ או נוזל שלא כדין, לפי סעיף 329(5) לחוק העונשין, עבירה אותה ביצע בספטמבר 07', ונדון למאסר בפועל לתקופה של שמונה חודשים, מאסר על תנאי וקנס.",,[],['הנאשם קיבל מאסר על תנאי למשך 8 חודשים'],[],"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,,
"הוא הדגיש כי העונש המרבי הנו 7 שנות מאסר, אך הוא עותר כאמור למתחם ענישה הנע בין עשרה לעשרים חודשי מאסר וכן מאסר מותנה.",,[],[],[],,,,,,,,,,,,,,,,,
"ב""כ המאשימה ביקש לזקוף לחובת הנאשם את נסיבות ההחזקה של הרימון, בלב אזור מגורים צפוף בשעת לילה מאוחרת, וכן את העובדה שנעשה בו שימוש זמן קצר לאחר מכן, משהושלך לעבר מרפסת בית המתלונן.",,,,,,,,,,,,,[],,,['זריקת רימון'],,,,,
"עוד ציין לחומרא את עברו הפלילי של הנאשם בעבירה דומה לזו שבוצעה בתיק שבפני, בגינה נידון למאסר.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,
"ב""כ המאשימה הפנה לפסיקה התומכת בעמדתו, והדגיש כי במקרה דנן יש לקחת בחשבון את הרשעתו הקודמת של הנאשם בעבירה דומה והעדרם של שיקולי שיקום, כאשר במקרים אחרים ניתנו תסקירים חיוביים והעבר היה נקי.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"לקולא ציין כי הנאשם הודה באישום המיוחס לו, תוך חיסכון בזמן שיפוטי, כי עמדת המתלונן היא סלחנית, הוא היה מעוניין בהסדר, ובסופו של דבר לא נגרם נזק.",,,,,,,['כן'],,,,,,,,,,,,,,
"הסנגור ביקש שלא למצות את הדין עם הנאשם, העצור עד תום ההליכים מיום 12/10/14, וביקש לשחררו ממעצרו מיידית, משטען כי מתחם הענישה במקרה זה נע בין שישה חודשים בעבודות שירות לבין מאסר לחודש אחד.",,[],[],[],,,,,,,,,,,,,,,,,
"הסנגור ציין כי ההגנה אינה מקלה ראש בעבירה דנן, ומודעת לסכנה הטמונה בעבירות נשק, אך ביקש להתחשב לקולא בגזירת עונשו בנסיבות ביצוע העבירה, בנסיבותיו האישיות של הנאשם, בהודייתו בביצוע העבירה ובחרטתו הכנה והאמיתית.",,,,,,,['כן'],,,,,,,,,,,,,,
"לדבריו, היחסים בין המתלונן לנאשם הם יחסי שכנות קרובים, והמתלונן מבקר אצל הורי הנאשם מדי יום ביומו, לא הגיש תלונה נגד הנאשם, ואף אמר כי לא יתכן שהנאשם יזרוק את הרימון לעבר ביתו.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
